time,economy,value
YR1960,ABW,
YR1960,AFG,15669999.975711107
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,409999.99642372096
YR1960,ARG,43210000.306367844
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,7509999.999776483
YR1960,BEL,
YR1960,BEN,9999.99977648258
YR1960,BFA,9999.99977648258
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,239999.994635582
YR1960,BHS,-39999.9991059303
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,1799999.9616295125
YR1960,BMU,
YR1960,BOL,12609999.993816018
YR1960,BRA,40299999.833107
YR1960,BRB,
YR1960,BRN,9999.99977648258
YR1960,BTN,
YR1960,BWA,3430000.0667572
YR1960,CAF,19999.9995529652
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,16459999.980404979
YR1960,CHN,
YR1960,CIV,19999.9995529652
YR1960,CMR,319999.9909847978
YR1960,COD,71450000.00484288
YR1960,COG,19999.9995529652
YR1960,COL,-8480000.007897615
YR1960,COM,
YR1960,CPV,
YR1960,CRI,4009999.9997764826
YR1960,CUB,19999.99955296516
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,24030000.6866455
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,
YR1960,DZA,355100006.10351604
YR1960,ECU,6019999.999552965
YR1960,EGY,170889999.17916948
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,14710000.136867167
YR1960,FIN,
YR1960,FJI,1080000.04291534
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,9999.99977648258
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,2530000.0011920934
YR1960,GIB,469999.998807907
YR1960,GIN,60000.000521540685
YR1960,GMB,540000.021457672
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,16009999.999776483
YR1960,GUM,
YR1960,GUY,7470000.037923452
YR1960,HKG,5829999.992623925
YR1960,HND,5009999.999776483
YR1960,HRV,
YR1960,HTI,10000000.0
YR1960,HUN,
YR1960,IDN,81199999.36223033
YR1960,IMN,
YR1960,IND,736409998.4355271
YR1960,IRL,
YR1960,IRN,26610000.109300017
YR1960,IRQ,1079999.9982118607
YR1960,ISL,
YR1960,ISR,105060000.17747283
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,69199999.69191849
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,20630000.82783401
YR1960,KGZ,
YR1960,KHM,26830000.037327413
YR1960,KIR,19999.9995529652
YR1960,KNA,
YR1960,KOR,250459999.96736646
YR1960,KWT,
YR1960,LAO,33129999.99895692
YR1960,LBN,9019999.999552965
YR1960,LBR,9419999.986886978
YR1960,LBY,42140000.38057566
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,10530000.036582353
YR1960,LSO,1509999.9904632599
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,1779999.971389771
YR1960,MAF,
YR1960,MAR,59939999.997615814
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,2619999.8948723124
YR1960,MDV,19999.9995529652
YR1960,MEX,6119999.89487231
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,9999.99977648258
YR1960,MLT,12329999.694600683
YR1960,MMR,33890000.24273988
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,5000000.0
YR1960,MOZ,
YR1960,MRT,9999.99977648258
YR1960,MUS,439999.997615814
YR1960,MWI,4159999.8474121103
YR1960,MYS,13269999.580457807
YR1960,NAM,
YR1960,NCL,
YR1960,NER,29999.999329447703
YR1960,NGA,32170000.459998876
YR1960,NIC,8009999.999776483
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,8180000.001564622
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,250000.0
YR1960,PAK,254470000.06213787
YR1960,PAN,12960000.00089407
YR1960,PER,-10419999.999925494
YR1960,PHL,50930000.3815442
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,9099999.913945792
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,7509999.999776483
YR1960,SAU,8009999.999776483
YR1960,SDN,27269999.921321876
YR1960,SEN,9999.99977648258
YR1960,SGP,-329999.99634921504
YR1960,SLB,1830000.04291534
YR1960,SLE,6419999.847188593
YR1960,SLV,1009999.9997764826
YR1960,SMR,
YR1960,SOM,21469999.846070964
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,8800000.19073486
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,
YR1960,SWZ,8489999.77111816
YR1960,SXM,
YR1960,SYC,1080000.04291534
YR1960,SYR,14479999.989271164
YR1960,TCA,
YR1960,TCD,19999.9995529652
YR1960,TGO,29999.999329447783
YR1960,THA,43469999.99135733
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,51200000.00670552
YR1960,TUR,137459999.6153265
YR1960,TUV,
YR1960,TZA,10070000.469684599
YR1960,UGA,20299999.69340859
YR1960,UKR,
YR1960,URY,19049999.998882413
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,760000.0221282234
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,191780000.07010996
YR1960,VUT,150000.005960464
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,14560000.227764253
YR1960,ZAF,
YR1960,ZMB,920000.016689301
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,33550000.116229057
YR1961,AGO,23469999.3133545
YR1961,ALB,
YR1961,AND,
YR1961,ARE,540000.021457672
YR1961,ARG,53950000.0476837
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,7169999.808073048
YR1961,BEL,
YR1961,BEN,1310000.002384186
YR1961,BFA,1169999.95708466
YR1961,BGD,
YR1961,BGR,
YR1961,BHR,939999.997615814
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,2780000.0458955807
YR1961,BMU,
YR1961,BOL,23080000.000074506
YR1961,BRA,290920000.4339218
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,5440000.05722046
YR1961,CAF,310000.002384186
YR1961,CAN,
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,123899999.92586672
YR1961,CHN,
YR1961,CIV,3109999.89509583
YR1961,CMR,6759999.781847
YR1961,COD,60549998.484551914
YR1961,COG,109999.999403954
YR1961,COL,52809999.99679625
YR1961,COM,
YR1961,CPV,2720000.02861023
YR1961,CRI,7000000.0
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,20100000.3814697
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,
YR1961,DZA,437899993.89648396
YR1961,ECU,11000000.0
YR1961,EGY,110320000.16979873
YR1961,ERI,
YR1961,ESP,
YR1961,EST,
YR1961,ETH,20169999.826699495
YR1961,FIN,
YR1961,FJI,980000.019073486
YR1961,FRA,
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,469999.998807907
YR1961,GBR,
YR1961,GEO,
YR1961,GHA,2609999.9807775025
YR1961,GIB,870000.004768372
YR1961,GIN,2269999.990239742
YR1961,GMB,1429999.94754791
YR1961,GNB,810000.002384186
YR1961,GNQ,
YR1961,GRC,
YR1961,GRD,
YR1961,GRL,
YR1961,GTM,15000000.0
YR1961,GUM,
YR1961,GUY,9070000.190287825
YR1961,HKG,4919999.996200204
YR1961,HND,7000000.0
YR1961,HRV,
YR1961,HTI,14000000.0
YR1961,HUN,
YR1961,IDN,111469999.08983712
YR1961,IMN,
YR1961,IND,619659996.1798639
YR1961,IRL,
YR1961,IRN,129540000.01400709
YR1961,IRQ,19999.9995529652
YR1961,ISL,
YR1961,ISR,107379999.09184878
YR1961,ITA,
YR1961,JAM,10090000.1525879
YR1961,JOR,71620000.34749508
YR1961,JPN,
YR1961,KAZ,
YR1961,KEN,62939998.93032018
YR1961,KGZ,
YR1961,KHM,24520000.00886619
YR1961,KIR,259999.990463257
YR1961,KNA,
YR1961,KOR,229519999.99023974
YR1961,KWT,
YR1961,LAO,51159999.994561076
YR1961,LBN,8129999.99895692
YR1961,LBR,26630000.472068787
YR1961,LBY,36520000.47639012
YR1961,LCA,
YR1961,LIE,
YR1961,LKA,11990000.113844873
YR1961,LSO,4109999.904409053
YR1961,LTU,
YR1961,LUX,
YR1961,LVA,
YR1961,MAC,1200000.04768372
YR1961,MAF,
YR1961,MAR,110569999.99843538
YR1961,MCO,
YR1961,MDA,
YR1961,MDG,1260000.0388920282
YR1961,MDV,239999.994635582
YR1961,MEX,87759999.91036952
YR1961,MHL,
YR1961,MKD,
YR1961,MLI,2300000.011920929
YR1961,MLT,9770000.45776367
YR1961,MMR,19710000.410675976
YR1961,MNE,
YR1961,MNG,
YR1961,MNP,6000000.0
YR1961,MOZ,3589999.91416931
YR1961,MRT,950000.0067055222
YR1961,MUS,5380000.133067365
YR1961,MWI,8229999.54223633
YR1961,MYS,19110000.31046568
YR1961,NAM,
YR1961,NCL,
YR1961,NER,1129999.99523163
YR1961,NGA,31040000.38839874
YR1961,NIC,9000000.0
YR1961,NLD,
YR1961,NOR,
YR1961,NPL,10249999.998137355
YR1961,NRU,
YR1961,NZL,
YR1961,OMN,330000.013113022
YR1961,PAK,252599999.38309193
YR1961,PAN,9960000.00089407
YR1961,PER,-17779999.997466803
YR1961,PHL,19059999.959543347
YR1961,PLW,
YR1961,PNG,
YR1961,POL,
YR1961,PRI,
YR1961,PRK,
YR1961,PRT,
YR1961,PRY,9730000.019073486
YR1961,PSE,
YR1961,PYF,
YR1961,QAT,
YR1961,ROU,
YR1961,RUS,
YR1961,RWA,7169999.808073048
YR1961,SAU,1000000.0
YR1961,SDN,13539999.86127019
YR1961,SEN,109999.9975413084
YR1961,SGP,-180000.0108778476
YR1961,SLB,1950000.04768372
YR1961,SLE,14810000.45686963
YR1961,SLV,8009999.999776483
YR1961,SMR,
YR1961,SOM,22389999.637380272
YR1961,SRB,
YR1961,SSD,
YR1961,STP,1009999.99046326
YR1961,SUR,10300000.1907349
YR1961,SVK,
YR1961,SVN,
YR1961,SWE,
YR1961,SWZ,11430000.3051758
YR1961,SXM,
YR1961,SYC,990000.009536743
YR1961,SYR,11239999.994635582
YR1961,TCA,
YR1961,TCD,3140000.10490417
YR1961,TGO,2530000.016093249
YR1961,THA,28720000.002533197
YR1961,TJK,
YR1961,TKM,
YR1961,TLS,1639999.98569489
YR1961,TON,
YR1961,TTO,79999.9982118607
YR1961,TUN,92170000.37990507
YR1961,TUR,188629999.37869602
YR1961,TUV,
YR1961,TZA,38770001.677796245
YR1961,UGA,20900000.60945753
YR1961,UKR,
YR1961,URY,2090000.0035762787
YR1961,USA,
YR1961,UZB,
YR1961,VCT,
YR1961,VEN,8920000.32402575
YR1961,VGB,
YR1961,VIR,
YR1961,VNM,166760000.03330413
YR1961,VUT,280000.001192093
YR1961,WSM,
YR1961,XKX,
YR1961,YEM,14650000.113993885
YR1961,ZAF,
YR1961,ZMB,910000.026226044
YR1961,ZWE,9999.99977648258
YR1962,ABW,
YR1962,AFG,15260000.094771383
YR1962,AGO,
YR1962,ALB,
YR1962,AND,
YR1962,ARE,430000.00715255697
YR1962,ARG,65290000.081062324
YR1962,ARM,
YR1962,ASM,
YR1962,ATG,
YR1962,AUS,
YR1962,AUT,
YR1962,AZE,
YR1962,BDI,10810000.190511342
YR1962,BEL,
YR1962,BEN,3360000.0515580205
YR1962,BFA,3990000.00953674
YR1962,BGD,
YR1962,BGR,
YR1962,BHR,1350000.02384186
YR1962,BHS,
YR1962,BIH,
YR1962,BLR,
YR1962,BLZ,5389999.9223649455
YR1962,BMU,
YR1962,BOL,31680000.09655952
YR1962,BRA,178580000.16212466
YR1962,BRB,
YR1962,BRN,
YR1962,BTN,
YR1962,BWA,5229999.789968133
YR1962,CAF,869999.9731034037
YR1962,CAN,
YR1962,CHE,
YR1962,CHI,
YR1962,CHL,131800000.68619846
YR1962,CHN,
YR1962,CIV,8259999.770671125
YR1962,CMR,8249999.908730386
YR1962,COD,115219999.31335445
YR1962,COG,2839999.9327957653
YR1962,COL,43949999.99180436
YR1962,COM,
YR1962,CPV,
YR1962,CRI,9000000.0
YR1962,CUB,
YR1962,CUW,
YR1962,CYM,
YR1962,CYP,15820000.458508728
YR1962,CZE,
YR1962,DEU,
YR1962,DJI,
YR1962,DMA,
