time,economy,value
YR1960,ABW,
YR1960,AFG,19.823067109527408
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,61.46938946782326
YR1960,BEL,
YR1960,BEN,0.07739104960585022
YR1960,BFA,0.7103906048725697
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,187.4803867906445
YR1960,CAF,0.13621953479401638
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,2.9832782583260853
YR1960,CHN,
YR1960,CIV,0.1423063823141901
YR1960,CMR,
YR1960,COD,
YR1960,COG,0.02854533031698266
YR1960,COL,-0.8793615073479774
YR1960,COM,
YR1960,CPV,
YR1960,CRI,4.740076551140185
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,0.21226415937801538
YR1960,DZA,30.902493849005886
YR1960,ECU,1.2739045623383782
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,0.9900533400238687
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,15.469766661178234
YR1960,GUM,
YR1960,GUY,15.730001568823154
YR1960,HKG,1.5941538957197299
YR1960,HND,11.55412618753612
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,12.557826959393402
YR1960,IRL,
YR1960,IRN,2.5689363140931194
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,
YR1960,KGZ,
YR1960,KHM,21.225557682669525
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,60.19786622978893
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,5.536841644117422
YR1960,LSO,222.86159182548508
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
