time,economy,value
YR1960,ABW,
YR1960,AFG,3.129959797863107
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,3.8836053341366
YR1960,BEL,
YR1960,BEN,0.008869877335153627
YR1960,BFA,0.05972026814967315
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,-0.026736600629914918
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,6.51614361025484
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,10.027414916075097
YR1960,CAF,0.026846180779505704
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,0.4274200867125164
YR1960,CHN,
YR1960,CIV,0.023361882962969885
YR1960,CMR,
YR1960,COD,
YR1960,COG,0.015437390886588402
YR1960,COL,-0.17865134460469684
YR1960,COM,
YR1960,CPV,
YR1960,CRI,0.8373806934479833
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,0.02717800477405144
YR1960,DZA,11.021224237334074
YR1960,ECU,0.3278672830310236
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,0.9995664732856312
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,0.014837462483643087
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,0.24434378123988376
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1.6095624429700541
YR1960,GUM,
YR1960,GUY,4.844054583781858
YR1960,HKG,0.4394106385665357
YR1960,HND,1.5661775000684588
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,1.9784599969409848
YR1960,IRL,
YR1960,IRN,0.6628268071611461
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,4.071953660976016
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,2.7596231091628503
YR1960,KGZ,
YR1960,KHM,4.280086503511598
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,6.276928184591882
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,0.7885197947067583
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,2.9072709961929553
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,0.4071952981660673
YR1960,MDV,
YR1960,MEX,0.06126557163051872
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,2.58840408624257
YR1960,MYS,0.7238734897181524
YR1960,NAM,
YR1960,NCL,
YR1960,NER,0.008874083716438321
YR1960,NGA,0.7820391176688705
YR1960,NIC,3.814069853280175
YR1960,NLD,
YR1960,NOR,
