time,economy,value
YR1960,ABW,0.0
YR1960,AFG,0.0
YR1960,AGO,0.0
YR1960,ALB,84.341
YR1960,AND,
YR1960,ARE,0.0
YR1960,ARG,2365.215
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,0.0
YR1960,AUS,0.0
YR1960,AUT,2922.599
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,62.339
YR1960,BEN,0.0
YR1960,BFA,0.0
YR1960,BGD,1133.103
YR1960,BGR,0.0
YR1960,BHR,0.0
YR1960,BHS,0.0
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,0.0
YR1960,BMU,0.0
YR1960,BOL,11.001
YR1960,BRA,113.677
YR1960,BRB,3.667
YR1960,BRN,304.361
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,0.0
YR1960,CAN,21554.626
YR1960,CHE,-3.667
YR1960,CHI,
YR1960,CHL,91.675
YR1960,CHN,1994.848
YR1960,CIV,0.0
YR1960,CMR,0.0
YR1960,COD,0.0
YR1960,COG,0.0
YR1960,COL,689.396
YR1960,COM,0.0
YR1960,CPV,0.0
YR1960,CRI,0.0
YR1960,CUB,0.0
YR1960,CUW,
YR1960,CYM,0.0
YR1960,CYP,0.0
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,0.0
YR1960,DMA,0.0
YR1960,DNK,0.0
YR1960,DOM,0.0
YR1960,DZA,0.0
YR1960,ECU,0.0
YR1960,EGY,0.0
YR1960,ERI,
YR1960,ESP,0.0
YR1960,EST,
YR1960,ETH,0.0
YR1960,FIN,0.0
YR1960,FJI,0.0
YR1960,FRA,5691.184
YR1960,FRO,0.0
YR1960,FSM,
YR1960,GAB,14.668
YR1960,GBR,150.347
YR1960,GEO,
YR1960,GHA,0.0
YR1960,GIB,0.0
YR1960,GIN,0.0
YR1960,GMB,0.0
YR1960,GNB,0.0
YR1960,GNQ,0.0
YR1960,GRC,0.0
YR1960,GRD,0.0
YR1960,GRL,0.0
YR1960,GTM,0.0
YR1960,GUM,
YR1960,GUY,0.0
YR1960,HKG,0.0
YR1960,HND,0.0
YR1960,HRV,
YR1960,HTI,0.0
YR1960,HUN,1012.092
YR1960,IDN,4671.758
YR1960,IMN,
YR1960,IND,0.0
YR1960,IRL,0.0
YR1960,IRN,1840.834
YR1960,IRQ,1158.772
YR1960,ISL,0.0
YR1960,ISR,0.0
YR1960,ITA,12090.099
YR1960,JAM,0.0
YR1960,JOR,0.0
YR1960,JPN,1602.479
YR1960,KAZ,
YR1960,KEN,0.0
YR1960,KGZ,
YR1960,KHM,0.0
YR1960,KIR,
YR1960,KNA,0.0
YR1960,KOR,0.0
YR1960,KWT,1807.831
YR1960,LAO,0.0
YR1960,LBN,0.0
YR1960,LBR,0.0
YR1960,LBY,0.0
YR1960,LCA,0.0
YR1960,LIE,
YR1960,LKA,0.0
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,0.0
YR1960,LVA,
YR1960,MAC,0.0
YR1960,MAF,
YR1960,MAR,18.335
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,0.0
YR1960,MDV,
YR1960,MEX,6384.247
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,0.0
YR1960,MLT,0.0
YR1960,MMR,40.337
YR1960,MNE,
YR1960,MNG,0.0
YR1960,MNP,
YR1960,MOZ,0.0
YR1960,MRT,0.0
YR1960,MUS,0.0
YR1960,MWI,
YR1960,MYS,0.0
YR1960,NAM,
YR1960,NCL,0.0
YR1960,NER,0.0
YR1960,NGA,0.0
YR1960,NIC,0.0
YR1960,NLD,649.059
YR1960,NOR,0.0
YR1960,NPL,0.0
YR1960,NRU,
YR1960,NZL,0.0
YR1960,OMN,
YR1960,PAK,1133.103
YR1960,PAN,0.0
YR1960,PER,124.678
YR1960,PHL,0.0
YR1960,PLW,0.0
YR1960,PNG,0.0
YR1960,POL,1470.467
YR1960,PRI,
YR1960,PRK,0.0
YR1960,PRT,0.0
YR1960,PRY,0.0
YR1960,PSE,
YR1960,PYF,0.0
YR1960,QAT,0.0
YR1960,ROU,20018.153
YR1960,RUS,89350.122
YR1960,RWA,0.0
YR1960,SAU,0.0
YR1960,SDN,0.0
YR1960,SEN,0.0
YR1960,SGP,0.0
YR1960,SLB,0.0
YR1960,SLE,0.0
YR1960,SLV,0.0
YR1960,SMR,
YR1960,SOM,0.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,0.0
YR1960,SUR,0.0
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,0.0
YR1960,SWZ,0.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,0.0
YR1960,TCA,
YR1960,TCD,0.0
YR1960,TGO,0.0
YR1960,THA,0.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,0.0
YR1960,TTO,1466.8
YR1960,TUN,14.668
YR1960,TUR,0.0
YR1960,TUV,
YR1960,TZA,0.0
YR1960,UGA,0.0
YR1960,UKR,
YR1960,URY,0.0
YR1960,USA,630540.65
YR1960,UZB,
YR1960,VCT,0.0
YR1960,VEN,9508.531
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,0.0
YR1960,VUT,
YR1960,WSM,0.0
YR1960,XKX,
YR1960,YEM,0.0
YR1960,ZAF,0.0
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,0.0
YR1961,AFG,0.0
YR1961,AGO,0.0
YR1961,ALB,84.341
YR1961,AND,
YR1961,ARE,0.0
YR1961,ARG,4033.7
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,0.0
YR1961,AUS,0.0
YR1961,AUT,3091.281
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,69.673
YR1961,BEN,0.0
YR1961,BFA,0.0
YR1961,BGD,1375.125
YR1961,BGR,0.0
YR1961,BHR,0.0
YR1961,BHS,0.0
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,0.0
YR1961,BMU,0.0
YR1961,BOL,84.341
YR1961,BRA,113.677
YR1961,BRB,7.334
YR1961,BRN,275.025
YR1961,BTN,
YR1961,BWA,
YR1961,CAF,0.0
YR1961,CAN,22984.756
YR1961,CHE,-3.667
YR1961,CHI,
YR1961,CHL,102.676
YR1961,CHN,2819.923
YR1961,CIV,0.0
YR1961,CMR,0.0
YR1961,COD,0.0
YR1961,COG,0.0
YR1961,COL,711.398
YR1961,COM,0.0
YR1961,CPV,0.0
YR1961,CRI,0.0
YR1961,CUB,0.0
YR1961,CUW,
YR1961,CYM,0.0
YR1961,CYP,0.0
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,0.0
YR1961,DMA,0.0
YR1961,DNK,0.0
YR1961,DOM,0.0
YR1961,DZA,451.041
YR1961,ECU,0.0
YR1961,EGY,0.0
YR1961,ERI,
YR1961,ESP,0.0
YR1961,EST,
YR1961,ETH,0.0
YR1961,FIN,0.0
YR1961,FJI,0.0
YR1961,FRA,7931.721
YR1961,FRO,0.0
YR1961,FSM,
YR1961,GAB,14.668
YR1961,GBR,150.347
YR1961,GEO,
YR1961,GHA,0.0
YR1961,GIB,0.0
YR1961,GIN,0.0
YR1961,GMB,0.0
YR1961,GNB,0.0
YR1961,GNQ,0.0
YR1961,GRC,0.0
YR1961,GRD,0.0
YR1961,GRL,0.0
YR1961,GTM,0.0
YR1961,GUM,
YR1961,GUY,0.0
YR1961,HKG,0.0
YR1961,HND,0.0
YR1961,HRV,
YR1961,HTI,0.0
YR1961,HUN,927.751
YR1961,IDN,4932.115
