time,economy,value
YR1960,ABW,11092.675
YR1960,AFG,271.358
YR1960,AGO,348.365
YR1960,ALB,1576.81
YR1960,AND,
YR1960,ARE,11.001
YR1960,ARG,41224.414
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,36.67
YR1960,AUS,27832.53
YR1960,AUT,8423.099
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,20784.556
YR1960,BEN,161.348
YR1960,BFA,44.004
YR1960,BGD,6552.929
YR1960,BGR,2860.26
YR1960,BHR,575.719
YR1960,BHS,410.704
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,44.004
YR1960,BMU,157.681
YR1960,BOL,968.088
YR1960,BRA,39049.883
YR1960,BRB,165.015
YR1960,BRN,29.336
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,88.008
YR1960,CAN,115836.863
YR1960,CHE,11129.345
YR1960,CHI,
YR1960,CHL,6930.63
YR1960,CHN,23010.425
YR1960,CIV,462.042
YR1960,CMR,267.691
YR1960,COD,1180.774
YR1960,COG,223.687
YR1960,COL,7939.055
YR1960,COM,11.001
YR1960,CPV,18.335
YR1960,CRI,491.378
YR1960,CUB,13384.55
YR1960,CUW,
YR1960,CYM,11.001
YR1960,CYP,843.41
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,40.337
YR1960,DMA,11.001
YR1960,DNK,14176.622
YR1960,DOM,953.42
YR1960,DZA,4374.731
YR1960,ECU,1664.818
YR1960,EGY,14620.329
YR1960,ERI,
YR1960,ESP,14246.295
YR1960,EST,
YR1960,ETH,311.695
YR1960,FIN,7209.322
YR1960,FJI,176.016
YR1960,FRA,77469.042
YR1960,FRO,51.338
YR1960,FSM,
YR1960,GAB,121.011
YR1960,GBR,128997.726
YR1960,GEO,
YR1960,GHA,1298.118
YR1960,GIB,47.671
YR1960,GIN,410.704
YR1960,GMB,18.335
YR1960,GNB,18.335
YR1960,GNQ,22.002
YR1960,GRC,5463.83
YR1960,GRD,22.002
YR1960,GRL,102.676
YR1960,GTM,1290.784
YR1960,GUM,
YR1960,GUY,660.06
YR1960,HKG,2460.557
YR1960,HND,597.721
YR1960,HRV,
YR1960,HTI,260.357
YR1960,HUN,7051.641
YR1960,IDN,14719.338
YR1960,IMN,
YR1960,IND,19460.769
YR1960,IRL,3212.292
YR1960,IRN,21855.32
YR1960,IRQ,6791.284
YR1960,ISL,1122.102
YR1960,ISR,5944.207
YR1960,ITA,61374.579
YR1960,JAM,1364.124
YR1960,JOR,663.727
YR1960,JPN,80681.334
YR1960,KAZ,
YR1960,KEN,2141.528
YR1960,KGZ,
YR1960,KHM,234.688
YR1960,KIR,
YR1960,KNA,11.001
YR1960,KOR,2086.523
YR1960,KWT,5995.545
YR1960,LAO,80.674
YR1960,LBN,2141.528
YR1960,LBR,165.015
YR1960,LBY,605.055
YR1960,LCA,14.668
YR1960,LIE,
YR1960,LKA,1525.472
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,649.059
YR1960,LVA,
YR1960,MAC,36.67
YR1960,MAF,
YR1960,MAR,2456.89
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,352.032
YR1960,MDV,
YR1960,MEX,43002.909
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,121.011
YR1960,MLT,330.03
YR1960,MMR,1716.156
YR1960,MNE,
YR1960,MNG,495.045
YR1960,MNP,
YR1960,MOZ,436.373
YR1960,MRT,36.67
YR1960,MUS,172.349
YR1960,MWI,
YR1960,MYS,3333.303
YR1960,NAM,
YR1960,NCL,179.683
YR1960,NER,29.336
YR1960,NGA,1877.504
YR1960,NIC,517.047
YR1960,NLD,31125.496
YR1960,NOR,9515.865
YR1960,NPL,80.674
YR1960,NRU,
YR1960,NZL,4635.088
YR1960,OMN,
YR1960,PAK,6552.929
YR1960,PAN,942.419
YR1960,PER,7400.006
YR1960,PHL,7759.372
YR1960,PLW,14.668
YR1960,PNG,179.683
YR1960,POL,5984.544
YR1960,PRI,
YR1960,PRK,597.721
YR1960,PRT,5262.145
YR1960,PRY,297.027
YR1960,PSE,
YR1960,PYF,36.67
YR1960,QAT,176.016
YR1960,ROU,16706.852
YR1960,RUS,364554.805
YR1960,RWA,106.343
YR1960,SAU,2632.906
YR1960,SDN,1272.449
YR1960,SEN,744.401
YR1960,SGP,1386.126
YR1960,SLB,11.001
YR1960,SLE,685.729
YR1960,SLV,575.719
YR1960,SMR,
YR1960,SOM,84.341
YR1960,SRB,
YR1960,SSD,
YR1960,STP,11.001
YR1960,SUR,432.706
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,37696.76
YR1960,SWZ,0.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,2970.27
YR1960,TCA,
YR1960,TCD,55.005
YR1960,TGO,66.006
YR1960,THA,3303.967
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,11.001
YR1960,TTO,1019.426
YR1960,TUN,1393.46
YR1960,TUR,4473.74
YR1960,TUV,
YR1960,TZA,821.408
YR1960,UGA,385.035
YR1960,UKR,
YR1960,URY,3942.025
YR1960,USA,1282679.93
YR1960,UZB,
YR1960,VCT,11.001
YR1960,VEN,14895.354
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,352.032
YR1960,VUT,
YR1960,WSM,14.668
YR1960,XKX,
YR1960,YEM,58.672
YR1960,ZAF,9075.825
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,11576.719
YR1961,AFG,293.36
YR1961,AGO,311.695
YR1961,ALB,1818.832
YR1961,AND,
YR1961,ARE,11.001
YR1961,ARG,42155.832
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,47.671
YR1961,AUS,29137.982
YR1961,AUT,9559.869
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,23307.452
YR1961,BEN,128.345
YR1961,BFA,91.675
YR1961,BGD,6857.29
YR1961,BGR,3652.332
YR1961,BHR,1771.161
YR1961,BHS,546.383
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,36.67
YR1961,BMU,176.016
YR1961,BOL,931.418
YR1961,BRA,41503.106
YR1961,BRB,187.017
YR1961,BRN,29.336
YR1961,BTN,
YR1961,BWA,
YR1961,CAF,88.008
YR1961,CAN,118759.462
YR1961,CHE,12610.813
YR1961,CHI,
YR1961,CHL,7223.99
YR1961,CHN,22354.032
YR1961,CIV,553.717
YR1961,CMR,278.692
YR1961,COD,1232.112
YR1961,COG,267.691
YR1961,COL,9204.17
YR1961,COM,11.001
YR1961,CPV,18.335
YR1961,CRI,491.378
YR1961,CUB,11327.363
YR1961,CUW,
YR1961,CYM,11.001
YR1961,CYP,817.741
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,44.004
YR1961,DMA,11.001
YR1961,DNK,16475.831
YR1961,DOM,913.083
YR1961,DZA,4316.059
YR1961,ECU,1536.473
YR1961,EGY,15276.722
YR1961,ERI,
YR1961,ESP,16765.524
YR1961,EST,
YR1961,ETH,300.694
