time,economy,value
YR1960,ABW,100.0
YR1960,AFG,65.48672566371681
YR1960,AGO,63.33333333333334
YR1960,ALB,77.89855072463769
YR1960,AND,
YR1960,ARE,100.0
YR1960,ARG,84.4501201923077
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,100.0
YR1960,AUS,31.555315345279176
YR1960,AUT,27.32897085068412
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,22.840103159252095
YR1960,BEN,100.0
YR1960,BFA,100.0
YR1960,BGD,46.295336787564764
YR1960,BGR,12.828947368421053
YR1960,BHR,100.0
YR1960,BHS,100.0
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,100.0
YR1960,BMU,100.0
YR1960,BOL,96.35036496350364
YR1960,BRA,83.2473420888055
YR1960,BRB,95.74468085106382
YR1960,BRN,8.79120879120879
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,100.0
YR1960,CAN,60.051708077486076
YR1960,CHE,57.006010518407216
YR1960,CHI,
YR1960,CHL,51.3726556129383
YR1960,CHN,2.9473100805050114
YR1960,CIV,100.0
YR1960,CMR,98.64864864864865
YR1960,COD,50.86887835703001
YR1960,COG,100.0
YR1960,COL,48.37988826815642
YR1960,COM,100.0
YR1960,CPV,83.33333333333334
YR1960,CRI,100.0
YR1960,CUB,97.69807280513918
YR1960,CUW,
YR1960,CYM,100.0
YR1960,CYP,95.04132231404958
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,100.0
YR1960,DMA,100.0
YR1960,DNK,47.60497475680335
YR1960,DOM,91.54929577464787
YR1960,DZA,71.01190476190476
YR1960,ECU,94.38669438669439
YR1960,EGY,91.0689812699863
YR1960,ERI,
YR1960,ESP,29.116390616802818
YR1960,EST,
YR1960,ETH,88.54166666666667
YR1960,FIN,47.73003156105851
YR1960,FJI,90.56603773584905
YR1960,FRA,28.563316297558206
YR1960,FRO,87.50000000000001
YR1960,FSM,
YR1960,GAB,91.66666666666666
YR1960,GBR,22.077318940630096
YR1960,GEO,
YR1960,GHA,88.7218045112782
YR1960,GIB,100.0
YR1960,GIN,100.0
YR1960,GMB,100.0
YR1960,GNB,100.0
YR1960,GNQ,100.0
YR1960,GRC,58.0896686159844
YR1960,GRD,100.0
YR1960,GRL,45.90163934426229
YR1960,GTM,95.91280653950955
YR1960,GUM,
YR1960,GUY,100.0
YR1960,HKG,83.25062034739453
YR1960,HND,97.02380952380952
YR1960,HRV,
YR1960,HTI,91.02564102564104
YR1960,HUN,15.541905762547485
YR1960,IDN,68.76820284392667
YR1960,IMN,
YR1960,IND,16.139038408904298
YR1960,IRL,28.730731387340107
YR1960,IRN,58.448563302932236
YR1960,IRQ,82.16503992901508
YR1960,ISL,92.44712990936557
YR1960,ISR,91.89342403628119
YR1960,ITA,56.12299644557709
YR1960,JAM,92.76807980049875
YR1960,JOR,89.16256157635468
YR1960,JPN,34.65973534971645
YR1960,KAZ,
YR1960,KEN,88.21752265861026
YR1960,KGZ,
YR1960,KHM,100.0
YR1960,KIR,
YR1960,KNA,100.0
YR1960,KOR,16.622845457201286
YR1960,KWT,76.8327067669173
YR1960,LAO,100.0
YR1960,LBN,82.95454545454544
YR1960,LBR,100.0
YR1960,LBY,87.30158730158729
YR1960,LCA,100.0
YR1960,LIE,
YR1960,LKA,67.53246753246754
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,5.6351480420248325
YR1960,LVA,
YR1960,MAC,71.42857142857143
YR1960,MAF,
YR1960,MAR,67.472306143001
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,88.07339449541286
YR1960,MDV,
YR1960,MEX,68.13269811759237
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,100.0
YR1960,MLT,96.77419354838709
YR1960,MMR,63.1578947368421
YR1960,MNE,
YR1960,MNG,38.243626062322946
YR1960,MNP,
YR1960,MOZ,23.151750972762645
YR1960,MRT,100.0
YR1960,MUS,95.91836734693877
YR1960,MWI,
YR1960,MYS,93.4224049331963
YR1960,NAM,
YR1960,NCL,20.851063829787233
YR1960,NER,100.0
YR1960,NGA,55.113024757804084
YR1960,NIC,97.24137931034483
YR1960,NLD,42.34472437016713
YR1960,NOR,72.62804366078925
YR1960,NPL,100.0
YR1960,NRU,
YR1960,NZL,40.15247776365946
YR1960,OMN,
YR1960,PAK,46.295336787564764
YR1960,PAN,94.48529411764706
YR1960,PER,90.5338716913414
YR1960,PHL,93.09282886053674
YR1960,PLW,100.0
YR1960,PNG,100.0
YR1960,POL,2.995759678396387
YR1960,PRI,
YR1960,PRK,2.5096227867590453
YR1960,PRT,63.976816763263486
YR1960,PRY,97.59036144578313
YR1960,PSE,
YR1960,PYF,100.0
YR1960,QAT,100.0
YR1960,ROU,31.25686059275521
YR1960,RUS,25.16536007108015
YR1960,RWA,100.0
YR1960,SAU,98.35616438356165
YR1960,SDN,93.53099730458221
