time,economy,value
YR1960,ABW,0.0
YR1960,AFG,30.973451327433633
YR1960,AGO,22.666666666666668
YR1960,ALB,16.1231884057971
YR1960,AND,
YR1960,ARE,0.0
YR1960,ARG,8.0078125
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,0.0
YR1960,AUS,66.8648401446805
YR1960,AUT,58.60797144556812
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,74.68165699548678
YR1960,BEN,0.0
YR1960,BFA,0.0
YR1960,BGD,41.6321243523316
YR1960,BGR,83.60197368421053
YR1960,BHR,0.0
YR1960,BHS,0.0
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,0.0
YR1960,BMU,0.0
YR1960,BOL,0.7299270072992701
YR1960,BRA,10.592557848655408
YR1960,BRB,2.127659574468085
YR1960,BRN,0.0
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,0.0
YR1960,CAN,25.753284033230045
YR1960,CHE,35.255447032306535
YR1960,CHI,
YR1960,CHL,33.46017939657516
YR1960,CHN,95.93482569772576
YR1960,CIV,0.0
YR1960,CMR,1.3513513513513513
YR1960,COD,44.865718799368096
YR1960,COG,0.0
YR1960,COL,40.73743016759776
YR1960,COM,0.0
YR1960,CPV,0.0
YR1960,CRI,0.0
YR1960,CUB,0.8297644539614561
YR1960,CUW,
YR1960,CYM,0.0
YR1960,CYP,0.0
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,0.0
YR1960,DMA,0.0
YR1960,DNK,49.99384312276813
YR1960,DOM,0.352112676056338
YR1960,DZA,20.416666666666664
YR1960,ECU,0.0
YR1960,EGY,2.581087254454088
YR1960,ERI,
YR1960,ESP,65.03784756051861
YR1960,EST,
YR1960,ETH,7.291666666666667
YR1960,FIN,48.118475358096624
YR1960,FJI,9.433962264150944
YR1960,FRA,66.73156485762959
YR1960,FRO,6.25
YR1960,FSM,
YR1960,GAB,0.0
YR1960,GBR,76.74469687460775
YR1960,GEO,
YR1960,GHA,11.278195488721805
YR1960,GIB,0.0
YR1960,GIN,0.0
YR1960,GMB,0.0
YR1960,GNB,0.0
YR1960,GNQ,0.0
YR1960,GRC,33.177387914230025
YR1960,GRD,0.0
YR1960,GRL,54.0983606557377
YR1960,GTM,0.0
YR1960,GUM,
YR1960,GUY,0.0
YR1960,HKG,14.1439205955335
YR1960,HND,0.0
YR1960,HRV,
YR1960,HTI,0.0
YR1960,HUN,80.48977612543442
YR1960,IDN,8.514647935583348
YR1960,IMN,
YR1960,IND,80.6161238329836
YR1960,IRL,67.98950475565758
YR1960,IRN,1.6377365891929
YR1960,IRQ,0.08873114463176575
YR1960,ISL,4.833836858006042
YR1960,ISR,1.870748299319728
YR1960,ITA,25.51807390517068
YR1960,JAM,0.0
YR1960,JOR,0.0
YR1960,JPN,59.82356647763075
YR1960,KAZ,
YR1960,KEN,4.682779456193353
YR1960,KGZ,
YR1960,KHM,0.0
YR1960,KIR,
YR1960,KNA,0.0
YR1960,KOR,81.62430616418347
YR1960,KWT,0.0
YR1960,LAO,0.0
YR1960,LBN,0.4261363636363636
YR1960,LBR,0.0
YR1960,LBY,12.698412698412698
YR1960,LCA,0.0
YR1960,LIE,
YR1960,LKA,30.519480519480517
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,93.44157911493156
YR1960,LVA,
YR1960,MAC,28.57142857142857
YR1960,MAF,
YR1960,MAR,24.068479355488417
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,11.926605504587156
YR1960,MDV,
YR1960,MEX,5.536834766442017
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,0.0
YR1960,MLT,2.150537634408602
YR1960,MMR,34.54790823211876
YR1960,MNE,
YR1960,MNG,61.75637393767705
YR1960,MNP,
YR1960,MOZ,71.01167315175097
YR1960,MRT,0.0
YR1960,MUS,4.081632653061225
YR1960,MWI,
YR1960,MYS,2.5693730729701953
YR1960,NAM,
YR1960,NCL,79.14893617021276
YR1960,NER,0.0
YR1960,NGA,42.518837459634014
YR1960,NIC,0.0
YR1960,NLD,55.55001247193814
YR1960,NOR,22.97788972851945
YR1960,NPL,0.0
YR1960,NRU,
YR1960,NZL,57.179161372299866
YR1960,OMN,
YR1960,PAK,41.6321243523316
YR1960,PAN,0.0
YR1960,PER,4.30686406460296
YR1960,PHL,2.155741311042675
YR1960,PLW,0.0
YR1960,PNG,0.0
YR1960,POL,94.62158342052608
YR1960,PRI,
YR1960,PRK,92.70207852193995
YR1960,PRT,28.756130182790905
YR1960,PRY,0.0
YR1960,PSE,
YR1960,PYF,0.0
YR1960,QAT,0.0
YR1960,ROU,28.444017563117452
YR1960,RUS,67.09961093237008
YR1960,RWA,0.0
YR1960,SAU,0.0
YR1960,SDN,2.4258760107816713
YR1960,SEN,0.0
YR1960,SGP,0.7894736842105263
YR1960,SLB,0.0
YR1960,SLE,4.102564102564102
YR1960,SLV,0.0
YR1960,SMR,
YR1960,SOM,0.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,0.0
YR1960,SUR,0.0
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,20.569172316173727
YR1960,SWZ,100.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,0.341296928327645
YR1960,TCA,
YR1960,TCD,0.0
YR1960,TGO,0.0
YR1960,THA,3.948667324777888
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
