time,economy,value
YR1960,ABW,
YR1960,AFG,37.75321333359794
YR1960,AGO,38.548512621591186
YR1960,ALB,27.28054868396014
YR1960,AND,
YR1960,ARE,49.40523510879486
YR1960,ARG,44.849154106787864
YR1960,ARM,55.96089306991482
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,25.478566140255747
YR1960,AUT,35.66464459643771
YR1960,AZE,49.004622622332775
YR1960,BDI,78.40586443652883
YR1960,BEL,17.5424857112744
YR1960,BEN,32.403383998723015
YR1960,BFA,26.049335395216254
YR1960,BGD,20.601194162790158
YR1960,BGR,24.25866692978886
YR1960,BHR,48.52817996888837
YR1960,BHS,
YR1960,BIH,27.568930875365943
YR1960,BLR,20.732736648954877
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,32.74703727837235
YR1960,BRA,13.491913902555334
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,31.25880033793298
YR1960,CAN,16.422096093503463
YR1960,CHE,14.1707430158668
YR1960,CHI,
YR1960,CHL,35.88713551010731
YR1960,CHN,6.351750605391931
YR1960,CIV,30.973661352870707
YR1960,CMR,21.151839136695834
YR1960,COD,13.023705424218193
YR1960,COG,38.42493893305322
YR1960,COL,17.075588226149435
YR1960,COM,
YR1960,CPV,
YR1960,CRI,50.409785718046365
YR1960,CUB,34.420134869307596
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,17.50375100366347
YR1960,DEU,6.27154028532122
YR1960,DJI,94.94642305590534
YR1960,DMA,
YR1960,DNK,38.0613304442756
YR1960,DOM,36.93375656949462
YR1960,DZA,25.835790042783202
YR1960,ECU,29.638472032742158
YR1960,EGY,36.49403556704803
YR1960,ERI,100.0
YR1960,ESP,14.325519460768493
YR1960,EST,42.50653483187334
YR1960,ETH,36.43367822415845
YR1960,FIN,18.299937325066505
YR1960,FJI,
YR1960,FRA,25.68756735168487
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,33.56167527251865
YR1960,GBR,19.93878503690677
YR1960,GEO,45.71399820268858
YR1960,GHA,25.44569273338549
YR1960,GIB,
YR1960,GIN,30.651883391772273
YR1960,GMB,83.71840910630802
YR1960,GNB,30.513753803926246
YR1960,GNQ,23.057694077232156
YR1960,GRC,38.916676000561324
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,47.06879417004099
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,99.66127502704725
YR1960,HND,27.636184064399682
YR1960,HRV,34.419791257819824
YR1960,HTI,41.054091309461214
YR1960,HUN,32.444927891402145
YR1960,IDN,20.92868633378049
YR1960,IMN,
YR1960,IND,7.318586760527819
YR1960,IRL,51.7342096512333
YR1960,IRN,25.33907978787318
YR1960,IRQ,32.57818178446043
YR1960,ISL,
YR1960,ISR,45.4367954341486
YR1960,ITA,8.240469056658329
YR1960,JAM,76.48217247097844
YR1960,JOR,45.94241637230307
YR1960,JPN,28.278952522386202
YR1960,KAZ,12.039798864874209
YR1960,KEN,48.94981599197056
YR1960,KGZ,31.777852000096967
YR1960,KHM,66.14266344516825
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,34.067525435623416
YR1960,KWT,88.69179380788358
YR1960,LAO,45.04230801182014
YR1960,LBN,73.39191692922864
YR1960,LBR,36.01099660314353
YR1960,LBY,44.02490454856716
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,29.889643908226628
YR1960,LSO,
YR1960,LTU,22.773472842424773
YR1960,LUX,
YR1960,LVA,53.27459783215524
YR1960,MAC,100.0
YR1960,MAF,
YR1960,MAR,26.712333119755353
YR1960,MCO,
YR1960,MDA,46.64200305823174
YR1960,MDG,46.454507762472936
YR1960,MDV,
YR1960,MEX,28.581549854611442
YR1960,MHL,
YR1960,MKD,37.64705417754312
YR1960,MLI,22.321128133991664
YR1960,MLT,
YR1960,MMR,38.09370098429224
YR1960,MNE,
YR1960,MNG,52.52377404537162
YR1960,MNP,
YR1960,MOZ,36.72518578113189
YR1960,MRT,8.980275527296346
YR1960,MUS,
YR1960,MWI,31.242959302434137
YR1960,MYS,15.834940518773646
YR1960,NAM,31.394406875176106
YR1960,NCL,
YR1960,NER,29.314560495537716
YR1960,NGA,10.960837638949847
YR1960,NIC,28.296878272726882
YR1960,NLD,13.658615760024198
YR1960,NOR,32.333513261045276
YR1960,NPL,33.89022226266579
YR1960,NRU,
YR1960,NZL,24.419354892397923
YR1960,OMN,15.242305354478644
YR1960,PAK,18.63705841537363
YR1960,PAN,60.53133284690587
YR1960,PER,36.93825938823585
YR1960,PHL,28.568291040657034
YR1960,PLW,
YR1960,PNG,34.63364710642501
YR1960,POL,7.884905757149798
YR1960,PRI,56.76511636320017
YR1960,PRK,14.064037676343814
YR1960,PRT,48.89376222258468
YR1960,PRY,56.843465292441266
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,77.43404444884423
YR1960,ROU,15.917563442360889
YR1960,RUS,9.577434254961014
YR1960,RWA,44.96429741238126
YR1960,SAU,12.270465654222805
YR1960,SDN,42.749761943527574
YR1960,SEN,48.687553724879805
YR1960,SGP,99.19132653061224
YR1960,SLB,
YR1960,SLE,29.59466079168086
YR1960,SLV,29.3304203416796
YR1960,SMR,
YR1960,SOM,19.685692907131013
YR1960,SRB,33.224926830817644
YR1960,SSD,6.625757496551807
YR1960,STP,
YR1960,SUR,
YR1960,SVK,17.520808434587217
YR1960,SVN,
YR1960,SWE,14.829530301290525
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,34.482197350201055
YR1960,TCA,
YR1960,TCD,35.47027473539116
YR1960,TGO,59.46365914786968
YR1960,THA,39.90762543790526
YR1960,TJK,34.667901316606816
YR1960,TKM,24.075462772576877
YR1960,TLS,
YR1960,TON,
YR1960,TTO,62.14208027621925
YR1960,TUN,37.53408732736212
YR1960,TUR,16.786422308945763
YR1960,TUV,
YR1960,TZA,30.74434516133926
YR1960,UGA,45.99701574429077
YR1960,UKR,5.825821051380356
YR1960,URY,63.07975751054104
YR1960,USA,11.1997817724156
YR1960,UZB,33.27159270793278
YR1960,VCT,
YR1960,VEN,26.22444124119319
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,29.151501812494622
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,25.015660630518692
YR1960,ZAF,14.397361791410768
YR1960,ZMB,17.761888609512326
YR1960,ZWE,52.0782755521207
YR1961,ABW,
YR1961,AFG,37.72070061574514
YR1961,AGO,39.032222419410466
YR1961,ALB,26.813891182105642
YR1961,AND,
YR1961,ARE,47.13186358847144
YR1961,ARG,44.78489352038806
YR1961,ARM,55.12661084733508
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,25.41972962353934
YR1961,AUT,35.43184131033152
YR1961,AZE,48.777860909507446
YR1961,BDI,82.49432279666496
YR1961,BEL,17.55098256952174
YR1961,BEN,32.06438552313238
YR1961,BFA,26.876086289745427
YR1961,BGD,20.863255506895374
YR1961,BGR,23.58568414218471
YR1961,BHR,48.99054563341363
YR1961,BHS,
YR1961,BIH,26.976884282393282
YR1961,BLR,20.948455229368584
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,32.8921574657739
YR1961,BRA,13.368042580702754
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,
YR1961,CAF,32.31545573969281
YR1961,CAN,16.61175548195308
YR1961,CHE,14.115081437582944
YR1961,CHI,
YR1961,CHL,35.904109031618944
YR1961,CHN,6.120042887415206
YR1961,CIV,30.375443021017475
YR1961,CMR,21.05465245209242
YR1961,COD,13.844209627325224
YR1961,COG,39.116325289589604
