time,economy,value
YR1960,ABW,
YR1960,AFG,285352.0
YR1960,AGO,219427.0
YR1960,ALB,134761.0
YR1960,AND,
YR1960,ARE,33559.0
YR1960,ARG,6761837.0
YR1960,ARM,537759.0
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,2134673.0
YR1960,AUT,1626724.0
YR1960,AZE,1005297.0
YR1960,BDI,45564.0
YR1960,BEL,1484676.0
YR1960,BEN,73080.0
YR1960,BFA,59126.0
YR1960,BGD,507921.0
YR1960,BGR,708061.0
YR1960,BHR,64888.00000000001
YR1960,BHS,
YR1960,BIH,169319.0
YR1960,BLR,550710.0
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,440242.0
YR1960,BRA,4493182.0
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,94350.0
YR1960,CAN,2031108.0
YR1960,CHE,535471.0
YR1960,CHI,
YR1960,CHL,1979927.0
YR1960,CHN,6865312.0
YR1960,CIV,191849.0
YR1960,CMR,152612.0
YR1960,COD,442853.0
YR1960,COG,123643.0
YR1960,COL,1268645.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,229792.0
YR1960,CUB,1435511.0
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,1000830.0
YR1960,DEU,3259833.0
YR1960,DJI,39962.0
YR1960,DMA,
YR1960,DNK,1284407.0
YR1960,DOM,367328.0
YR1960,DZA,871636.0
YR1960,ECU,456225.0
YR1960,EGY,3680160.0
YR1960,ERI,123185.0
YR1960,ESP,2467926.0
YR1960,EST,296285.0
YR1960,ETH,519177.0
YR1960,FIN,448192.0
YR1960,FJI,
YR1960,FRA,7410735.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,29249.0
YR1960,GBR,8195769.0
YR1960,GEO,717766.0
YR1960,GHA,392582.0
YR1960,GIB,
YR1960,GIN,112158.0
YR1960,GMB,37068.0
YR1960,GNB,25569.0
YR1960,GNQ,15035.0
YR1960,GRC,1813686.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,604810.0
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,2611539.0
YR1960,HND,128157.00000000001
YR1960,HRV,429707.0
YR1960,HTI,247495.0
YR1960,HUN,1811120.0
YR1960,IDN,2678740.0
YR1960,IMN,
YR1960,IND,5910210.0
YR1960,IRL,661202.0
YR1960,IRN,1872633.0
YR1960,IRQ,1018795.0
YR1960,ISL,
YR1960,ISR,738158.0
YR1960,ITA,2455581.0
YR1960,JAM,420603.0
YR1960,JOR,218113.0
YR1960,JPN,16678821.0
YR1960,KAZ,528653.0
