time,economy,value
YR1960,ABW,
YR1960,AFG,3.1716466226896243
YR1960,AGO,4.022538844621149
YR1960,ALB,
YR1960,AND,
YR1960,ARE,61.668307778871856
YR1960,ARG,40.85020731351439
YR1960,ARM,28.693962336436478
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,54.19994614886016
YR1960,AUT,23.08215676422649
YR1960,AZE,25.807298766390495
YR1960,BDI,
YR1960,BEL,25.10237353210344
YR1960,BEN,
YR1960,BFA,1.224321012886162
YR1960,BGD,1.8074477170537748
YR1960,BGR,8.99996618948076
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,6.717614052207856
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,18.017692832928763
YR1960,BRA,21.375031198377208
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,30.098935122540837
YR1960,CHE,10.050457719441717
YR1960,CHI,
YR1960,CHL,24.34439839330883
YR1960,CHN,8.122740192183729
YR1960,CIV,5.475831861258794
YR1960,CMR,4.405457298934501
YR1960,COD,6.428099056049426
YR1960,COG,18.469654919106627
YR1960,COL,20.501542124862855
YR1960,COM,
YR1960,CPV,
YR1960,CRI,17.267376372026476
YR1960,CUB,20.101702211142296
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,10.423134499186942
YR1960,DEU,9.502961619119164
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,28.046252044118237
YR1960,DOM,11.150675333963529
YR1960,DZA,7.882498826174748
YR1960,ECU,17.069638603961828
YR1960,EGY,19.464612384738857
YR1960,ERI,
YR1960,ESP,15.956227220489247
YR1960,EST,
YR1960,ETH,2.34377835614405
YR1960,FIN,10.118036840063988
YR1960,FJI,
YR1960,FRA,21.574098732761456
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,31.415877862595416
YR1960,GEO,19.688556067588326
YR1960,GHA,9.248000332769223
YR1960,GIB,
YR1960,GIN,3.2098665088416003
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,21.76843330762837
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,14.648282342911395
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,84.91139141729839
YR1960,HND,6.28640914807744
YR1960,HRV,
YR1960,HTI,6.401568273652268
YR1960,HUN,18.140284317846803
YR1960,IDN,8.026772005254044
YR1960,IMN,
YR1960,IND,7.55166165267638
YR1960,IRL,23.3755921657357
YR1960,IRN,14.971272305006607
YR1960,IRQ,19.587673272331724
YR1960,ISL,
YR1960,ISR,46.96090860067549
YR1960,ITA,15.850505082699698
YR1960,JAM,
YR1960,JOR,23.375043671538588
YR1960,JPN,40.24946039306557
YR1960,KAZ,6.431001904059403
YR1960,KEN,5.5778254456051055
YR1960,KGZ,
YR1960,KHM,6.802773395368214
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,21.81020082300065
YR1960,KWT,66.42406310170765
YR1960,LAO,
YR1960,LBN,31.076354550163853
YR1960,LBR,6.709575338241012
YR1960,LBY,12.028933676512825
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,13.154307422814004
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,4.943691061323677
YR1960,MDV,
YR1960,MEX,25.40791146086236
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,2.4700559128541433
YR1960,MLT,
YR1960,MMR,8.475822294639629
YR1960,MNE,
YR1960,MNG,18.739966133410917
YR1960,MNP,
YR1960,MOZ,2.785367028213454
YR1960,MRT,0.617843615243592
YR1960,MUS,
YR1960,MWI,0.28901797277580754
YR1960,MYS,4.211777779793932
YR1960,NAM,
YR1960,NCL,
YR1960,NER,1.6981952765218336
YR1960,NGA,4.753179439440335
YR1960,NIC,11.200181373975541
YR1960,NLD,15.95495667963914
YR1960,NOR,16.140894254753732
YR1960,NPL,1.1793794396074837
YR1960,NRU,
YR1960,NZL,18.558225820052282
YR1960,OMN,2.4997507861563975
YR1960,PAK,11.5011772958937
YR1960,PAN,24.96855706726802
YR1960,PER,17.29116787761234
YR1960,PHL,9.532130522337468
YR1960,PLW,
YR1960,PNG,
YR1960,POL,3.7762391838704072
YR1960,PRI,25.287150127226464
YR1960,PRK,5.6530402289387895
YR1960,PRT,26.57702053215524
YR1960,PRY,20.218646106334592
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,5.445239164324475
