time,economy,value
YR1960,ABW,
YR1960,AFG,285352.0
YR1960,AGO,219427.0
YR1960,ALB,
YR1960,AND,
YR1960,ARE,56992.0
YR1960,ARG,8366850.0
YR1960,ARM,537759.0
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,5569845.0
YR1960,AUT,1626724.0
YR1960,AZE,1005297.0
YR1960,BDI,
YR1960,BEL,2297743.0
YR1960,BEN,
YR1960,BFA,59126.0
YR1960,BGD,867819.0
YR1960,BGR,708061.0
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,550710.0
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,658900.0
YR1960,BRA,15428334.0
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,5390421.0
YR1960,CHE,535471.0
YR1960,CHI,
YR1960,CHL,1979927.0
YR1960,CHN,54184363.0
YR1960,CIV,191849.0
YR1960,CMR,228067.0
YR1960,COD,980173.0
YR1960,COG,188068.0
YR1960,COL,3292079.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,229792.0
YR1960,CUB,1435511.0
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,1000830.0
YR1960,DEU,6919572.0
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,1284407.0
YR1960,DOM,367328.0
YR1960,DZA,871636.0
YR1960,ECU,775586.0
YR1960,EGY,5183989.0
YR1960,ERI,
YR1960,ESP,4859469.0
YR1960,EST,
YR1960,ETH,519177.0
YR1960,FIN,448192.0
YR1960,FJI,
YR1960,FRA,10058209.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,16461919.999999998
YR1960,GEO,717766.0
YR1960,GHA,613626.0
YR1960,GIB,
YR1960,GIN,112158.0
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,1813686.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,604810.0
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,2611539.0
YR1960,HND,128157.00000000001
YR1960,HRV,
YR1960,HTI,247495.0
YR1960,HUN,1811120.0
YR1960,IDN,7043578.0
YR1960,IMN,
YR1960,IND,34023836.0
YR1960,IRL,661202.0
YR1960,IRN,3279743.0
YR1960,IRQ,1427893.0
YR1960,ISL,
YR1960,ISR,992763.0
YR1960,ITA,7956906.0
YR1960,JAM,
YR1960,JOR,218113.0
YR1960,JPN,37518937.0
YR1960,KAZ,638892.0
YR1960,KEN,452924.0
YR1960,KGZ,
YR1960,KHM,389280.0
YR1960,KIR,
YR1960,KNA,
