time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,0.0
YR1960,AND,
YR1960,ARE,0.0
YR1960,ARG,0.0
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,5700.0
YR1960,AUT,650.0
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,
YR1960,BFA,
YR1960,BGD,49237.0
YR1960,BGR,900.0
YR1960,BHR,0.0
YR1960,BHS,0.0
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,0.0
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,2975.0
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,80.0
YR1960,CHN,958506.0
YR1960,CIV,
YR1960,CMR,
YR1960,COD,
YR1960,COG,
YR1960,COL,
YR1960,COM,
YR1960,CPV,
YR1960,CRI,
YR1960,CUB,0.0
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,19810.0
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,6045.0
YR1960,DOM,
YR1960,DZA,0.0
YR1960,ECU,0.0
YR1960,EGY,4600.0
YR1960,ERI,
YR1960,ESP,6300.0
YR1960,EST,
YR1960,ETH,
YR1960,FIN,0.0
YR1960,FJI,0.0
YR1960,FRA,111100.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,35.0
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,0.0
YR1960,GNQ,
YR1960,GRC,330.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,600.0
YR1960,HND,
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,10000.0
YR1960,IDN,80639.0
YR1960,IMN,
YR1960,IND,44843.0
YR1960,IRL,2100.0
YR1960,IRN,0.0
YR1960,IRQ,0.0
YR1960,ISL,0.0
YR1960,ISR,9271.0
YR1960,ITA,2794.0
YR1960,JAM,0.0
YR1960,JOR,
YR1960,JPN,308044.0
YR1960,KAZ,
YR1960,KEN,380.0
YR1960,KGZ,0.0
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,0.0
YR1960,KOR,18637.0
YR1960,KWT,0.0
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,0.0
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,0.0
YR1960,LSO,0.0
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,0.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,100.0
YR1960,MHL,0.0
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,80.0
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,7841.0
YR1960,NAM,
YR1960,NCL,0.0
YR1960,NER,
YR1960,NGA,2005.0
YR1960,NIC,
YR1960,NLD,77600.0
YR1960,NOR,1900.0
YR1960,NPL,0.0
YR1960,NRU,0.0
YR1960,NZL,2800.0
YR1960,OMN,
YR1960,PAK,1170.0
YR1960,PAN,0.0
YR1960,PER,
YR1960,PHL,60769.0
YR1960,PLW,0.0
YR1960,PNG,0.0
YR1960,POL,8100.0
YR1960,PRI,0.0
YR1960,PRK,5236.0
YR1960,PRT,0.0
YR1960,PRY,
YR1960,PSE,0.0
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,13700.0
YR1960,RUS,0.0
YR1960,RWA,
YR1960,SAU,0.0
YR1960,SDN,
YR1960,SEN,
YR1960,SGP,0.0
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,0.0
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,510.0
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,
YR1960,THA,31545.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,0.0
YR1960,TON,
YR1960,TTO,
YR1960,TUN,0.0
YR1960,TUR,60.0
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,0.0
YR1960,USA,104421.0
YR1960,UZB,0.0
YR1960,VCT,
YR1960,VEN,0.0
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,37660.0
YR1960,VUT,0.0
YR1960,WSM,0.0
YR1960,XKX,
YR1960,YEM,0.0
YR1960,ZAF,
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,0.0
YR1961,AND,
YR1961,ARE,0.0
YR1961,ARG,0.0
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,6500.0
YR1961,AUT,660.0
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,
YR1961,BFA,
YR1961,BGD,50569.0
YR1961,BGR,900.0
YR1961,BHR,0.0
YR1961,BHS,0.0
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,
YR1961,BRA,0.0
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
