time,economy,value
YR1960,ABW,
YR1960,AFG,4.6033054997951135
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,10.797746926309939
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,18.697484049596724
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,5.012436639623027
YR1960,BFA,1.135480615052724
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,1.6789461933467291
YR1960,BRA,12.222710895001605
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,11.163635024000161
YR1960,CAN,18.31846754794644
YR1960,CHE,95.98848253446431
YR1960,CHI,
YR1960,CHL,22.119000221190003
YR1960,CHN,
YR1960,CIV,18.883500961713406
YR1960,CMR,9.701174670154582
YR1960,COD,
YR1960,COG,22.229097074448347
YR1960,COL,20.540851768629402
YR1960,COM,
YR1960,CPV,
YR1960,CRI,27.047717039138817
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,5.844737884326837
YR1960,DZA,
YR1960,ECU,10.89499224171471
YR1960,EGY,16.930638995084653
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,8.21621614515705
YR1960,GBR,17.338940929076657
YR1960,GEO,
YR1960,GHA,4.568469505178366
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,10.080491575363318
YR1960,GUM,
YR1960,GUY,11.240575736806031
YR1960,HKG,
YR1960,HND,9.935945180992105
YR1960,HRV,
YR1960,HTI,1.4202715207740333
YR1960,HUN,
