time,economy,value
YR1960,ABW,
YR1960,AFG,50690800.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,527233600.0
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,892782000.0
YR1960,AUT,720945600.0
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,1526945820.56682
YR1960,BEN,
YR1960,BFA,
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,6715418.4
YR1960,BRA,432848800.0
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,2012986400.0
YR1960,CHE,2361508000.0
YR1960,CHI,
YR1960,CHL,111888400.0
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,19240000.0
YR1960,COD,62509200.0
YR1960,COG,5060000.0
YR1960,COL,171352400.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,13460727.6
YR1960,CUB,144018160.0
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,27400000.0
YR1960,CZE,
YR1960,DEU,7083840800.0
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,287547600.0
YR1960,DOM,25973200.0
YR1960,DZA,265802800.0
YR1960,ECU,41077600.0
YR1960,EGY,266967600.0
YR1960,ERI,
YR1960,ESP,544061600.0
YR1960,EST,
YR1960,ETH,55049600.0
YR1960,FIN,327964400.0
YR1960,FJI,
YR1960,FRA,2300194000.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,9500000.0
YR1960,GBR,3767016800.50312
YR1960,GEO,
YR1960,GHA,277926000.0
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,242101200.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,54465080.0
YR1960,GUM,
YR1960,GUY,14740000.0
YR1960,HKG,
YR1960,HND,13320360.0
YR1960,HRV,
YR1960,HTI,4300000.0
YR1960,HUN,
YR1960,IDN,352739200.0
YR1960,IMN,
YR1960,IND,674536630.92578
YR1960,IRL,324568724.0
YR1960,IRN,185218400.0
YR1960,IRQ,259340000.0
YR1960,ISL,12332400.0
YR1960,ISR,213156800.0
YR1960,ITA,3288591200.0
YR1960,JAM,69200000.0
YR1960,JOR,46380000.0
YR1960,JPN,1953371600.0
YR1960,KAZ,
YR1960,KEN,
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,157015600.0
YR1960,KWT,71700000.0
YR1960,LAO,
YR1960,LBN,140193600.0
YR1960,LBR,
YR1960,LBY,82390000.0
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,101260000.0
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,206112400.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,444341600.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,59300000.0
YR1960,MMR,121690000.0
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,17120000.0
YR1960,MWI,
YR1960,MYS,471000000.0
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,343000000.0
YR1960,NIC,11736000.0
YR1960,NLD,1885730631.7617
YR1960,NOR,308178400.0
YR1960,NPL,19273663.6
YR1960,NRU,
YR1960,NZL,287599928.8
YR1960,OMN,
YR1960,PAK,327400600.0
YR1960,PAN,7430000.0
YR1960,PER,76811600.0
YR1960,PHL,126942400.0
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,801276000.0
YR1960,PRY,1011709.2
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,
YR1960,SAU,185058400.0
YR1960,SDN,190600000.0
YR1960,SEN,
YR1960,SGP,115000000.0
YR1960,SLB,
YR1960,SLE,27200000.0
YR1960,SLV,33573600.0
YR1960,SMR,
YR1960,SOM,9300000.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,17501597.906988
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,505439200.0
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,28330800.0
YR1960,TCA,
YR1960,TCD,12240000.0
YR1960,TGO,
YR1960,THA,373373600.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,23600000.0
YR1960,TUN,84451418.4
YR1960,TUR,205127600.0
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,191463600.0
YR1960,USA,19664164000.0
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,615486000.0
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,272204000.0
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,42444500.0
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,386407550.0
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,1320041500.0
YR1961,AUT,847058100.0
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,1819222317.90634
YR1961,BEN,
YR1961,BFA,
YR1961,BGD,
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,7404270.65
YR1961,BRA,471156150.0
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,
YR1961,CAF,
YR1961,CAN,2296085100.0
YR1961,CHE,2769871000.0
YR1961,CHI,
YR1961,CHL,74114900.0
YR1961,CHN,
YR1961,CIV,
YR1961,CMR,20300000.0
YR1961,COD,15007100.0
YR1961,COG,3160000.0
YR1961,COL,140367100.0
YR1961,COM,
YR1961,CPV,
YR1961,CRI,6263920.65
YR1961,CUB,0.0
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,44700000.0
YR1961,CZE,
YR1961,DEU,7180500800.0
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,282882350.0
YR1961,DOM,9022900.0
YR1961,DZA,311729450.0
YR1961,ECU,38397350.0
YR1961,EGY,203625200.0
YR1961,ERI,
YR1961,ESP,887873550.0
YR1961,EST,
YR1961,ETH,57280450.0
YR1961,FIN,342971000.0
YR1961,FJI,
YR1961,FRA,3374550000.0
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,10700000.0
YR1961,GBR,3327714600.01562
YR1961,GEO,
YR1961,GHA,155954000.0
YR1961,GIB,
YR1961,GIN,
YR1961,GMB,
YR1961,GNB,
YR1961,GNQ,
YR1961,GRC,267482900.0
YR1961,GRD,
YR1961,GRL,
YR1961,GTM,54861645.0
YR1961,GUM,
YR1961,GUY,15090000.0
YR1961,HKG,
YR1961,HND,12328965.0
YR1961,HRV,
YR1961,HTI,3000000.0
YR1961,HUN,
YR1961,IDN,133183550.0
YR1961,IMN,
YR1961,IND,666357094.860707
YR1961,IRL,342337293.5
YR1961,IRN,209547100.0
YR1961,IRQ,217949700.0
YR1961,ISL,23919350.0
YR1961,ISR,279512900.0
YR1961,ITA,3809235500.0
YR1961,JAM,76100000.0
YR1961,JOR,51230000.0
YR1961,JPN,1667124550.0
YR1961,KAZ,
YR1961,KEN,
YR1961,KGZ,
YR1961,KHM,
YR1961,KIR,
YR1961,KNA,
YR1961,KOR,207046579.966885
YR1961,KWT,83886000.0
YR1961,LAO,
YR1961,LBN,161550900.0
YR1961,LBR,
YR1961,LBY,86960000.0
YR1961,LCA,
YR1961,LIE,
YR1961,LKA,90000000.0
YR1961,LSO,
YR1961,LTU,
YR1961,LUX,
YR1961,LVA,
YR1961,MAC,
YR1961,MAF,
YR1961,MAR,185269350.0
YR1961,MCO,
YR1961,MDA,
YR1961,MDG,
YR1961,MDV,
YR1961,MEX,413480000.0
YR1961,MHL,
YR1961,MKD,
YR1961,MLI,
YR1961,MLT,59300000.0
YR1961,MMR,94990000.0
YR1961,MNE,
YR1961,MNG,
YR1961,MNP,
YR1961,MOZ,
YR1961,MRT,
YR1961,MUS,18340000.0
YR1961,MWI,
YR1961,MYS,472000000.0
YR1961,NAM,
YR1961,NCL,
YR1961,NER,
YR1961,NGA,307070650.0
YR1961,NIC,13526650.0
YR1961,NLD,1962252519.49138
YR1961,NOR,303430200.0
YR1961,NPL,24149979.65
YR1961,NRU,
YR1961,NZL,180797777.6
YR1961,OMN,
YR1961,PAK,261302470.0
YR1961,PAN,4930000.0
YR1961,PER,110623100.0
YR1961,PHL,53690650.0
YR1961,PLW,
YR1961,PNG,
YR1961,POL,
YR1961,PRI,
YR1961,PRK,
YR1961,PRT,693999000.0
YR1961,PRY,2520352.9
YR1961,PSE,
YR1961,PYF,
YR1961,QAT,
YR1961,ROU,
YR1961,RUS,
YR1961,RWA,
YR1961,SAU,238033550.0
YR1961,SDN,177100000.0
YR1961,SEN,
YR1961,SGP,123000000.0
YR1961,SLB,
YR1961,SLE,27800000.0
YR1961,SLV,24551105.0
YR1961,SMR,
YR1961,SOM,16500000.0
YR1961,SRB,
YR1961,SSD,
YR1961,STP,
YR1961,SUR,16262115.6300738
YR1961,SVK,
YR1961,SVN,
YR1961,SWE,731316450.0
YR1961,SWZ,
YR1961,SXM,
YR1961,SYC,
YR1961,SYR,21086450.0
YR1961,TCA,
YR1961,TCD,7690000.0
YR1961,TGO,
YR1961,THA,454901550.0
YR1961,TJK,
YR1961,TKM,
YR1961,TLS,
YR1961,TON,
YR1961,TTO,26300000.0
YR1961,TUN,73314576.45
YR1961,TUR,195570000.0
YR1961,TUV,
YR1961,TZA,
YR1961,UGA,
YR1961,UKR,
YR1961,URY,191754650.0
YR1961,USA,18825530000.0
YR1961,UZB,
YR1961,VCT,
YR1961,VEN,581329000.0
YR1961,VGB,
YR1961,VIR,
YR1961,VNM,
YR1961,VUT,
YR1961,WSM,
YR1961,XKX,
YR1961,YEM,
YR1961,ZAF,394839500.0
YR1961,ZMB,
YR1961,ZWE,
YR1962,ABW,
YR1962,AFG,40592100.0
YR1962,AGO,
YR1962,ALB,
YR1962,AND,
YR1962,ARE,
YR1962,ARG,114741240.0
YR1962,ARM,
YR1962,ASM,
YR1962,ATG,
YR1962,AUS,1358960800.0
YR1962,AUT,1081957340.0
YR1962,AZE,
YR1962,BDI,
YR1962,BEL,1756067570.04839
YR1962,BEN,
YR1962,BFA,
YR1962,BGD,
YR1962,BGR,
YR1962,BHR,
YR1962,BHS,
YR1962,BIH,
YR1962,BLR,
YR1962,BLZ,
YR1962,BMU,
YR1962,BOL,4005989.98
YR1962,BRA,336000900.0
YR1962,BRB,
YR1962,BRN,
YR1962,BTN,
YR1962,BWA,
YR1962,CAF,600000.0
YR1962,CAN,2561922010.0
YR1962,CHE,2924334000.0
YR1962,CHI,
YR1962,CHL,78890610.0
YR1962,CHN,
YR1962,CIV,
YR1962,CMR,27710000.0
YR1962,COD,12087170.0
YR1962,COG,8380000.0
YR1962,COL,85129030.0
YR1962,COM,
YR1962,CPV,
YR1962,CRI,12599154.97
YR1962,CUB,0.0
YR1962,CUW,
YR1962,CYM,
YR1962,CYP,52350000.0
YR1962,CZE,
YR1962,DEU,6964883190.0
YR1962,DJI,
YR1962,DMA,
