time,economy,value
YR1960,ABW,
YR1960,AFG,13.45041238943725
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,21.139251024747622
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,44.61538461538462
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,
YR1960,BFA,
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,9.700826077249387
YR1960,BRA,24.62868052011717
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,37.062531100415285
YR1960,CHE,98.75969010080902
YR1960,CHI,
YR1960,CHL,0.0
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,9.937496332647012
YR1960,COD,
YR1960,COG,23.869963571587295
YR1960,COL,20.43616595692179
YR1960,COM,
YR1960,CPV,
YR1960,CRI,19.646913501351968
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,19.199889589480783
YR1960,DZA,
YR1960,ECU,8.717540827737116
YR1960,EGY,33.11032222829055
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,15.567567432929147
YR1960,GBR,39.8432422099025
YR1960,GEO,
YR1960,GHA,18.400460299194478
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,12.888080958995877
YR1960,GUM,
YR1960,GUY,21.31596984235778
YR1960,HKG,
YR1960,HND,15.105020110233875
YR1960,HRV,
YR1960,HTI,10.132246313150835
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,22.071924936889214
YR1960,IRL,
YR1960,IRN,16.36986758334477
YR1960,IRQ,21.96542133868352
YR1960,ISL,36.625700159262294
YR1960,ISR,26.93861843371176
YR1960,ITA,
YR1960,JAM,20.347187912488668
YR1960,JOR,
YR1960,JPN,50.662532951594144
YR1960,KAZ,
YR1960,KEN,
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,11.307131993916594
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,23.15601251676352
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,27.839748432660965
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,22.938650306748468
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,26.400908413435285
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,28.20490964882373
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,9.208383619393217
YR1960,NIC,12.640003675854317
