time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,7.96045785639958
YR1960,AUT,17.8241667433427
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,15.5960812459628
YR1960,BEN,
YR1960,BFA,10.7133005080714
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,2.2431194687768e-05
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,13.3443045220378
YR1960,CHE,24.0411911642661
YR1960,CHI,
YR1960,CHL,
YR1960,CHN,
YR1960,CIV,5.55883694312651
YR1960,CMR,
YR1960,COD,
YR1960,COG,
YR1960,COL,0.0575951042585327
YR1960,COM,
YR1960,CPV,
YR1960,CRI,0.2491788637645
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,13.9416118305171
YR1960,CZE,
YR1960,DEU,24.6460742608568
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,8.24570210386688
YR1960,DOM,0.454580670966124
YR1960,DZA,
YR1960,ECU,0.0117589731288912
YR1960,EGY,1.20872070863002
YR1960,ERI,
YR1960,ESP,2.85881088330283
YR1960,EST,
YR1960,ETH,
YR1960,FIN,8.13687545817415
YR1960,FJI,
YR1960,FRA,10.4335934118144
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,6.27328379877936
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,1.12134996312937
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1.75525896442981
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,1.56193028792508
YR1960,HRV,
YR1960,HTI,0.852971170006472
YR1960,HUN,
YR1960,IDN,0.000277683799891138
YR1960,IMN,
YR1960,IND,2.52748668877309
YR1960,IRL,5.07326537923933
YR1960,IRN,0.141434222242228
YR1960,IRQ,59.0598509946838
YR1960,ISL,0.0416116196498568
YR1960,ISR,0.000888596605744426
YR1960,ITA,4.1478356168675
YR1960,JAM,0.113116859650763
YR1960,JOR,
YR1960,JPN,18.9709893809894
YR1960,KAZ,
YR1960,KEN,0.741244283828993
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,1.47694576772239
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,1.48766903447727
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,17.0890572390572
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,9.94280607169005
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,0.0129045481900888
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,20.9007826952043
YR1960,MMR,0.155438056879804
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,21.3092412797334
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,0.0658874341259692
YR1960,NIC,
YR1960,NLD,16.8159689976031
YR1960,NOR,9.02783205139806
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,4.9921648004467
YR1960,OMN,
YR1960,PAK,2.07206477777001
YR1960,PAN,25.7069689396222
YR1960,PER,4.07722533358808e-08
YR1960,PHL,1.1289570744394
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,1.18281007538607
YR1960,PRY,0.410927393229438
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,
YR1960,SAU,
YR1960,SDN,0.00102575184442981
YR1960,SEN,
YR1960,SGP,27.5191749343204
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,1.92776993409628
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,0.00815368443643525
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,9.21091338882047
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,1.45344733155822
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,
YR1960,THA,10.2112102238799
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,2.29699231603501
YR1960,TUN,
YR1960,TUR,5.39523850896861e-05
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,3.75016631385294e-06
YR1960,USA,13.5630607803977
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,1.77240279256893
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,8.14255983350676
YR1961,AUT,18.4555414837351
YR1961,AZE,
