time,economy,value
YR1960,ABW,
YR1960,AFG,5.016528614677979
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,8.060289959076433
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,19.27009419292591
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,
YR1960,BFA,
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,13.183746371958026
YR1960,BRA,9.491568853741423
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,-0.07272726400000105
YR1960,CAN,8.211199560306543
YR1960,CHE,12.948311263532064
YR1960,CHI,
YR1960,CHL,0.0
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,-1.6201824911141125
YR1960,COD,
YR1960,COG,-1.2693495543905045
YR1960,COL,4.213603921231404
YR1960,COM,
YR1960,CPV,
YR1960,CRI,0.360076884455383
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,5.562167859384827
YR1960,DZA,
YR1960,ECU,0.5801380320401869
YR1960,EGY,17.790824685963955
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,-0.31711711437448264
YR1960,GBR,29.642515771363026
YR1960,GEO,
YR1960,GHA,-10.391254315304948
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1.1402837428405275
YR1960,GUM,
YR1960,GUY,0.822481151473612
YR1960,HKG,
YR1960,HND,2.9792939073439597
YR1960,HRV,
YR1960,HTI,7.299024258823255
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,15.000062039586837
YR1960,IRL,
YR1960,IRN,7.721220431091753
YR1960,IRQ,-0.13302299069603946
YR1960,ISL,0.31142411310639057
YR1960,ISR,7.6967481239176445
YR1960,ITA,
YR1960,JAM,-6.288402563505356
YR1960,JOR,
YR1960,JPN,3.9935692971371695
YR1960,KAZ,
YR1960,KEN,
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,2.7335307772352517
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,14.11116078080763
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,3.9965074405074277
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,3.3006134969325154
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,14.066325584138479
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,-1.7984998295260826
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,-1.91174051228707
YR1960,NIC,1.4465167451331093
YR1960,NLD,
YR1960,NOR,14.90704686216878
YR1960,NPL,0.0025819778616570583
YR1960,NRU,
YR1960,NZL,6.504268423846671
YR1960,OMN,
YR1960,PAK,24.72275120421194
YR1960,PAN,-2.3643430263330103
YR1960,PER,4.5575547176231614
YR1960,PHL,4.132058241375723
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,1.6469494187663136
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,
YR1960,SAU,
YR1960,SDN,-11.69811320754717
YR1960,SEN,
YR1960,SGP,
YR1960,SLB,
YR1960,SLE,2.0288430471802377
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,0.18619083637221603
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,13.12710203600754
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,11.40174803354856
YR1960,TCA,
YR1960,TCD,-0.026011540459519897
YR1960,TGO,
YR1960,THA,5.969807160761629
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,-2.0037040211181694
YR1960,TUN,
YR1960,TUR,3.8325991189427313
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
