time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,9.880445095233945
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,11.189358372456965
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,2.678571565233243
YR1960,BEL,
YR1960,BEN,10.154439717882974
YR1960,BFA,7.42652061799036
YR1960,BGD,6.191580789457766
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,8.640321500334897
YR1960,BRA,12.559695590400178
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,18.135720574744965
YR1960,CAF,19.272718414546517
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,10.36342321219226
YR1960,CHN,12.440842071967893
YR1960,CIV,7.938126441710777
YR1960,CMR,
YR1960,COD,
YR1960,COG,15.095969296898677
YR1960,COL,6.376284177113438
YR1960,COM,
YR1960,CPV,
YR1960,CRI,10.351336455071738
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,13.31053538542626
YR1960,DZA,26.66541946657967
YR1960,ECU,8.869432599414386
YR1960,EGY,15.57209175314036
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,14.758508775675791
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,9.779625717221254
YR1960,GBR,17.63844656853374
YR1960,GEO,
YR1960,GHA,10.01150747986191
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,12.291206250352067
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,7.656190844786398
YR1960,GUM,
YR1960,GUY,11.446196024674435
YR1960,HKG,7.819183309401513
YR1960,HND,11.02338745717265
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,11.558175294720655
YR1960,IMN,
YR1960,IND,6.573491989124934
YR1960,IRL,
YR1960,IRN,10.517140990657307
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,7.162710814189921
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,10.959149584146806
YR1960,KGZ,
YR1960,KHM,18.83407911882405
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,14.235972144400865
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,13.57734465802414
YR1960,LSO,16.59919028340081
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,11.834317179049314
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,14.263384936669196
YR1960,MDV,
YR1960,MEX,5.64840490797546
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,12.393453801568361
YR1960,NAM,
YR1960,NCL,
YR1960,NER,8.043198203597262
YR1960,NGA,
YR1960,NIC,8.765941188883604
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,10.266606922818417
YR1960,PAN,10.441292524896811
YR1960,PER,7.623460023879569
YR1960,PHL,
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,12.884922276730304
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,10.08402989901918
YR1960,SAU,
YR1960,SDN,9.71443141254462
YR1960,SEN,5.185709142703329
YR1960,SGP,7.527579493835172
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,8.401854043662794
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,15.075066486969813
YR1960,SWZ,23.54828795964063
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,15.120811958176786
YR1960,TCA,
YR1960,TCD,12.625361464982548
YR1960,TGO,11.763990651855
YR1960,THA,9.135121699452485
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,8.370044052863436
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,8.843761615661009
YR1960,UKR,
YR1960,URY,8.275862068965518
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,13.466557594172412
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,9.314359637774903
YR1960,ZMB,
YR1960,ZWE,10.547959411595777
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,7.789632048329888
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,11.425320056899006
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,2.5862069984712117
YR1961,BEL,
