time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,84824659223.95854
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,136865304982.8608
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,1735502649.7755625
YR1960,BFA,
YR1960,BGD,26430397055.085636
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,3019427205.9813843
YR1960,BRA,201566113779.37695
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,23499168949.726555
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,3909050027.7318435
YR1960,COD,
YR1960,COG,895019628.3929029
YR1960,COL,28480912239.992897
YR1960,COM,
YR1960,CPV,
YR1960,CRI,3722188874.7229676
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,3773222039.804792
YR1960,DZA,13489058532.91886
YR1960,ECU,7173564933.569531
YR1960,EGY,25624484124.840908
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,456299733986.93396
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,628756972.3013394
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,42202489771.384926
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,5977264738.877284
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,2146377309.3159504
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,36730211632.51921
YR1960,IMN,
YR1960,IND,128991001663.2499
YR1960,IRL,
YR1960,IRN,22456736972.016273
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,4057702697.7185955
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,31745744007.393818
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,4822674605.143628
YR1960,LSO,5206333.066299315
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,8385976400.765362
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,4433623117.182332
YR1960,MDV,
YR1960,MEX,89247447296.60449
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,8689877601.559347
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,2246749375.0370493
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,
YR1960,PAN,1860977110.3309145
YR1960,PER,20934136074.340626
YR1960,PHL,22720372154.433674
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,820050232.5614702
YR1960,SAU,
YR1960,SDN,9414294256.424124
YR1960,SEN,3825479016.963062
YR1960,SGP,
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,572839599.9834062
YR1960,THA,
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,11802166469.775078
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,45816942577.71946
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,93061660339.4025
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,140218370847.24866
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,1769638211.5916626
YR1961,BFA,
YR1961,BGD,28795724898.17736
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,3251619678.009981
YR1961,BRA,219468406479.94083
YR1961,BRB,
