time,economy,value
YR1960,ABW,
YR1960,AFG,1000000500.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,0.0100000026
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,2155000000.0
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,1224999900.0
YR1960,BEL,
YR1960,BEN,3396448000.0
YR1960,BFA,3939308300.0
YR1960,BGD,2051268999.9999998
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,726.0
YR1960,BRA,7.27491e-05
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,5700000.0
YR1960,CAF,6400000000.0
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,590269.838475997
YR1960,CHN,6330000000.0
YR1960,CIV,45855805400.0
YR1960,CMR,
YR1960,COD,
YR1960,COG,6606425600.0
YR1960,COL,4197782000.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,606000000.0
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,172100000.0
YR1960,DZA,5249999900.0
YR1960,ECU,164574188.76843598
YR1960,EGY,291000000.0
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,6938000000.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,11853061100.0
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,24500.0
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,37800500.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,131900000.0
YR1960,GUM,
YR1960,GUY,142200000.0
YR1960,HKG,
YR1960,HND,143600000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,45000000000.0
YR1960,IMN,
YR1960,IND,7870000000.0
YR1960,IRL,
YR1960,IRN,44051762285.4809
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,165988500.0
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,1757500000.0
YR1960,KGZ,
YR1960,KHM,3100000000.0
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,6550000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,2010162600.0
YR1960,LSO,2900000.0
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,2430000100.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,3333075200.0
YR1960,MDV,
YR1960,MEX,13864000.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
