time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,11106878956.6402
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,20659000000.0
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,52048809161.1967
YR1960,BFA,
YR1960,BGD,34249952299.999996
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,1171696637.0091
YR1960,BRA,12474234350.54
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,1635318020700.0
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,357432595226.911
YR1960,COD,301122555300.0
YR1960,COG,101801416942.35501
YR1960,COL,8378785123121.26
YR1960,COM,
YR1960,CPV,
YR1960,CRI,234513732362.054
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,70304106922.2822
YR1960,DZA,3560346874315.5903
YR1960,ECU,738641869.149718
YR1960,EGY,14023934352.3589
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,31918071700.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,176666574800.0
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,1777364300.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,11474958678.8348
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,12800534500.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,102481007041100.0
YR1960,IMN,
YR1960,IND,293837064043.05
YR1960,IRL,
YR1960,IRN,420009562490645.0
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,96240546100.0
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,175400000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,207946358862.553
YR1960,LSO,3746400.0
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,27784639800.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,1187862115232.73
YR1960,MDV,
YR1960,MEX,90716949561.09781
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,16122373746.0385
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,4061383499.6645303
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,67502612265.124596
YR1960,PAN,1349686430.2293699
YR1960,PER,13935000000.0
YR1960,PHL,148292463287.88
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,58182295841.6439
YR1960,SAU,
YR1960,SDN,802582684.5945181
YR1960,SEN,584864460827.5331
YR1960,SGP,5126500000.0
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,7026606592.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,115955490600.0
YR1960,SWZ,713087000.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,252584103700.0
YR1960,TGO,73844538308.86151
YR1960,THA,49348858400.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,32327593416.3081
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,202552000000.0
YR1960,ZMB,1311466200.0
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,9925263450.22935
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,21690000000.0
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,40755129383.0618
YR1961,BFA,
YR1961,BGD,30310829100.0
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,1178578849.2675998
