time,economy,value
YR1960,ABW,
YR1960,AFG,37777780.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,2611714637.6973906
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,26250000.0
YR1960,BEL,
YR1960,BEN,27392931.58794772
YR1960,BFA,52340174.82404828
YR1960,BGD,397875421.6927411
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,89483964.67386767
YR1960,BRA,1079376914.9386487
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,12056638.160661712
YR1960,CAF,38336816.27406094
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,650749016.0547645
YR1960,CHN,2644406531.8059955
YR1960,CIV,125105306.75368309
YR1960,CMR,
YR1960,COD,
YR1960,COG,112771915.27195998
YR1960,COL,594894694.8003014
YR1960,COM,
YR1960,CPV,
YR1960,CRI,132338590.91957489
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,126500000.0
YR1960,DZA,1828719511.4540925
YR1960,ECU,214480876.28395107
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,7703448807.471393
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,46157379.98026878
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,431423304.70251405
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,631632347.2540963
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,151700000.0
YR1960,GUM,
YR1960,GUY,96949192.09006593
YR1960,HKG,
YR1960,HND,77300000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,2530502530.5025306
YR1960,IRL,
YR1960,IRN,730164938.5441451
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,265994680.10639787
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,266419907.2045145
YR1960,KGZ,
YR1960,KHM,139999991.42857143
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,474140116.0874965
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
