time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,5781578754.618131
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,11699922489.129509
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,189092484.40870833
YR1960,BFA,
YR1960,BGD,6050892188.212142
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,1047127257.0587195
YR1960,BRA,11180684748.966887
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,2770011924.7526593
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,336400779.4446596
YR1960,COD,312546244.1445998
YR1960,COG,691056566.1639891
YR1960,COL,2010592348.466874
YR1960,COM,
YR1960,CPV,
YR1960,CRI,606063481.1687946
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,1397726470.3364675
YR1960,DZA,16285345192.209135
YR1960,ECU,1628972878.5561237
YR1960,EGY,5722541355.80886
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,32254780063.474224
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,192540532.28676364
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,2694767094.176206
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,2269367131.223112
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,1138832064.4789217
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,3014627647.788582
YR1960,IMN,
YR1960,IND,9173868193.353655
YR1960,IRL,
YR1960,IRN,14449482848.920624
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,1521164823.5389667
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,1257561391.760209
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,2015675757.2362754
YR1960,LSO,1161657.2820575703
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,3200059246.9474072
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,1201182573.4844344
YR1960,MDV,
YR1960,MEX,12881962183.880125
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,3607029927.95253
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,403579678.1901382
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,11306318500.922302
YR1960,PAN,1638508689.9083922
YR1960,PER,2847364225.3154964
YR1960,PHL,3728974410.114209
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,22618137.782236237
YR1960,SAU,
YR1960,SDN,548429347.2539777
YR1960,SEN,1092492887.2925768
YR1960,SGP,3923116089.6130323
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,19603848331.854534
YR1960,SWZ,62951754.96023194
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,247427271.83652866
YR1960,THA,2837473168.0717974
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,1311950668.862772
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,12009740616.828957
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,6832490129.870282
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,13164314608.217564
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,153130372.86787653
YR1961,BFA,
YR1961,BGD,8006169829.071644
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
