time,economy,value
YR1960,ABW,
YR1960,AFG,-15555546.666666666
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,-198230484.93672302
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,-1750002.0
YR1960,BEL,
YR1960,BEN,-13540909.259605922
YR1960,BFA,-36274159.23075135
YR1960,BGD,29472269.66242457
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,-28881951.284662515
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-4065610.542548717
YR1960,CAF,-12235152.741633091
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,-114140071.9856764
YR1960,CHN,-73117231.29417498
YR1960,CIV,61912318.80245568
YR1960,CMR,
YR1960,COD,
YR1960,COG,-85828368.837622
YR1960,COL,37777799.5478523
YR1960,COM,
YR1960,CPV,
YR1960,CRI,-24821247.98183205
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,45600000.0
YR1960,DZA,-765342245.4477324
YR1960,ECU,-16897130.42974687
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,1514648437.4814398
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,2183965.7480920297
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,-88245675.96187787
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,-202281685.81473207
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,-19800000.0
YR1960,GUM,
YR1960,GUY,-13999883.334305547
YR1960,HKG,
YR1960,HND,-5500000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,-877800877.8008778
YR1960,IRL,
YR1960,IRN,-148623522.2341662
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,-33615427.69144617
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,-20370005.83460168
YR1960,KGZ,
YR1960,KHM,-51428562.85714286
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,-370377411.09674805
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,-41723718.48739496
YR1960,LSO,-9239815.203695925
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,17784823.634028256
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,-44385302.13938919
YR1960,MDV,
YR1960,MEX,-411824000.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,264602116.81693456
YR1960,NAM,
YR1960,NCL,
YR1960,NER,-1370752.5072203306
YR1960,NGA,-322404731.9053619
YR1960,NIC,-5632284.142857138
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,-226585468.2906342
YR1960,PAN,-46149900.0
YR1960,PER,-1540160.9047618923
YR1960,PHL,
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,2800000.0
YR1960,SAU,
YR1960,SDN,20333333.333333336
YR1960,SEN,-10732057.104511064
YR1960,SGP,-96236769.89415915
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,-7994014.722394112
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,-101121293.24704272
YR1960,SWZ,4899902.001959961
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,-55258324.02234637
YR1960,TCA,
YR1960,TCD,-11439256.330978882
YR1960,TGO,-506017.45304045634
YR1960,THA,-35077283.3281402
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,-226058364.15947393
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,23320754.71698113
YR1960,UKR,
YR1960,URY,-59972583.96161755
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,955666666.6666666
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,377999848.9588204
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,-19999991.111111112
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,-515175271.58696383
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,-3500000.0
YR1961,BEL,
YR1961,BEN,-11668269.726710541
YR1961,BFA,-36289432.72876428
YR1961,BGD,-44208310.74364066
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,-28214160.50351425
YR1961,BRA,-9149902.739138309
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,-5037078.494473206
YR1961,CAF,-11416451.351035085
YR1961,CAN,-264543211.97091916
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,-189928350.46746725
YR1961,CHN,190917215.04590136
YR1961,CIV,44445573.08750995
YR1961,CMR,
YR1961,COD,
YR1961,COG,-97378322.20622215
YR1961,COL,-38069179.10447754
YR1961,COM,
YR1961,CPV,
YR1961,CRI,-20571792.03910147
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,45200000.0
YR1961,DZA,-517603897.0245691
YR1961,ECU,-20943996.653838523
YR1961,EGY,
YR1961,ERI,
YR1961,ESP,
YR1961,EST,
YR1961,ETH,
YR1961,FIN,
YR1961,FJI,
YR1961,FRA,1448216488.469096
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,-756246.5317432391
YR1961,GBR,
YR1961,GEO,
YR1961,GHA,-134469601.46571866
YR1961,GIB,
YR1961,GIN,
YR1961,GMB,
YR1961,GNB,
YR1961,GNQ,
YR1961,GRC,-230085748.83340696
YR1961,GRD,
YR1961,GRL,
YR1961,GTM,-16600000.000000015
YR1961,GUM,
YR1961,GUY,-1691652.5695619204
YR1961,HKG,-105052154.86840639
YR1961,HND,1400000.0
YR1961,HRV,
YR1961,HTI,
YR1961,HUN,
YR1961,IDN,
YR1961,IMN,
YR1961,IND,-648900648.900649
YR1961,IRL,
YR1961,IRN,-94336011.69162501
