time,economy,value
YR1960,ABW,
YR1960,AFG,-699999600.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,2.8000000009548165e-09
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,-177000000.0
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,-87500100.0
YR1960,BEL,
YR1960,BEN,-3320164600.0
YR1960,BFA,-8894246100.0
YR1960,BGD,141466899.99999976
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,-346.0
YR1960,BRA,-6.002000000000015e-07
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-2900000.0
YR1960,CAF,-2999999500.0
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,-125554.07918424404
YR1960,CHN,-180000000.0
YR1960,CIV,15180597200.0
YR1960,CMR,
YR1960,COD,
YR1960,COG,-21044695600.0
YR1960,COL,250655700.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,-139900000.0
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,45600000.0
YR1960,DZA,-3778571200.0
YR1960,ECU,-14074191.786211014
YR1960,EGY,-28700000.0
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,1140000000.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,535497700.0
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,-6300.0
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,-17809100.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,-19800000.0
YR1960,GUM,
YR1960,GUY,-24000000.0
YR1960,HKG,
YR1960,HND,-11000000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,-4000000000.0
YR1960,IMN,
YR1960,IND,-4180000000.0
YR1960,IRL,
YR1960,IRN,-11258231809.23809
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,-24011500.0
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,-145500100.0
YR1960,KGZ,
YR1960,KHM,-1799999700.0
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,-23380000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,-198604900.0
YR1960,LSO,-6600000.0
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,90000100.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,-2191329000.0
YR1960,MDV,
YR1960,MEX,-5147800.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,810000000.0
YR1960,NAM,
YR1960,NCL,
YR1960,NER,-336101800.0
YR1960,NGA,-230293700.0
YR1960,NIC,-0.01182779669999999
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,-1079000000.0
YR1960,PAN,-46149900.0
YR1960,PER,-0.04204639269999966
YR1960,PHL,63766200.0
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,140000000.0
YR1960,SAU,
YR1960,SDN,6100.0
YR1960,SEN,-2631447814.9463005
YR1960,SGP,-294600000.0
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,-57100128.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,-523121700.0
YR1960,SWZ,3500000.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,-197824800.0
YR1960,TCA,
YR1960,TCD,-2804849600.0
YR1960,TGO,-124073000.0
YR1960,THA,-743000000.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,-1100.0
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,2224800.0
YR1960,UKR,
YR1960,URY,-700.0
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,3153700.0
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,270000000.0
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,-899999600.0
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,2.8000000009548165e-09
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,-460000000.0
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,-175000000.0
YR1961,BEL,
YR1961,BEN,-2861761000.0
YR1961,BFA,-8900349900.0
YR1961,BGD,-212199900.0
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
