time,economy,value
YR1960,ABW,
YR1960,AFG,-2.892560151287594
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,2.129133197463218e-06
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,-1.0670364118639981
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,-0.8928582088192965
YR1960,BEL,
YR1960,BEN,-5.986372190870262
YR1960,BFA,-10.977439165280751
YR1960,BGD,0.6894269251778137
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,-7.7249386023666
YR1960,BRA,-0.05823906680870985
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-13.368306051232882
YR1960,CAF,-10.909087781818558
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,-2.777130705247601
YR1960,CHN,-0.12244065029589823
YR1960,CIV,11.335026564870851
YR1960,CMR,
YR1960,COD,
YR1960,COG,-65.15384141986296
YR1960,COL,0.9371462647728505
YR1960,COM,
YR1960,CPV,
YR1960,CRI,-4.890753022845445
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,6.781680598608239
YR1960,DZA,-28.10045911127817
YR1960,ECU,-0.8164973925408621
YR1960,EGY,-1.9593118514472965
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,2.43412905154375
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,1.543777139801567
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,-7.249712313003452
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,-4.666043972023282
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,-1.8972788326254153
YR1960,GUM,
YR1960,GUY,-8.224811514736121
YR1960,HKG,
YR1960,HND,-1.6386116490391778
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,-1.0251153254741157
YR1960,IMN,
YR1960,IND,-2.3705202013411335
YR1960,IRL,
YR1960,IRN,-3.5393847501407256
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,-4.80872541890474
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,-2.5743580245533075
YR1960,KGZ,
YR1960,KHM,-8.071747425043757
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,-9.35724005443048
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
