time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,115573868508.1503
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,199140913998.19693
YR1960,AUT,91836704603.82729
YR1960,AZE,
YR1960,BDI,597069945.3751689
YR1960,BEL,119193551296.98758
YR1960,BEN,1731160202.438168
YR1960,BFA,1297842687.8823082
YR1960,BGD,17862547693.97545
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,1942547494.4769666
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,99371065.64489001
YR1960,BMU,1481304218.128331
YR1960,BOL,3676733525.1692295
YR1960,BRA,246661854226.25266
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,205010517.97542816
YR1960,CAF,900551228.1743743
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,29375692257.1695
YR1960,CHN,128048892199.84209
YR1960,CIV,4293692787.7133627
YR1960,CMR,4955702656.446456
YR1960,COD,15841902487.65151
YR1960,COG,1590972928.394333
YR1960,COL,37566131248.4624
YR1960,COM,
YR1960,CPV,
YR1960,CRI,3850753125.3279552
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,94053807786.07523
YR1960,DOM,4360946098.340771
YR1960,DZA,27442871720.660423
YR1960,ECU,10168767411.066486
YR1960,EGY,15409781351.133688
YR1960,ERI,
YR1960,ESP,224627031933.87918
YR1960,EST,
YR1960,ETH,
YR1960,FIN,53974754755.81839
YR1960,FJI,697947700.1474556
YR1960,FRA,594143057742.5365
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,2187247770.685355
YR1960,GBR,730913039676.0916
YR1960,GEO,
YR1960,GHA,7011622290.368497
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,51849033717.35176
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,6057355527.69477
YR1960,GUM,
YR1960,GUY,1470217924.3839934
YR1960,HKG,
YR1960,HND,2234326591.9572296
YR1960,HRV,
YR1960,HTI,5845645805.109892
YR1960,HUN,
YR1960,IDN,60580597267.23919
YR1960,IMN,
YR1960,IND,148773240565.12012
YR1960,IRL,
YR1960,IRN,64880041824.71964
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,546121684550.67114
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,796213203689.4758
YR1960,KAZ,
YR1960,KEN,4364226422.964903
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,23312576379.016376
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,
YR1960,LSO,217676946.9226305
YR1960,LTU,
YR1960,LUX,8504063007.698511
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,4175487806.222327
YR1960,MDV,
YR1960,MEX,147593304899.90347
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,3466278863.5101523
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,872749541.986102
YR1960,MYS,11043462325.710024
YR1960,NAM,
YR1960,NCL,
YR1960,NER,2798910525.558043
YR1960,NGA,61407215816.33849
YR1960,NIC,2669717856.2815967
YR1960,NLD,188226201449.40845
YR1960,NOR,82968145888.92992
YR1960,NPL,2687564644.5243826
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,13590748630.244843
YR1960,PAN,2423942593.0218053
YR1960,PER,27007516807.731586
YR1960,PHL,28897234065.50914
YR1960,PLW,
YR1960,PNG,2283924563.74989
YR1960,POL,
YR1960,PRI,13751199388.136208
YR1960,PRK,
YR1960,PRT,39866242631.423325
YR1960,PRY,2597615444.812824
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,1031025648.3422312
YR1960,SAU,
YR1960,SDN,9321507063.321703
YR1960,SEN,4253251005.6034546
YR1960,SGP,5768016072.136498
YR1960,SLB,
YR1960,SLE,863817135.3449669
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,960060872.1533978
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,135191373867.02194
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,117996015.4962831
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,2091978807.0702164
YR1960,TGO,592132789.0955517
YR1960,THA,15639909036.041935
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,3397615807.624368
YR1960,TUN,
YR1960,TUR,87223143378.60706
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,13898153414.693619
YR1960,USA,3175859647138.667
YR1960,UZB,
YR1960,VCT,141860602.92840463
YR1960,VEN,101424598387.43869
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,79070958914.09663
YR1960,ZMB,4592975693.648247
