time,economy,value
YR1960,ABW,
YR1960,AFG,71111155.55555555
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,5793481912.868182
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,10499994.0
YR1960,BEL,
YR1960,BEN,12289249.662819527
YR1960,BFA,14656058.787471691
YR1960,BGD,324194966.28667086
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,27462895.87472245
YR1960,BRA,2975454839.1557984
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-3051591.195850273
YR1960,CAF,9788125.863852907
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,453882766.70574504
YR1960,CHN,22158874835.48623
YR1960,CIV,158892828.60872832
YR1960,CMR,
YR1960,COD,
YR1960,COG,-15764371.22093836
YR1960,COL,829687897.5131876
YR1960,COM,
YR1960,CPV,
YR1960,CRI,63995919.30876639
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,111399700.0
YR1960,DZA,470238196.5121225
YR1960,ECU,517591264.5637945
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,17430414781.85878
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,208708027.2749175
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,547079781.5784895
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,87699899.99999988
YR1960,GUM,
YR1960,GUY,34124715.62736978
YR1960,HKG,284014514.2729871
YR1960,HND,41150000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,2237562277.628677
YR1960,IRL,
YR1960,IRN,320857633.09056085
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,165698306.0338793
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,135645847.62581939
YR1960,KGZ,
YR1960,KHM,77142894.28571428
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,24871365.92908017
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,132367920.16806723
YR1960,LSO,-8539829.20341593
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,226782254.71791324
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,2483662.339065406
YR1960,MDV,
YR1960,MEX,2234808000.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,491637266.4314648
YR1960,NAM,
YR1960,NCL,
YR1960,NER,28723193.32577807
YR1960,NGA,
YR1960,NIC,
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,280764384.7123058
YR1960,PAN,107206500.0
YR1960,PER,1028430755.6410255
YR1960,PHL,1428223393.7233937
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,10000068.0
YR1960,SAU,
YR1960,SDN,181666666.6666667
YR1960,SEN,145180730.644752
YR1960,SGP,21462171.69737366
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,9450072.379971048
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,4625541865.480422
YR1960,SWZ,7776704.4659106815
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,61266397.95370266
YR1960,TCA,
YR1960,TCD,59635009.42718676
YR1960,TGO,12501987.193055652
YR1960,THA,651861541.5120528
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,4932182490.752158
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,68601677.14884695
YR1960,UKR,
YR1960,URY,214187799.8629198
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,1852969696.969697
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,2183999127.317629
YR1960,ZMB,
YR1960,ZWE,124523499.99999988
YR1961,ABW,
YR1961,AFG,71111157.77777778
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,6020831000.111995
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,10499994.0
YR1961,BEL,
YR1961,BEN,13480894.36479884
YR1961,BFA,18379752.760436777
YR1961,BGD,328162299.46238536
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,17362560.30985492
YR1961,BRA,3244854075.248975
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,-3281936.4768434307
YR1961,CAF,14678259.121642698
YR1961,CAN,8239187847.1082
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,508022542.2667449
YR1961,CHN,9724613112.356812
YR1961,CIV,168339464.91907978
YR1961,CMR,
YR1961,COD,
YR1961,COG,685281.4578850033
YR1961,COL,868779910.4477612
YR1961,COM,
YR1961,CPV,
YR1961,CRI,71993019.98593955
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,84200400.0
YR1961,DZA,680149601.9930729
YR1961,ECU,429140037.2451103
YR1961,EGY,
YR1961,ERI,
YR1961,ESP,
YR1961,EST,
YR1961,ETH,
YR1961,FIN,
YR1961,FJI,
YR1961,FRA,18493325966.056282
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,
YR1961,GBR,
YR1961,GEO,
YR1961,GHA,127465976.38937914
YR1961,GIB,
YR1961,GIN,
YR1961,GMB,
YR1961,GNB,
YR1961,GNQ,
YR1961,GRC,859453244.5143491
YR1961,GRD,
YR1961,GRL,
YR1961,GTM,79399900.0
YR1961,GUM,
YR1961,GUY,42874642.711310744
YR1961,HKG,226808715.98797283
YR1961,HND,44800000.0
YR1961,HRV,
YR1961,HTI,
YR1961,HUN,
YR1961,IDN,
YR1961,IMN,
YR1961,IND,2691466513.0893116
YR1961,IRL,
YR1961,IRN,429364757.7232348
YR1961,IRQ,
YR1961,ISL,
YR1961,ISR,
YR1961,ITA,
YR1961,JAM,194112277.7544449
YR1961,JOR,
YR1961,JPN,
YR1961,KAZ,
YR1961,KEN,133041862.66963717
YR1961,KGZ,
YR1961,KHM,77142834.28571428
YR1961,KIR,
YR1961,KNA,
YR1961,KOR,69315785.08741
YR1961,KWT,
YR1961,LAO,
YR1961,LBN,
YR1961,LBR,
YR1961,LBY,
YR1961,LCA,
YR1961,LIE,
YR1961,LKA,205735075.9451281
YR1961,LSO,-10359792.804143917
YR1961,LTU,
YR1961,LUX,
YR1961,LVA,
YR1961,MAC,
YR1961,MAF,
YR1961,MAR,136207686.98745182
YR1961,MCO,
YR1961,MDA,
YR1961,MDG,6564471.561517556
YR1961,MDV,
YR1961,MEX,2465256000.0
YR1961,MHL,
YR1961,MKD,
YR1961,MLI,
YR1961,MLT,
YR1961,MMR,
YR1961,MNE,
YR1961,MNG,
YR1961,MNP,
YR1961,MOZ,
YR1961,MRT,159213140.00328618
YR1961,MUS,
YR1961,MWI,
YR1961,MYS,388736443.22487915
YR1961,NAM,
YR1961,NCL,
YR1961,NER,25861007.96664439
