time,economy,value
YR1960,ABW,
YR1960,AFG,3200002000.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,0.027568899100000002
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,5173000000.0
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,524999700.0
YR1960,BEL,
YR1960,BEN,3013263800.0
YR1960,BFA,3593593800.0
YR1960,BGD,1556135900.0
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,329.0
YR1960,BRA,0.0002021977
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-2176700.0
YR1960,CAF,2400000500.0
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,499271.0433763196
YR1960,CHN,54550718070.0
YR1960,CIV,38959743000.0
YR1960,CMR,
YR1960,COD,
YR1960,COG,-3865346600.0
YR1960,COL,5504979200.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,360700200.0
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,111399700.0
YR1960,DZA,2321613000.0
YR1960,ECU,431119281.14811015
YR1960,EGY,197400000.0
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,13119000000.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,14900.0
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,48165500.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,87699899.99999988
YR1960,GUM,
YR1960,GUY,58500000.0
YR1960,HKG,1530213400.0
YR1960,HND,82300000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,33700000000.0
YR1960,IMN,
YR1960,IND,10655047809.839996
YR1960,IRL,
YR1960,IRN,24304965706.609985
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,118358300.0
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,968899300.0
YR1960,KGZ,
YR1960,KHM,2700001300.0
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,1570000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
