time,economy,value
YR1960,ABW,
YR1960,AFG,13.22314794071397
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,20.963520811181258
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,31.185194116228597
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,5.357140069241841
YR1960,BEL,
YR1960,BEN,5.43301937984522
YR1960,BFA,4.435278367688756
YR1960,BGD,7.583696176955963
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,7.345389595891941
YR1960,BRA,19.619802330668847
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,-10.034066131627108
YR1960,CAF,8.727273498181725
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,11.043376318874575
YR1960,CHN,37.10680774777226
YR1960,CIV,29.090405077445915
YR1960,CMR,
YR1960,COD,
YR1960,COG,-11.967014595792321
YR1960,COL,20.58190057091155
YR1960,COM,
YR1960,CPV,
YR1960,CRI,12.609689731886753
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,16.56748210922759
YR1960,DZA,17.265359768452118
YR1960,ECU,25.010869133984464
YR1960,EGY,13.476242490442381
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,28.011700901054787
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,17.14614499424626
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,12.619522656085225
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,8.403594136028559
YR1960,GUM,
YR1960,GUY,20.047978067169296
YR1960,HKG,21.503273339510613
YR1960,HND,12.259794428720392
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,8.636596617119425
YR1960,IMN,
YR1960,IND,6.0425851864787825
YR1960,IRL,
YR1960,IRN,7.641042255328234
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,23.703332392743185
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,17.142900162536538
YR1960,KGZ,
YR1960,KHM,12.107628985099161
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,0.6283518770511486
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,9.38863507673968
YR1960,LSO,-24.696356275303643
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,11.132325796993795
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,0.36899862976873504
YR1960,MDV,
YR1960,MEX,17.1380981595092
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,25.6563245823389
YR1960,NAM,
YR1960,NCL,
YR1960,NER,6.389649891641069
YR1960,NGA,
YR1960,NIC,
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,7.4885179791643335
YR1960,PAN,19.958499263981878
YR1960,PER,39.98707305309058
YR1960,PHL,21.36597640584377
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,8.40341679258821
YR1960,SAU,
YR1960,SDN,13.895971443141256
YR1960,SEN,14.46466410673907
YR1960,SGP,3.0453323444887475
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,5.236659476224821
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,29.23379369214807
YR1960,SWZ,22.170912675764022
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,7.143066502901828
YR1960,TCA,
YR1960,TCD,19.017313082341573
YR1960,TGO,10.321296188115761
YR1960,THA,23.611777178108852
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,35.24229074889868
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,16.21756907446413
YR1960,UKR,
YR1960,URY,17.24137931034483
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,23.819874566631608
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,28.830160783588987
YR1960,ZMB,
YR1960,ZWE,11.825701354922124
YR1961,ABW,
YR1961,AFG,12.955473931714891
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,29.899307169911086
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,30.63596991110098
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,5.172411041277282
YR1961,BEL,
YR1961,BEN,5.720285164370849
YR1961,BFA,5.247651034090926
YR1961,BGD,6.811766217808042
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,4.269293924466338
YR1961,BRA,21.296088367163605
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
