time,economy,value
YR1960,ABW,
YR1960,AFG,548888848.8888888
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,18601187143.017136
YR1960,AUT,6547435003.948278
YR1960,AZE,
YR1960,BDI,193892004.0
YR1960,BEL,11807650531.417757
YR1960,BEN,225482256.3746176
YR1960,BFA,334894683.45819306
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,149607647.05882353
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,27930631.38737225
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,34206224.5899341
YR1960,CAF,111747736.39440593
YR1960,CAN,
YR1960,CHE,9748380541.373642
YR1960,CHI,
YR1960,CHL,4038181818.181818
YR1960,CHN,59716467625.314804
YR1960,CIV,556461974.566376
YR1960,CMR,
YR1960,COD,
YR1960,COG,129555568.68318124
YR1960,COL,4019001281.0851545
YR1960,COM,
YR1960,CPV,
YR1960,CRI,502758192.43120486
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,662300300.0
YR1960,DZA,3221511332.5636506
YR1960,ECU,2043509723.6070275
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,12014292254.66821
YR1960,EST,
YR1960,ETH,
YR1960,FIN,5222582942.674381
YR1960,FJI,108046845.48545523
YR1960,FRA,62588196442.48964
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,134793935.11534286
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,1203222788.1151285
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,4397175254.279972
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1033200000.0
YR1960,GUM,
YR1960,GUY,156274047.71626905
YR1960,HKG,1326777144.6601582
YR1960,HND,344150000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,36878683724.257126
YR1960,IRL,2056603345.5159981
YR1960,IRN,4093075124.2489767
YR1960,IRQ,
YR1960,ISL,247369176.6420057
YR1960,ISR,2585000000.0
YR1960,ITA,40495892097.07309
YR1960,JAM,683286574.2685146
YR1960,JOR,
YR1960,JPN,44096113140.62222
YR1960,KAZ,
YR1960,KEN,764959553.3629031
YR1960,KGZ,
YR1960,KHM,637603957.1428572
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,3994151268.5980787
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,1406432689.0756304
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,492035662.5225607
