time,economy,value
YR1960,ABW,
YR1960,AFG,24699998200.0
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,0.1349124759
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,16642000000.0
YR1960,AUT,12371337216.0
YR1960,AZE,
YR1960,BDI,9694600200.0
YR1960,BEL,14635200512.0
YR1960,BEN,55287144400.0
YR1960,BFA,82114535400.0
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,152599800.0
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,39901700.0
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,24399300.0
YR1960,CAF,27399997400.0
YR1960,CAN,
YR1960,CHE,42629181440.0
YR1960,CHI,
YR1960,CHL,4442000.0
YR1960,CHN,147010000000.0
YR1960,CIV,136441749500.0
YR1960,CMR,
YR1960,COD,
YR1960,COG,31766390800.0
YR1960,COL,26666073500.0
YR1960,COM,
YR1960,CPV,
YR1960,CRI,2833696000.0
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,662300300.0
YR1960,DZA,15904923600.0
YR1960,ECU,1702108407.49622
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,4332441088.0
YR1960,EST,
YR1960,ETH,
YR1960,FIN,2810801408.0
YR1960,FJI,85800000.0
YR1960,FRA,47107000000.0
YR1960,FRO,194500000.0
YR1960,FSM,
YR1960,GAB,33050812400.000004
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,85900.0
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,387132100.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,1033200000.0
YR1960,GUM,
YR1960,GUY,267900600.0
YR1960,HKG,7148409900.0
YR1960,HND,688300000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,387000000000.0
YR1960,IMN,
YR1960,IND,175612604026.54
YR1960,IRL,932624512.0
YR1960,IRN,310050440661.86
YR1960,IRQ,
YR1960,ISL,89524144.0
YR1960,ISR,517000.0
YR1960,ITA,13050289152.0
YR1960,JAM,488071600.0
YR1960,JOR,
YR1960,JPN,15874600730624.0
YR1960,KAZ,
YR1960,KEN,5463999000.0
YR1960,KGZ,
YR1960,KHM,22316138500.0
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,252130000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,6694619600.0
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,609862272.0
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,10409002000.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,32130060300.0
YR1960,MDV,
YR1960,MEX,158327100.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,114800000.0
YR1960,MYS,5616000000.0
YR1960,NAM,
YR1960,NCL,9293999104.0
YR1960,NER,110521876400.0
YR1960,NGA,2981276900.0
YR1960,NIC,0.4580933237
YR1960,NLD,21279516672.0
YR1960,NOR,37056917504.0
YR1960,NPL,3872999900.0
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,15800000.0
YR1960,PAK,17828002064.0
YR1960,PAN,476969600.0
YR1960,PER,66.4377281388
YR1960,PHL,14953320600.7607
YR1960,PLW,
YR1960,PNG,203600200.0
YR1960,POL,
YR1960,PRI,1676400000.0
YR1960,PRK,
YR1960,PRT,450892640.0
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,5138414592.0
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,5950001200.0
YR1960,SAU,6355139600.0
YR1960,SDN,394200.0
YR1960,SEN,
YR1960,SGP,2196800000.0
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,1286999168.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,157300.0
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,77994729472.0
YR1960,SWZ,21255700.0
YR1960,SXM,
YR1960,SYC,57000000.0
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,76368846800.0
YR1960,TGO,29583452200.0
YR1960,THA,58328203300.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,829200000.0
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,40238300.0
YR1960,UKR,
YR1960,URY,14400.0
YR1960,USA,546400000000.0
YR1960,UZB,
YR1960,VCT,22400000.0
YR1960,VEN,23910900.0
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,5175000000.0
YR1960,ZMB,447300.0
YR1960,ZWE,1023337700.0
YR1961,ABW,
YR1961,AFG,25200001000.0
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,0.1711232811
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,17555000000.0
YR1961,AUT,13720662016.0
YR1961,AZE,
YR1961,BDI,10040999900.0
YR1961,BEL,15525971968.0
YR1961,BEN,57621942300.0
YR1961,BFA,86684090400.0
YR1961,BGD,
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,170799800.0
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,42508600.0
YR1961,BMU,
YR1961,BOL,
YR1961,BRA,
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,26407500.0
YR1961,CAF,30100008900.0
YR1961,CAN,
YR1961,CHE,47828955136.0
YR1961,CHI,
YR1961,CHL,4989500.0
YR1961,CHN,123230000000.0
YR1961,CIV,149801058300.0
YR1961,CMR,
YR1961,COD,
YR1961,COG,36506140700.0
YR1961,COL,30315933800.0
YR1961,COM,
YR1961,CPV,
YR1961,CRI,2897612500.0
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
