time,economy,value
YR1960,ABW,
YR1960,AFG,11111037.777777778
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,31358494.79224997
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,-2107986.0
YR1960,BEL,
YR1960,BEN,-713322.9823923887
YR1960,BFA,4451866.289334494
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,-20196274.50980392
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,-141257.17485650285
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,3793915.603532875
YR1960,CAF,-407862.5551652541
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,-71818181.81818181
YR1960,CHN,
YR1960,CIV,10258412.994386919
YR1960,CMR,
YR1960,COD,
YR1960,COG,-2176293.8857940827
YR1960,COL,
YR1960,COM,
YR1960,CPV,
YR1960,CRI,-4755637.563649912
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,-10099500.0
YR1960,DZA,497917947.7831115
YR1960,ECU,-25955602.81178831
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,-4281576.627628762
YR1960,FRA,
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,-6675043.2614681125
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,-14007250.152679028
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,74261916.10049357
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,-10399900.0
YR1960,GUM,
YR1960,GUY,-13941200.489995917
YR1960,HKG,5980492.96558894
YR1960,HND,8500050.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,-151200151.2001512
YR1960,IRL,
YR1960,IRN,-106059265.65472078
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,-15764104.71790564
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,-26305877.455183797
YR1960,KGZ,
YR1960,KHM,461091.42857142864
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,35960509.97389299
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,-3441260.5042016814
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,19761051.279517833
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,-22288333.520287935
YR1960,MDV,
YR1960,MEX,-373832000.0
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,-2239955.200895982
YR1960,MYS,-81667320.00522672
YR1960,NAM,
YR1960,NCL,
YR1960,NER,1223879.6708764518
YR1960,NGA,-22388072.238555226
YR1960,NIC,-5714988.714285714
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,0.0
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,-5459457.370852583
YR1960,PAN,-60177500.0
YR1960,PER,-138291646.73626372
YR1960,PHL,-94883870.96774194
YR1960,PLW,
YR1960,PNG,-2463776.3525368306
YR1960,POL,
YR1960,PRI,-15500000.0
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,
YR1960,SAU,
YR1960,SDN,7000000.000000001
YR1960,SEN,
YR1960,SGP,12870769.63282373
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,-280128.98544840585
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,-21000000.0
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,
YR1960,SWZ,-5318773.624527509
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,-2121175.7494338183
YR1960,TGO,-475367.57463750296
YR1960,THA,-7053106.912538122
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,-51974158.54867876
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,-1223270.4402515723
YR1960,UKR,
YR1960,URY,-8567511.994516794
YR1960,USA,
YR1960,UZB,
YR1960,VCT,0.0
YR1960,VEN,-533363636.3636364
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,-330399867.9788208
YR1960,ZMB,-74000000.0
YR1960,ZWE,-29652700.0
YR1961,ABW,
YR1961,AFG,11111128.888888888
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,-22398924.85160712
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,-2179994.0
YR1961,BEL,
YR1961,BEN,-726043.494233265
YR1961,BFA,3190155.6755460836
YR1961,BGD,
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,-22647254.901960783
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,-208945.8210835783
YR1961,BMU,
YR1961,BOL,
YR1961,BRA,0.0
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,4046592.976073877
YR1961,CAF,-407696.1560400571
YR1961,CAN,
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,-73818181.81818181
YR1961,CHN,
YR1961,CIV,-7461176.930124386
YR1961,CMR,
YR1961,COD,
YR1961,COG,-2829104.6746431706
YR1961,COL,
YR1961,COM,
YR1961,CPV,
YR1961,CRI,-5304174.6175220115
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,-18600100.0
YR1961,DZA,537376719.1266128
YR1961,ECU,-27809693.648730192
YR1961,EGY,
YR1961,ERI,
YR1961,ESP,
YR1961,EST,
YR1961,ETH,
YR1961,FIN,
YR1961,FJI,-4407505.351970784
YR1961,FRA,
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,-8606472.883277835
YR1961,GBR,
YR1961,GEO,
YR1961,GHA,-19610150.213750638
YR1961,GIB,
YR1961,GIN,
YR1961,GMB,
YR1961,GNB,
YR1961,GNQ,
YR1961,GRC,91136991.23707809
YR1961,GRD,
YR1961,GRL,
YR1961,GTM,-12399900.0
YR1961,GUM,
YR1961,GUY,-12774601.878317682
YR1961,HKG,141020286.57336944
YR1961,HND,-1000000.0
