time,economy,value
YR1960,ABW,
YR1960,AFG,45.0
YR1960,AGO,2.87e-08
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,1.0
YR1960,ATG,1.7143
YR1960,AUS,0.8929
YR1960,AUT,1.8894937038
YR1960,AZE,
YR1960,BDI,50.0
YR1960,BEL,1.23946762084961
YR1960,BEN,245.1951
YR1960,BFA,245.1951
YR1960,BGD,4.8000001907
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,1.02
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,1.4286
YR1960,BMU,0.8571429849
YR1960,BOL,1.19798e-05
YR1960,BRA,0.0
YR1960,BRB,1.7143
YR1960,BRN,3.0612
YR1960,BTN,4.7619
YR1960,BWA,0.7133
YR1960,CAF,245.1951
YR1960,CAN,0.9697830081
YR1960,CHE,4.3729500771
YR1960,CHI,
YR1960,CHL,0.0011
YR1960,CHN,2.4618
YR1960,CIV,245.1951
YR1960,CMR,245.1951
YR1960,COD,1.7e-13
YR1960,COG,245.1951013984
YR1960,COL,6.635
YR1960,COM,245.193
YR1960,CPV,28.7001
YR1960,CRI,5.6363
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,2.14742588996887
YR1960,DJI,
YR1960,DMA,1.7143
YR1960,DNK,6.9071397781
YR1960,DOM,1.0
YR1960,DZA,4.9371
YR1960,ECU,0.8329338431
YR1960,EGY,
YR1960,ERI,
YR1960,ESP,0.360607266426086
YR1960,EST,1.8894937038
YR1960,ETH,2.4845
YR1960,FIN,0.53820139169693
YR1960,FJI,0.7941
YR1960,FRA,0.752649903297424
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,245.1951
YR1960,GBR,0.3571430147
YR1960,GEO,
YR1960,GHA,7.13916e-05
YR1960,GIB,
YR1960,GIN,24.685
YR1960,GMB,1.7857
YR1960,GNB,0.4423076928
YR1960,GNQ,245.195
YR1960,GRC,0.0880410894751549
YR1960,GRD,1.7143
YR1960,GRL,
YR1960,GTM,1.0
YR1960,GUM,
YR1960,GUY,1.7143
YR1960,HKG,5.3878
YR1960,HND,2.0
YR1960,HRV,
YR1960,HTI,5.0
YR1960,HUN,
YR1960,IDN,
YR1960,IMN,
YR1960,IND,4.7619
YR1960,IRL,0.453478068113327
YR1960,IRN,75.75
YR1960,IRQ,
YR1960,ISL,0.3619050086
YR1960,ISR,0.0002
YR1960,ITA,0.322262048721313
YR1960,JAM,0.7143
YR1960,JOR,0.3572
YR1960,JPN,360.0
YR1960,KAZ,
YR1960,KEN,7.1428600061
YR1960,KGZ,
YR1960,KHM,35.0
YR1960,KIR,0.8959
YR1960,KNA,1.7143
YR1960,KOR,63.1248
YR1960,KWT,0.3572
YR1960,LAO,96.0002
YR1960,LBN,
YR1960,LBR,1.0
YR1960,LBY,
YR1960,LCA,1.7143
YR1960,LIE,
YR1960,LKA,4.76
YR1960,LSO,0.7143
YR1960,LTU,
YR1960,LUX,1.23946762084961
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,5.0605
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,49.3706000495
YR1960,MDV,4.76
YR1960,MEX,0.0125
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,245.1951
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,0.0288
YR1960,MRT,4.937
YR1960,MUS,4.7619
YR1960,MWI,0.7143
YR1960,MYS,3.0612
YR1960,NAM,
YR1960,NCL,89.7650000888
YR1960,NER,245.1951013984
YR1960,NGA,0.7143
YR1960,NIC,2.1e-09
YR1960,NLD,1.72436475753784
YR1960,NOR,7.2886362076
YR1960,NPL,7.619
YR1960,NRU,
YR1960,NZL,0.5137119889
YR1960,OMN,
YR1960,PAK,4.762
YR1960,PAN,1.0
YR1960,PER,2.73e-08
YR1960,PHL,2.015
YR1960,PLW,
YR1960,PNG,0.8928570151
YR1960,POL,
YR1960,PRI,1.0
YR1960,PRK,
YR1960,PRT,0.142168149352074
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,89.7649993896
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,50.0
YR1960,SAU,4.5
YR1960,SDN,0.0003
YR1960,SEN,245.1951
YR1960,SGP,3.0612
YR1960,SLB,0.8961
YR1960,SLE,0.6122698784
YR1960,SLV,1.0
YR1960,SMR,
YR1960,SOM,7.14286
YR1960,SRB,
YR1960,SSD,
YR1960,STP,0.0287499999
YR1960,SUR,0.002
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,5.173210144
YR1960,SWZ,0.7143
YR1960,SXM,
YR1960,SYC,4.7619
YR1960,SYR,3.58
YR1960,TCA,
YR1960,TCD,245.1951
YR1960,TGO,245.1951
YR1960,THA,21.1818
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,0.8929
YR1960,TTO,1.7143
YR1960,TUN,
YR1960,TUR,4.866e-06
YR1960,TUV,
YR1960,TZA,7.1429
YR1960,UGA,0.0954
YR1960,UKR,
YR1960,URY,1.1672e-05
YR1960,USA,1.0
YR1960,UZB,
YR1960,VCT,1.7143
YR1960,VEN,0.0033
YR1960,VGB,
YR1960,VIR,1.0
YR1960,VNM,
YR1960,VUT,89.765
YR1960,WSM,0.7143
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,0.7142859997
YR1960,ZMB,0.0007
YR1960,ZWE,1.0
YR1961,ABW,
YR1961,AFG,45.0
YR1961,AGO,2.87e-08
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,1.0
YR1961,ATG,1.7143
YR1961,AUS,0.8929
YR1961,AUT,1.8894937038
YR1961,AZE,
YR1961,BDI,50.0
YR1961,BEL,1.23946762084961
YR1961,BEN,245.2601
YR1961,BFA,245.2601
YR1961,BGD,4.8000001907
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,1.02
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,1.4286
YR1961,BMU,0.8571429849
YR1961,BOL,1.19798e-05
YR1961,BRA,9.79354672445837e-14
YR1961,BRB,1.7143
YR1961,BRN,3.0612
YR1961,BTN,4.7619
YR1961,BWA,0.7147
YR1961,CAF,245.2601
YR1961,CAN,1.0130670071
YR1961,CHE,4.3729500771
YR1961,CHI,
YR1961,CHL,0.0011
YR1961,CHN,2.4618
YR1961,CIV,245.2601
YR1961,CMR,245.2601
YR1961,COD,1.75e-13
YR1961,COG,245.2601016212
YR1961,COL,6.7
YR1961,COM,245.258
YR1961,CPV,28.7001
YR1961,CRI,5.9742
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,2.06221032142639
YR1961,DJI,
YR1961,DMA,1.7143
YR1961,DNK,6.9071397781
YR1961,DOM,1.0
YR1961,DZA,4.9371
YR1961,ECU,0.9162272811
YR1961,EGY,
YR1961,ERI,
YR1961,ESP,0.360607266426086
YR1961,EST,1.8894937038
YR1961,ETH,2.4845
YR1961,FIN,0.53820139169693
YR1961,FJI,0.7941
YR1961,FRA,0.752649903297424
YR1961,FRO,
YR1961,FSM,
YR1961,GAB,245.2601
YR1961,GBR,0.3571430147
YR1961,GEO,
YR1961,GHA,7.13916e-05
YR1961,GIB,
YR1961,GIN,24.685
YR1961,GMB,1.7857
YR1961,GNB,0.4423076928
YR1961,GNQ,245.26
YR1961,GRC,0.0880410894751549
YR1961,GRD,1.7143
YR1961,GRL,
YR1961,GTM,1.0
YR1961,GUM,
YR1961,GUY,1.7143
YR1961,HKG,5.3878
YR1961,HND,2.0
YR1961,HRV,
YR1961,HTI,5.0
YR1961,HUN,
YR1961,IDN,
YR1961,IMN,
YR1961,IND,4.7619
YR1961,IRL,0.453478068113327
YR1961,IRN,75.75
YR1961,IRQ,
YR1961,ISL,0.4008330107
YR1961,ISR,0.0002
YR1961,ITA,0.322785556316376
YR1961,JAM,0.7143
YR1961,JOR,0.3572
YR1961,JPN,360.0
YR1961,KAZ,
YR1961,KEN,7.1428600061
YR1961,KGZ,
YR1961,KHM,35.0
YR1961,KIR,0.8959
YR1961,KNA,1.7143
YR1961,KOR,124.7912
YR1961,KWT,0.3572
YR1961,LAO,96.0002
YR1961,LBN,
YR1961,LBR,1.0
YR1961,LBY,
YR1961,LCA,1.7143
YR1961,LIE,
YR1961,LKA,4.76
YR1961,LSO,0.7143
YR1961,LTU,
YR1961,LUX,1.23946762084961
YR1961,LVA,
YR1961,MAC,
YR1961,MAF,
YR1961,MAR,5.0605
YR1961,MCO,
YR1961,MDA,
YR1961,MDG,49.3706000495
YR1961,MDV,4.76
YR1961,MEX,0.0125
YR1961,MHL,
YR1961,MKD,
YR1961,MLI,245.2601
YR1961,MLT,
YR1961,MMR,4.7619000038
YR1961,MNE,
YR1961,MNG,
YR1961,MNP,
YR1961,MOZ,0.0288
YR1961,MRT,4.937
YR1961,MUS,4.7619
YR1961,MWI,0.7143
YR1961,MYS,3.0612
YR1961,NAM,
YR1961,NCL,89.7650000888
YR1961,NER,245.2601
YR1961,NGA,0.7143
YR1961,NIC,2.1e-09
YR1961,NLD,1.65629768371582
YR1961,NOR,7.2886362076
YR1961,NPL,7.619
YR1961,NRU,
YR1961,NZL,0.5145930052
YR1961,OMN,
YR1961,PAK,4.762
YR1961,PAN,1.0
YR1961,PER,2.68e-08
YR1961,PHL,2.02
YR1961,PLW,
YR1961,PNG,0.8928570151
YR1961,POL,
YR1961,PRI,1.0
YR1961,PRK,
YR1961,PRT,0.142168149352074
YR1961,PRY,
YR1961,PSE,
YR1961,PYF,89.7649993896
YR1961,QAT,
YR1961,ROU,
YR1961,RUS,
YR1961,RWA,50.0
YR1961,SAU,4.5
YR1961,SDN,0.0003
YR1961,SEN,245.2601
YR1961,SGP,3.0612
YR1961,SLB,0.8961
YR1961,SLE,0.6122698784
YR1961,SLV,1.0
YR1961,SMR,
YR1961,SOM,7.14286
YR1961,SRB,
YR1961,SSD,
YR1961,STP,0.0287499999
YR1961,SUR,0.002
YR1961,SVK,
YR1961,SVN,
YR1961,SWE,5.173210144
YR1961,SWZ,0.7143
YR1961,SXM,
YR1961,SYC,4.7619
YR1961,SYR,3.58
YR1961,TCA,
YR1961,TCD,245.2601
YR1961,TGO,245.2601
YR1961,THA,21.0584
YR1961,TJK,
YR1961,TKM,
YR1961,TLS,
YR1961,TON,0.8929
YR1961,TTO,1.7143
YR1961,TUN,
YR1961,TUR,9e-06
YR1961,TUV,
YR1961,TZA,7.1429
YR1961,UGA,0.0954
YR1961,UKR,
YR1961,URY,1.1374e-05
YR1961,USA,1.0
YR1961,UZB,
YR1961,VCT,1.7143
YR1961,VEN,0.0033
YR1961,VGB,
YR1961,VIR,1.0
YR1961,VNM,
YR1961,VUT,89.765
YR1961,WSM,0.7155
YR1961,XKX,
YR1961,YEM,
YR1961,ZAF,0.7142859997
YR1961,ZMB,0.0007
YR1961,ZWE,1.0
YR1962,ABW,
YR1962,AFG,45.0
YR1962,AGO,2.87e-08
YR1962,ALB,
YR1962,AND,
