time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,190.2
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,82.2
YR1960,AUS,22.0
YR1960,AUT,37.7
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,29.4
YR1960,BEN,297.9
YR1960,BFA,331.2
YR1960,BGD,254.1
YR1960,BGR,50.7
YR1960,BHR,197.3
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,275.9
YR1960,BRA,156.3
YR1960,BRB,78.0
YR1960,BRN,112.6
YR1960,BTN,
YR1960,BWA,159.3
YR1960,CAF,275.0
YR1960,CAN,28.6
YR1960,CHE,22.9
YR1960,CHI,
YR1960,CHL,147.8
YR1960,CHN,
YR1960,CIV,294.7
YR1960,CMR,264.4
YR1960,COD,
YR1960,COG,174.4
YR1960,COL,127.7
YR1960,COM,
YR1960,CPV,172.8
YR1960,CRI,90.8
YR1960,CUB,50.1
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,133.9
YR1960,DNK,21.3
YR1960,DOM,143.3
YR1960,DZA,237.5
YR1960,ECU,166.2
YR1960,EGY,320.5
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,23.4
YR1960,FJI,72.7
YR1960,FRA,24.9
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,23.3
YR1960,GEO,
YR1960,GHA,198.0
YR1960,GIB,
YR1960,GIN,334.0
YR1960,GMB,346.7
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,44.5
YR1960,GRD,99.0
YR1960,GRL,
YR1960,GTM,212.8
YR1960,GUM,
YR1960,GUY,82.9
YR1960,HKG,
YR1960,HND,196.8
YR1960,HRV,
YR1960,HTI,270.7
YR1960,HUN,48.1
YR1960,IDN,208.7
YR1960,IMN,
YR1960,IND,248.5
YR1960,IRL,30.9
YR1960,IRN,
YR1960,IRQ,184.1
YR1960,ISL,19.2
YR1960,ISR,40.8
YR1960,ITA,47.7
YR1960,JAM,76.5
YR1960,JOR,156.1
YR1960,JPN,35.9
YR1960,KAZ,
YR1960,KEN,189.4
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,107.4
YR1960,KWT,136.8
YR1960,LAO,
YR1960,LBN,72.8
YR1960,LBR,293.6
YR1960,LBY,272.6
YR1960,LCA,161.9
YR1960,LIE,
YR1960,LKA,90.7
YR1960,LSO,177.0
YR1960,LTU,
YR1960,LUX,33.2
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,231.5
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,149.0
YR1960,MHL,113.9
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,36.5
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,239.9
YR1960,MUS,100.2
YR1960,MWI,
YR1960,MYS,87.0
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,186.7
YR1960,NLD,18.0
YR1960,NOR,19.6
YR1960,NPL,323.9
YR1960,NRU,
YR1960,NZL,24.5
YR1960,OMN,
YR1960,PAK,249.9
YR1960,PAN,84.3
YR1960,PER,219.1
YR1960,PHL,97.0
YR1960,PLW,
YR1960,PNG,189.2
YR1960,POL,58.0
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,107.6
YR1960,PRY,76.9
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,81.2
YR1960,RUS,
YR1960,RWA,210.3
YR1960,SAU,
YR1960,SDN,167.6
YR1960,SEN,289.3
YR1960,SGP,43.4
YR1960,SLB,182.5
YR1960,SLE,376.6
YR1960,SLV,175.0
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,16.9
YR1960,SWZ,199.4
YR1960,SXM,
YR1960,SYC,100.0
YR1960,SYR,169.5
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,254.6
YR1960,THA,139.8
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,62.9
YR1960,TUN,
YR1960,TUR,250.9
YR1960,TUV,
YR1960,TZA,232.1
YR1960,UGA,208.4
YR1960,UKR,
YR1960,URY,57.2
YR1960,USA,26.2
YR1960,UZB,
YR1960,VCT,173.0
YR1960,VEN,73.5
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,147.9
YR1960,WSM,102.5
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,
YR1960,ZMB,195.9
YR1960,ZWE,141.6
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,180.4
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,76.3
YR1961,AUS,21.4
YR1961,AUT,35.3
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,28.2
YR1961,BEN,293.2
YR1961,BFA,327.3
YR1961,BGD,248.0
YR1961,BGR,44.6
YR1961,BHR,180.5
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
