time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,200.4
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,86.2
YR1960,AUS,24.8
YR1960,AUT,42.8
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,33.8
YR1960,BEN,310.9
YR1960,BFA,342.9
YR1960,BGD,260.2
YR1960,BGR,55.3
YR1960,BHR,198.4
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,287.9
YR1960,BRA,168.9
YR1960,BRB,84.6
YR1960,BRN,122.4
YR1960,BTN,
YR1960,BWA,167.6
YR1960,CAF,283.1
YR1960,CAN,32.6
YR1960,CHE,26.5
YR1960,CHI,
YR1960,CHL,157.1
YR1960,CHN,
YR1960,CIV,316.5
YR1960,CMR,276.2
YR1960,COD,
YR1960,COG,182.6
YR1960,COL,135.2
YR1960,COM,
YR1960,CPV,181.1
YR1960,CRI,95.9
YR1960,CUB,54.6
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,138.0
YR1960,DNK,25.0
YR1960,DOM,147.7
YR1960,DZA,240.5
YR1960,ECU,175.7
YR1960,EGY,316.0
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,26.8
YR1960,FJI,77.2
YR1960,FRA,28.5
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,26.6
YR1960,GEO,
YR1960,GHA,208.8
YR1960,GIB,
YR1960,GIN,345.2
YR1960,GMB,360.3
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,46.1
YR1960,GRD,101.6
YR1960,GRL,
YR1960,GTM,221.0
YR1960,GUM,
YR1960,GUY,92.2
YR1960,HKG,
YR1960,HND,208.1
YR1960,HRV,
YR1960,HTI,285.3
YR1960,HUN,53.9
YR1960,IDN,223.1
YR1960,IMN,
YR1960,IND,241.4
YR1960,IRL,35.3
YR1960,IRN,
YR1960,IRQ,192.0
YR1960,ISL,21.5
YR1960,ISR,42.0
YR1960,ITA,51.9
YR1960,JAM,82.9
YR1960,JOR,155.6
YR1960,JPN,39.7
YR1960,KAZ,
YR1960,KEN,198.1
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,112.2
YR1960,KWT,141.3
YR1960,LAO,
YR1960,LBN,75.7
YR1960,LBR,310.3
YR1960,LBY,278.4
YR1960,LCA,163.9
YR1960,LIE,
YR1960,LKA,94.0
YR1960,LSO,186.9
YR1960,LTU,
YR1960,LUX,37.7
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,238.3
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,155.8
YR1960,MHL,121.1
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,40.3
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,251.3
YR1960,MUS,104.3
YR1960,MWI,
YR1960,MYS,92.6
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,197.8
YR1960,NLD,20.8
YR1960,NOR,22.6
YR1960,NPL,322.6
YR1960,NRU,
YR1960,NZL,27.9
YR1960,OMN,
YR1960,PAK,252.4
YR1960,PAN,90.2
YR1960,PER,227.6
YR1960,PHL,103.4
YR1960,PLW,
YR1960,PNG,197.4
YR1960,POL,65.1
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,114.5
YR1960,PRY,82.3
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,87.2
YR1960,RUS,
YR1960,RWA,220.9
YR1960,SAU,
YR1960,SDN,176.0
YR1960,SEN,295.8
YR1960,SGP,47.7
YR1960,SLB,189.7
YR1960,SLE,391.7
YR1960,SLV,184.7
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,19.6
YR1960,SWZ,209.3
YR1960,SXM,
YR1960,SYC,104.5
YR1960,SYR,170.3
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,268.8
YR1960,THA,146.4
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,67.6
YR1960,TUN,
YR1960,TUR,257.2
YR1960,TUV,
YR1960,TZA,241.2
YR1960,UGA,222.4
YR1960,UKR,
YR1960,URY,63.5
YR1960,USA,30.1
YR1960,UZB,
YR1960,VCT,174.5
YR1960,VEN,79.2
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,153.2
YR1960,WSM,108.0
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,
YR1960,ZMB,204.8
YR1960,ZWE,151.1
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,190.3
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,80.2
YR1961,AUS,24.3
YR1961,AUT,40.2
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,32.4
YR1961,BEN,306.0
YR1961,BFA,339.1
YR1961,BGD,253.8
YR1961,BGR,48.9
YR1961,BHR,181.5
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
