time,economy,value
YR1960,ABW,32.295719844357976
YR1960,AFG,
YR1960,AGO,8.51063829787234
YR1960,ALB,68.49444130393819
YR1960,AND,
YR1960,ARE,
YR1960,ARG,27.559615612765455
YR1960,ARM,
YR1960,ASM,62.294841735052756
YR1960,ATG,51.485148514851474
YR1960,AUS,
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,
YR1960,BFA,
YR1960,BGD,
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,20.915979496322713
YR1960,BMU,
YR1960,BOL,
YR1960,BRA,20.798106188704768
YR1960,BRB,60.19723865877712
YR1960,BRN,23.301985370950888
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,40.45626504642898
YR1960,CHI,
YR1960,CHL,26.724644494065103
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,
YR1960,COD,
YR1960,COG,
YR1960,COL,
YR1960,COM,
YR1960,CPV,117.50207125103562
YR1960,CRI,
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,33.91943022479412
YR1960,CYP,45.13988720557337
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,67.09636517328825
YR1960,DNK,42.75659824046921
YR1960,DOM,12.069721552291163
YR1960,DZA,
YR1960,ECU,
YR1960,EGY,5.863192182410423
YR1960,ERI,
YR1960,ESP,19.90340334718634
YR1960,EST,
YR1960,ETH,
YR1960,FIN,57.60921177587844
YR1960,FJI,
YR1960,FRA,
YR1960,FRO,31.164345403899716
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,63.68131250702327
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,
YR1960,GRD,56.43760853386256
YR1960,GRL,37.950516267290084
YR1960,GTM,
YR1960,GUM,28.653624856156494
YR1960,GUY,29.378881987577643
YR1960,HKG,
YR1960,HND,
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,49.34467693722695
YR1960,IDN,
YR1960,IMN,
YR1960,IND,
YR1960,IRL,
YR1960,IRN,
YR1960,IRQ,
YR1960,ISL,37.670283999076425
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,54.97845065753122
YR1960,JOR,
YR1960,JPN,64.26886792452831
YR1960,KAZ,
YR1960,KEN,
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,57.04131497112394
YR1960,KOR,38.19948009303598
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,38.27874116891458
YR1960,LKA,
YR1960,LSO,
YR1960,LTU,
YR1960,LUX,35.14211886304909
YR1960,LVA,
YR1960,MAC,29.333544403989237
YR1960,MAF,
YR1960,MAR,10.056057659306715
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,21.319961177612424
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,
YR1960,NAM,27.003257328990234
YR1960,NCL,
YR1960,NER,11.528301886792454
YR1960,NGA,
YR1960,NIC,
YR1960,NLD,27.398255813953487
YR1960,NOR,28.837772397094437
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,
YR1960,PAN,28.38117106773823
YR1960,PER,
YR1960,PHL,33.01783764106298
YR1960,PLW,
YR1960,PNG,
YR1960,POL,68.00975383186253
YR1960,PRI,30.455306837216384
YR1960,PRK,
YR1960,PRT,18.65245108815124
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,
YR1960,SAU,
YR1960,SDN,
YR1960,SEN,
YR1960,SGP,
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,
YR1960,SWZ,
YR1960,SXM,
YR1960,SYC,62.84951850562711
YR1960,SYR,9.404463539801885
YR1960,TCA,53.04950709565593
YR1960,TCD,
YR1960,TGO,78.94096165550822
YR1960,THA,
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,35.48985507246377
YR1960,TUN,
YR1960,TUR,69.7952218430034
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,
YR1960,USA,45.258103241296524
YR1960,UZB,
YR1960,VCT,56.32723677706376
YR1960,VEN,
YR1960,VGB,22.951186744290194
YR1960,VIR,53.1371700562527
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,30.41331382589612
YR1960,ZMB,
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,33.687405159332314
YR1961,AUT,55.95550556180478
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,33.5921052631579
YR1961,BEN,96.78907547517993
YR1961,BFA,
YR1961,BGD,19.522426589222327
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,
YR1961,BRA,
YR1961,BRB,
YR1961,BRN,
YR1961,BTN,
YR1961,BWA,
YR1961,CAF,
YR1961,CAN,38.02149987202457
YR1961,CHE,
YR1961,CHI,
YR1961,CHL,
YR1961,CHN,
YR1961,CIV,
YR1961,CMR,
YR1961,COD,
YR1961,COG,
YR1961,COL,
YR1961,COM,
YR1961,CPV,
YR1961,CRI,
YR1961,CUB,
YR1961,CUW,
YR1961,CYM,
YR1961,CYP,
YR1961,CZE,
YR1961,DEU,
YR1961,DJI,
YR1961,DMA,
YR1961,DNK,
YR1961,DOM,
YR1961,DZA,
