time,economy,value
YR1960,ABW,106.2062
YR1960,AFG,145.245
YR1960,AGO,202.2
YR1960,ALB,54.4408
YR1960,AND,
YR1960,ARE,176.9534
YR1960,ARG,61.388
YR1960,ARM,44.218
YR1960,ASM,
YR1960,ATG,179.913
YR1960,AUS,44.8286
YR1960,AUT,48.3914
YR1960,AZE,45.4712
YR1960,BDI,91.1948
YR1960,BEL,27.1146
YR1960,BEN,85.7628
YR1960,BFA,184.6466
YR1960,BGD,204.0016
YR1960,BGR,67.663
YR1960,BHR,88.455
YR1960,BHS,91.8424
YR1960,BIH,42.9812
YR1960,BLR,16.57
YR1960,BLZ,181.72
YR1960,BMU,
YR1960,BOL,102.937
YR1960,BRA,89.8818
YR1960,BRB,124.927
YR1960,BRN,90.184
YR1960,BTN,108.9904
YR1960,BWA,161.1488
YR1960,CAF,173.3156
YR1960,CAN,55.6252
YR1960,CHE,18.0118
YR1960,CHI,26.7686
YR1960,CHL,81.7476
YR1960,CHN,68.0544
YR1960,CIV,232.4838
YR1960,CMR,171.3492
YR1960,COD,188.5218
YR1960,COG,137.061
YR1960,COL,136.691
YR1960,COM,120.3654
YR1960,CPV,116.637
YR1960,CRI,123.3204
YR1960,CUB,103.0514
YR1960,CUW,105.7542
YR1960,CYM,
YR1960,CYP,31.0666
YR1960,CZE,47.9544
YR1960,DEU,37.8706
YR1960,DJI,43.1298
YR1960,DMA,
YR1960,DNK,44.1754
YR1960,DOM,167.0996
YR1960,DZA,123.8892
YR1960,ECU,131.1764
YR1960,EGY,150.2574
YR1960,ERI,119.4878
YR1960,ESP,10.0564
YR1960,EST,21.4402
YR1960,ETH,115.9074
YR1960,FIN,29.014
YR1960,FJI,112.6104
YR1960,FRA,24.917
YR1960,FRO,
YR1960,FSM,75.3684
YR1960,GAB,180.3142
YR1960,GBR,84.7406
YR1960,GEO,28.4154
YR1960,GHA,148.3448
YR1960,GIB,
YR1960,GIN,203.0624
YR1960,GMB,220.4986
YR1960,GNB,108.0446
YR1960,GNQ,174.8168
YR1960,GRC,18.127
YR1960,GRD,155.28
YR1960,GRL,
YR1960,GTM,158.6538
YR1960,GUM,103.7064
YR1960,GUY,145.0668
YR1960,HKG,42.8062
YR1960,HND,159.419
YR1960,HRV,42.3674
YR1960,HTI,76.798
YR1960,HUN,49.4176
YR1960,IDN,143.8518
YR1960,IMN,
YR1960,IND,103.921
YR1960,IRL,10.5048
YR1960,IRN,150.179
YR1960,IRQ,141.4524
YR1960,ISL,84.0974
YR1960,ISR,52.2602
YR1960,ITA,19.1922
YR1960,JAM,150.0516
YR1960,JOR,122.7502
YR1960,JPN,4.431
YR1960,KAZ,44.4152
YR1960,KEN,179.7378
YR1960,KGZ,48.3642
YR1960,KHM,101.081
YR1960,KIR,72.8538
YR1960,KNA,
YR1960,KOR,32.489
YR1960,KWT,164.6404
YR1960,LAO,104.5112
YR1960,LBN,84.7684
YR1960,LBR,225.535
YR1960,LBY,118.31
YR1960,LCA,157.6034
YR1960,LIE,
YR1960,LKA,98.6416
YR1960,LSO,95.7386
YR1960,LTU,16.42
YR1960,LUX,25.9454
YR1960,LVA,18.5598
YR1960,MAC,13.1694
YR1960,MAF,
YR1960,MAR,150.518
YR1960,MCO,
YR1960,MDA,32.8038
YR1960,MDG,155.49
YR1960,MDV,206.4318
YR1960,MEX,116.4508
YR1960,MHL,
YR1960,MKD,37.2764
