time,economy,value
YR1960,ABW,35.679
YR1960,AFG,51.279
YR1960,AGO,49.08
YR1960,ALB,40.924
YR1960,AND,
YR1960,ARE,47.266
YR1960,ARG,23.775
YR1960,ARM,38.509
YR1960,ASM,
YR1960,ATG,32.829
YR1960,AUS,22.4
YR1960,AUT,17.9
YR1960,AZE,45.931
YR1960,BDI,48.51
YR1960,BEL,16.8
YR1960,BEN,44.304
YR1960,BFA,47.24
YR1960,BGD,48.34
YR1960,BGR,17.8
YR1960,BHR,45.934
YR1960,BHS,34.38
YR1960,BIH,31.504
YR1960,BLR,23.455
YR1960,BLZ,44.967
YR1960,BMU,28.3
YR1960,BOL,43.812
YR1960,BRA,42.28
YR1960,BRB,30.56
YR1960,BRN,45.211
YR1960,BTN,49.525
YR1960,BWA,47.281
YR1960,CAF,43.148
YR1960,CAN,26.7
YR1960,CHE,17.7
YR1960,CHI,16.068
YR1960,CHL,35.556
YR1960,CHN,20.86
YR1960,CIV,54.472
YR1960,CMR,42.549
YR1960,COD,46.651
YR1960,COG,42.702
YR1960,COL,46.11
YR1960,COM,47.707
YR1960,CPV,47.987
YR1960,CRI,45.901
YR1960,CUB,32.046
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,25.558
YR1960,CZE,13.4
YR1960,DEU,17.3
YR1960,DJI,43.595
YR1960,DMA,
YR1960,DNK,16.6
YR1960,DOM,51.887
YR1960,DZA,49.656
YR1960,ECU,44.277
YR1960,EGY,46.919
YR1960,ERI,48.763
YR1960,ESP,21.7
YR1960,EST,16.7
YR1960,ETH,47.821
YR1960,FIN,18.5
YR1960,FJI,45.395
YR1960,FRA,18.7
YR1960,FRO,
YR1960,FSM,43.605
YR1960,GAB,32.464
YR1960,GBR,17.5
YR1960,GEO,25.078
YR1960,GHA,47.321
YR1960,GIB,
YR1960,GIN,46.034
YR1960,GMB,48.847
YR1960,GNB,42.388
YR1960,GNQ,40.874
YR1960,GRC,18.9
YR1960,GRD,44.803
YR1960,GRL,
YR1960,GTM,48.399
YR1960,GUM,37.601
YR1960,GUY,43.02
YR1960,HKG,35.245
YR1960,HND,49.949
YR1960,HRV,18.4
YR1960,HTI,44.233
YR1960,HUN,14.7
YR1960,IDN,44.549
YR1960,IMN,14.1
YR1960,IND,41.995
YR1960,IRL,21.5
