time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,134.7
YR1960,ARG,
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,63.1
YR1960,AUS,20.3
YR1960,AUT,37.2
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,29.3
YR1960,BEN,185.0
YR1960,BFA,155.6
YR1960,BGD,173.6
YR1960,BGR,45.0
YR1960,BHR,133.4
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,173.8
YR1960,BRA,127.2
YR1960,BRB,70.2
YR1960,BRN,83.9
YR1960,BTN,
YR1960,BWA,114.3
YR1960,CAF,165.2
YR1960,CAN,27.8
YR1960,CHE,21.7
YR1960,CHI,
YR1960,CHL,131.0
YR1960,CHN,
YR1960,CIV,212.2
YR1960,CMR,163.6
YR1960,COD,
YR1960,COG,109.7
YR1960,COL,94.3
YR1960,COM,
YR1960,CPV,122.5
YR1960,CRI,67.3
YR1960,CUB,47.1
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,83.7
YR1960,DNK,21.3
YR1960,DOM,102.1
YR1960,DZA,145.5
YR1960,ECU,119.2
YR1960,EGY,211.8
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,21.9
YR1960,FJI,57.4
YR1960,FRA,23.7
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,
YR1960,GBR,22.9
YR1960,GEO,
YR1960,GHA,123.9
YR1960,GIB,
YR1960,GIN,206.6
YR1960,GMB,152.5
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,39.5
YR1960,GRD,67.1
YR1960,GRL,
YR1960,GTM,147.6
YR1960,GUM,
YR1960,GUY,67.0
YR1960,HKG,
YR1960,HND,139.5
YR1960,HRV,
YR1960,HTI,190.6
YR1960,HUN,47.7
YR1960,IDN,148.9
YR1960,IMN,
YR1960,IND,161.0
YR1960,IRL,30.4
YR1960,IRN,
YR1960,IRQ,129.4
YR1960,ISL,17.3
YR1960,ISR,34.5
YR1960,ITA,44.1
YR1960,JAM,61.1
YR1960,JOR,107.0
YR1960,JPN,30.4
YR1960,KAZ,
YR1960,KEN,118.1
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,79.7
YR1960,KWT,98.1
YR1960,LAO,
YR1960,LBN,56.5
YR1960,LBR,207.8
YR1960,LBY,163.0
YR1960,LCA,110.6
YR1960,LIE,
YR1960,LKA,68.1
YR1960,LSO,139.8
YR1960,LTU,
YR1960,LUX,32.0
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,144.5
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,
YR1960,MDV,
YR1960,MEX,107.1
YR1960,MHL,85.4
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,36.1
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,129.8
YR1960,MUS,70.2
YR1960,MWI,
YR1960,MYS,67.2
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,133.0
YR1960,NLD,16.5
YR1960,NOR,18.4
YR1960,NPL,216.4
YR1960,NRU,
YR1960,NZL,22.5
YR1960,OMN,
YR1960,PAK,185.3
YR1960,PAN,65.7
YR1960,PER,136.0
YR1960,PHL,66.4
YR1960,PLW,
YR1960,PNG,132.8
YR1960,POL,57.8
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,84.7
YR1960,PRY,60.7
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,73.3
YR1960,RUS,
YR1960,RWA,130.6
YR1960,SAU,
YR1960,SDN,106.1
YR1960,SEN,128.3
YR1960,SGP,35.4
YR1960,SLB,128.0
YR1960,SLE,221.2
YR1960,SLV,124.8
YR1960,SMR,
YR1960,SOM,
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,16.3
YR1960,SWZ,140.3
YR1960,SXM,
YR1960,SYC,74.8
YR1960,SYR,115.9
YR1960,TCA,
YR1960,TCD,
YR1960,TGO,159.1
YR1960,THA,101.3
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,55.9
YR1960,TUN,
YR1960,TUR,171.5
YR1960,TUV,
YR1960,TZA,142.6
YR1960,UGA,131.4
YR1960,UKR,
YR1960,URY,56.6
YR1960,USA,25.9
YR1960,UZB,
YR1960,VCT,115.1
YR1960,VEN,58.7
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,105.5
YR1960,WSM,77.0
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,
YR1960,ZMB,121.7
YR1960,ZWE,92.8
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,128.4
YR1961,ARG,
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,59.1
YR1961,AUS,19.9
YR1961,AUT,35.0
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,28.1
YR1961,BEN,182.0
YR1961,BFA,154.1
YR1961,BGD,169.2
YR1961,BGR,40.0
YR1961,BHR,122.8
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
