time,economy,value
YR1960,ABW,64.084
YR1960,AFG,31.718
YR1960,AGO,36.305
YR1960,ALB,61.309
YR1960,AND,
YR1960,ARE,49.249
YR1960,ARG,62.417
YR1960,ARM,62.822
YR1960,ASM,
YR1960,ATG,60.782
YR1960,AUS,67.7857142857143
YR1960,AUT,65.41
YR1960,AZE,57.555
YR1960,BDI,39.698
YR1960,BEL,66.78
YR1960,BEN,36.823
YR1960,BFA,33.454
YR1960,BGD,46.077
YR1960,BGR,67.55
YR1960,BHR,48.944
YR1960,BHS,62.85
YR1960,BIH,58.68
YR1960,BLR,65.032
YR1960,BLZ,58.656
YR1960,BMU,
YR1960,BOL,40.521
YR1960,BRA,52.26
YR1960,BRB,61.593
YR1960,BRN,53.772
YR1960,BTN,34.019
YR1960,BWA,46.312
YR1960,CAF,34.811
YR1960,CAN,68.26
YR1960,CHE,68.65
YR1960,CHI,67.811
YR1960,CHL,54.604
YR1960,CHN,42.433
YR1960,CIV,35.648
YR1960,CMR,40.579
YR1960,COD,39.64
YR1960,COG,43.247
YR1960,COL,55.205
YR1960,COM,39.96
YR1960,CPV,47.24
YR1960,CRI,58.901
YR1960,CUB,62.271
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,67.625
YR1960,CZE,67.5
YR1960,DEU,66.751
YR1960,DJI,42.732
YR1960,DMA,
YR1960,DNK,70.44
YR1960,DOM,50.283
YR1960,DZA,45.44
YR1960,ECU,51.692
YR1960,EGY,46.822
YR1960,ERI,36.973
YR1960,ESP,66.68
YR1960,EST,63.979
YR1960,ETH,36.974
YR1960,FIN,65.41
YR1960,FJI,59.641
YR1960,FRA,66.6
YR1960,FRO,
YR1960,FSM,52.742
YR1960,GAB,38.235
YR1960,GBR,68.2
YR1960,GEO,59.686
YR1960,GHA,45.53
YR1960,GIB,
YR1960,GIN,33.762
YR1960,GMB,30.851
YR1960,GNB,35.694
YR1960,GNQ,35.16
YR1960,GRC,65.9
YR1960,GRD,60.206
YR1960,GRL,
YR1960,GTM,46.08
YR1960,GUM,59.12
YR1960,GUY,57.748
YR1960,HKG,63.409
YR1960,HND,44.621
YR1960,HRV,62.095
YR1960,HTI,40.315
YR1960,HUN,65.93
YR1960,IDN,44.475
YR1960,IMN,
YR1960,IND,42.266
YR1960,IRL,67.977
YR1960,IRN,45.706
YR1960,IRQ,48.478
YR1960,ISL,71.15
YR1960,ISR,
YR1960,ITA,66.68
YR1960,JAM,63.181
YR1960,JOR,52.456
YR1960,JPN,65.31
YR1960,KAZ,53.231
YR1960,KEN,44.995
YR1960,KGZ,52.011
YR1960,KHM,39.613
YR1960,KIR,45.505
YR1960,KNA,
YR1960,KOR,51.517
YR1960,KWT,58.26
YR1960,LAO,41.543
YR1960,LBN,61.565
YR1960,LBR,31.735
YR1960,LBY,41.449
YR1960,LCA,54.811
YR1960,LIE,
YR1960,LKA,57.343
YR1960,LSO,43.066
YR1960,LTU,66.94
YR1960,LUX,65.362
YR1960,LVA,66.26
YR1960,MAC,62.996
YR1960,MAF,
YR1960,MAR,47.152
YR1960,MCO,
YR1960,MDA,58.024
YR1960,MDG,39.042
YR1960,MDV,37.135
YR1960,MEX,55.091
YR1960,MHL,
YR1960,MKD,60.195
YR1960,MLI,27.436
YR1960,MLT,67.623
YR1960,MMR,39.556
YR1960,MNE,62.51
YR1960,MNG,46.161
YR1960,MNP,
YR1960,MOZ,38.243
YR1960,MRT,43.492
YR1960,MUS,56.954
YR1960,MWI,36.63
YR1960,MYS,58.838
YR1960,NAM,44.211
YR1960,NCL,56.2
YR1960,NER,34.564
YR1960,NGA,35.581
YR1960,NIC,45.682
YR1960,NLD,71.5
YR1960,NOR,71.34
YR1960,NPL,35.552
YR1960,NRU,
YR1960,NZL,68.7
YR1960,OMN,41.87
YR1960,PAK,45.185
YR1960,PAN,59.874
YR1960,PER,46.541
YR1960,PHL,58.974
YR1960,PLW,
YR1960,PNG,38.449
YR1960,POL,64.9
YR1960,PRI,66.084
YR1960,PRK,48.424
YR1960,PRT,60.529
YR1960,PRY,61.862
YR1960,PSE,
YR1960,PYF,54.899
YR1960,QAT,59.214
YR1960,ROU,63.86
YR1960,RUS,62.067
YR1960,RWA,41.145
YR1960,SAU,43.677
YR1960,SDN,46.793
YR1960,SEN,37.466
YR1960,SGP,62.293
YR1960,SLB,47.231
YR1960,SLE,30.491
YR1960,SLV,47.716
YR1960,SMR,
YR1960,SOM,35.481
YR1960,SRB,
YR1960,SSD,30.371
YR1960,STP,48.945
