time,economy,value
YR1960,ABW,4.82
YR1960,AFG,7.45
YR1960,AGO,6.708
YR1960,ALB,6.489
YR1960,AND,
YR1960,ARE,6.929
YR1960,ARG,3.109
YR1960,ARM,4.786
YR1960,ASM,
YR1960,ATG,4.425
YR1960,AUS,3.453
YR1960,AUT,2.69
YR1960,AZE,5.878
YR1960,BDI,6.944
YR1960,BEL,2.54
YR1960,BEN,6.282
YR1960,BFA,6.291
YR1960,BGD,6.725
YR1960,BGR,2.31
YR1960,BHR,7.087
YR1960,BHS,4.495
YR1960,BIH,3.801
YR1960,BLR,2.67
YR1960,BLZ,6.5
YR1960,BMU,
YR1960,BOL,6.358
YR1960,BRA,6.061
YR1960,BRB,4.333
YR1960,BRN,6.836
YR1960,BTN,6.635
YR1960,BWA,6.615
YR1960,CAF,5.84
YR1960,CAN,3.811
YR1960,CHE,2.44
YR1960,CHI,2.421
YR1960,CHL,4.697
YR1960,CHN,5.756
YR1960,CIV,7.691
YR1960,CMR,5.647
YR1960,COD,6.001
YR1960,COG,5.88
YR1960,COL,6.735
YR1960,COM,6.792
YR1960,CPV,6.885
YR1960,CRI,6.712
YR1960,CUB,4.192
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,3.5
YR1960,CZE,2.09
YR1960,DEU,2.37
YR1960,DJI,6.461
YR1960,DMA,
YR1960,DNK,2.57
YR1960,DOM,7.555
YR1960,DZA,7.524
YR1960,ECU,6.721
YR1960,EGY,6.716
YR1960,ERI,6.899
YR1960,ESP,2.86
YR1960,EST,1.98
YR1960,ETH,6.88
YR1960,FIN,2.72
YR1960,FJI,6.461
YR1960,FRA,2.85
YR1960,FRO,
YR1960,FSM,6.934
YR1960,GAB,4.384
YR1960,GBR,2.69
YR1960,GEO,2.942
YR1960,GHA,6.749
YR1960,GIB,
YR1960,GIN,6.112
YR1960,GMB,6.246
YR1960,GNB,5.921
YR1960,GNQ,5.653
YR1960,GRC,2.23
YR1960,GRD,6.743
YR1960,GRL,
YR1960,GTM,6.896
YR1960,GUM,6.052
YR1960,GUY,6.372
YR1960,HKG,5.014
YR1960,HND,7.458
YR1960,HRV,2.288
YR1960,HTI,6.324
YR1960,HUN,2.02
YR1960,IDN,5.666
YR1960,IMN,
YR1960,IND,5.906
YR1960,IRL,3.78
YR1960,IRN,6.927
YR1960,IRQ,6.252
YR1960,ISL,4.29
YR1960,ISR,3.866
YR1960,ITA,2.4
YR1960,JAM,5.419
YR1960,JOR,7.687
YR1960,JPN,2.001
YR1960,KAZ,4.562
YR1960,KEN,7.946
YR1960,KGZ,5.469
YR1960,KHM,6.967
YR1960,KIR,6.788
YR1960,KNA,
YR1960,KOR,6.095
YR1960,KWT,7.244
YR1960,LAO,5.961
YR1960,LBN,5.739
YR1960,LBR,6.406
YR1960,LBY,7.202
YR1960,LCA,6.967
YR1960,LIE,
YR1960,LKA,5.541
YR1960,LSO,5.839
YR1960,LTU,2.56
YR1960,LUX,2.29
YR1960,LVA,1.94
YR1960,MAC,4.772
YR1960,MAF,
YR1960,MAR,7.04
YR1960,MCO,
YR1960,MDA,3.328
YR1960,MDG,7.3
YR1960,MDV,7.021
YR1960,MEX,6.769
YR1960,MHL,
YR1960,MKD,3.842
YR1960,MLI,6.967
YR1960,MLT,3.62
YR1960,MMR,6.051
YR1960,MNE,3.603
YR1960,MNG,6.953
YR1960,MNP,
YR1960,MOZ,6.436
YR1960,MRT,6.775
YR1960,MUS,6.167
YR1960,MWI,6.94
YR1960,MYS,6.45
YR1960,NAM,6.149
YR1960,NCL,6.278
YR1960,NER,7.454
YR1960,NGA,6.354
YR1960,NIC,7.365
YR1960,NLD,3.12
YR1960,NOR,2.85
YR1960,NPL,5.959
YR1960,NRU,
YR1960,NZL,4.03
YR1960,OMN,7.247
YR1960,PAK,6.6
YR1960,PAN,5.87
YR1960,PER,6.941
YR1960,PHL,7.148
YR1960,PLW,
YR1960,PNG,6.275
YR1960,POL,2.98
YR1960,PRI,4.657
YR1960,PRK,4.579
YR1960,PRT,3.16
YR1960,PRY,6.5
YR1960,PSE,
YR1960,PYF,5.658
YR1960,QAT,6.971
YR1960,ROU,2.34
YR1960,RUS,2.52
YR1960,RWA,8.187
YR1960,SAU,7.216
YR1960,SDN,6.691
YR1960,SEN,6.996
YR1960,SGP,5.76
YR1960,SLB,6.388
YR1960,SLE,6.127
YR1960,SLV,6.674
YR1960,SMR,
YR1960,SOM,7.25
YR1960,SRB,
YR1960,SSD,6.721
YR1960,STP,6.242
YR1960,SUR,6.608
YR1960,SVK,3.04
YR1960,SVN,2.341
YR1960,SWE,2.17
YR1960,SWZ,6.752
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,7.467
YR1960,TCA,
YR1960,TCD,6.25
YR1960,TGO,6.521
YR1960,THA,6.147
YR1960,TJK,6.547
YR1960,TKM,6.59
YR1960,TLS,6.319
YR1960,TON,7.363
YR1960,TTO,5.264
YR1960,TUN,6.942
YR1960,TUR,6.366
YR1960,TUV,
YR1960,TZA,6.806
YR1960,UGA,6.999
YR1960,UKR,2.24
YR1960,URY,2.88
YR1960,USA,3.654
YR1960,UZB,6.255
YR1960,VCT,7.224
YR1960,VEN,6.358
YR1960,VGB,
YR1960,VIR,5.615
YR1960,VNM,6.348
YR1960,VUT,7.197
YR1960,WSM,7.651
YR1960,XKX,
YR1960,YEM,7.938
YR1960,ZAF,6.041
YR1960,ZMB,7.115
YR1960,ZWE,7.158
YR1961,ABW,4.655
YR1961,AFG,7.45
YR1961,AGO,6.79
YR1961,ALB,6.401
YR1961,AND,
YR1961,ARE,6.91
YR1961,ARG,3.1
YR1961,ARM,4.67
YR1961,ASM,
YR1961,ATG,4.386
YR1961,AUS,3.54
YR1961,AUT,2.78
YR1961,AZE,5.937
YR1961,BDI,6.985
YR1961,BEL,2.63
YR1961,BEN,6.339
YR1961,BFA,6.316
YR1961,BGD,6.761
YR1961,BGR,2.29
YR1961,BHR,7.129
YR1961,BHS,4.495
YR1961,BIH,3.74
YR1961,BLR,2.59
YR1961,BLZ,6.48
YR1961,BMU,
YR1961,BOL,6.335
