time,economy,value
YR1960,ABW,69.9153976
YR1960,AFG,21.4780472
YR1960,AGO,30.30936
YR1960,ALB,68.0644458
YR1960,AND,
YR1960,ARE,52.736516
YR1960,ARG,71.8853156
YR1960,ARM,73.3827262
YR1960,ASM,
YR1960,ATG,63.3115062
YR1960,AUS,80.4014436
YR1960,AUT,79.0217154
YR1960,AZE,71.4108562
YR1960,BDI,35.0869686
YR1960,BEL,80.2092106
YR1960,BEN,28.4387576
YR1960,BFA,26.6841104
YR1960,BGD,38.2941512
YR1960,BGR,77.3956298
YR1960,BHR,54.9112074
YR1960,BHS,65.6800356
YR1960,BIH,64.4670784
YR1960,BLR,76.1750112
YR1960,BLZ,61.059581
YR1960,BMU,
YR1960,BOL,37.689005
YR1960,BRA,52.4505066
YR1960,BRB,69.9778726
YR1960,BRN,52.7882008
YR1960,BTN,22.2027746
YR1960,BWA,47.2205084
YR1960,CAF,29.1221118
YR1960,CAN,80.5161652
YR1960,CHE,81.8855948
YR1960,CHI,80.8509758
YR1960,CHL,59.091698
YR1960,CHN,36.1245156
YR1960,CIV,29.4578564
YR1960,CMR,35.6551314
YR1960,COD,34.4903094
YR1960,COG,41.1679056
YR1960,COL,58.3324776
YR1960,COM,33.7883796
YR1960,CPV,43.732506
YR1960,CRI,63.4334474
YR1960,CUB,69.6443352
YR1960,CUW,68.3594428
YR1960,CYM,
YR1960,CYP,80.1388706
YR1960,CZE,80.5069228
YR1960,DEU,79.3632298
YR1960,DJI,38.6959588
YR1960,DMA,
YR1960,DNK,82.024836
YR1960,DOM,51.0294614
YR1960,DZA,42.9376186
YR1960,ECU,52.1477346
YR1960,EGY,50.9977792
YR1960,ERI,31.3602986
YR1960,ESP,78.3716738
YR1960,EST,79.0857784
YR1960,ETH,31.359828
YR1960,FIN,79.3288476
YR1960,FJI,63.1840368
YR1960,FRA,80.421869
YR1960,FRO,
YR1960,FSM,54.217023
YR1960,GAB,33.406734
YR1960,GBR,80.6557966
YR1960,GEO,72.6328814
YR1960,GHA,40.025135
YR1960,GIB,
YR1960,GIN,26.4151216
YR1960,GMB,22.72253
YR1960,GNB,31.04375
YR1960,GNQ,29.2347972
YR1960,GRC,76.89981
YR1960,GRD,66.3602428
YR1960,GRL,
YR1960,GTM,40.867815
YR1960,GUM,64.1195808
