time,economy,value
YR1960,ABW,14933
YR1960,AFG,2342555
YR1960,AGO,1484868
YR1960,ALB,418387
YR1960,AND,
YR1960,ARE,23821
YR1960,ARG,6428297
YR1960,ARM,546442
YR1960,ASM,
YR1960,ATG,15594
YR1960,AUS,3070922
YR1960,AUT,2473104
YR1960,AZE,1159971
YR1960,BDI,782207
YR1960,BEL,2973197
YR1960,BEN,731499
YR1960,BFA,1339722
YR1960,BGD,12539406
YR1960,BGR,2601919
YR1960,BHR,39607
YR1960,BHS,31468
YR1960,BIH,981310
YR1960,BLR,2895980
YR1960,BLZ,23900
YR1960,BMU,
YR1960,BOL,1007268
YR1960,BRA,19482717
YR1960,BRB,71073
YR1960,BRN,20593
YR1960,BTN,60456
YR1960,BWA,135962
YR1960,CAF,435050
YR1960,CAN,5190906
YR1960,CHE,1801798
YR1960,CHI,36275
YR1960,CHL,2313922
YR1960,CHN,180293041
YR1960,CIV,916473
YR1960,CMR,1486536
YR1960,COD,4371328
YR1960,COG,285230
YR1960,COL,4113595
YR1960,COM,53569
YR1960,CPV,58341
YR1960,CRI,337715
YR1960,CUB,2112610
YR1960,CUW,33196
YR1960,CYM,
YR1960,CYP,171193
YR1960,CZE,3187003
YR1960,DEU,26327258
YR1960,DJI,22958
YR1960,DMA,
YR1960,DNK,1484063
YR1960,DOM,800381
YR1960,DZA,2908198
YR1960,ECU,1180138
YR1960,EGY,7159172
YR1960,ERI,274260
YR1960,ESP,10102085
YR1960,EST,451588
YR1960,ETH,6001624
YR1960,FIN,1432559
YR1960,FJI,94133
YR1960,FRA,14557572
YR1960,FRO,
YR1960,FSM,11015
YR1960,GAB,157575
YR1960,GBR,17388490
YR1960,GEO,1249392
YR1960,GHA,1754325
YR1960,GIB,
YR1960,GIN,995256
YR1960,GMB,101272
YR1960,GNB,176320
YR1960,GNQ,74091
YR1960,GRC,2805613
YR1960,GRD,23375
YR1960,GRL,
YR1960,GTM,1050400
YR1960,GUM,13982
YR1960,GUY,142373
YR1960,HKG,836408
YR1960,HND,515486
YR1960,HRV,1419448
YR1960,HTI,1125010
YR1960,HUN,3409305
YR1960,IDN,25000959
YR1960,IMN,
YR1960,IND,122744793
YR1960,IRL,811420
YR1960,IRN,5673163
YR1960,IRQ,2022911
YR1960,ISL,49434
YR1960,ISR,615684
YR1960,ITA,16899514
YR1960,JAM,468092
YR1960,JOR,236772
YR1960,JPN,30570113
YR1960,KAZ,3076546
YR1960,KEN,1986533
YR1960,KGZ,661111
YR1960,KHM,1477637
YR1960,KIR,10727
YR1960,KNA,
YR1960,KOR,6713810
YR1960,KWT,49838
YR1960,LAO,599436
YR1960,LBN,472105
YR1960,LBR,302539
YR1960,LBY,381800
YR1960,LCA,24698
YR1960,LIE,
YR1960,LKA,2446384
YR1960,LSO,252448
YR1960,LTU,987375
YR1960,LUX,107389
YR1960,LVA,805842
YR1960,MAC,46016
YR1960,MAF,
YR1960,MAR,3265345
YR1960,MCO,
YR1960,MDA,688522
YR1960,MDG,1321764
YR1960,MDV,23080
YR1960,MEX,9719360
YR1960,MHL,
YR1960,MKD,421543
YR1960,MLI,1481039
YR1960,MLT,92019
