time,economy,value
YR1960,ABW,54.0365478559797
YR1960,AFG,53.884120003846
YR1960,AGO,55.1743664973759
YR1960,ALB,53.5180389192371
YR1960,AND,
YR1960,ARE,51.6175865132506
YR1960,ARG,63.3282148346878
YR1960,ARM,56.2693720021666
YR1960,ASM,
YR1960,ATG,54.0763602316468
YR1960,AUS,60.3535584589319
YR1960,AUT,65.6911965175888
YR1960,AZE,57.0801306970839
YR1960,BDI,54.0518110511539
YR1960,BEL,63.9402045775274
YR1960,BEN,57.3740005615836
YR1960,BFA,56.4972213624054
YR1960,BGD,54.3916907768317
YR1960,BGR,66.0496760007557
YR1960,BHR,52.4825420382419
YR1960,BHS,55.0659713715746
YR1960,BIH,59.7170149464451
YR1960,BLR,64.4421298380432
YR1960,BLZ,51.2820512820513
YR1960,BMU,
YR1960,BOL,54.5992360308948
YR1960,BRA,53.7552445096248
YR1960,BRB,55.7028990618608
YR1960,BRN,52.0801193697681
YR1960,BTN,55.2245759228303
YR1960,BWA,52.5329098615603
YR1960,CAF,57.0756486853119
YR1960,CAN,58.628108716067
YR1960,CHE,65.5878673826833
YR1960,CHI,64.2501638357038
YR1960,CHL,56.9261172988164
YR1960,CHN,55.7778274671012
YR1960,CIV,53.7701211198126
YR1960,CMR,56.52075552333
YR1960,COD,54.8833129707373
YR1960,COG,55.099127431341
YR1960,COL,50.7506756525016
YR1960,COM,55.7743164733565
YR1960,CPV,54.494759849801
YR1960,CRI,51.594988923688
YR1960,CUB,60.4846940893569
YR1960,CUW,53.3158551415892
YR1960,CYM,
YR1960,CYP,58.7754835785845
YR1960,CZE,64.609700273453
YR1960,DEU,67.6173082981412
YR1960,DJI,54.5826299897768
YR1960,DMA,
YR1960,DNK,64.3172947491143
YR1960,DOM,49.2163869124593
YR1960,DZA,52.8780385983401
YR1960,ECU,51.9378244909258
YR1960,EGY,54.7251915813442
YR1960,ERI,54.10929580577
YR1960,ESP,64.4980523902669
YR1960,EST,66.7351836347933
YR1960,ETH,53.8721532456281
YR1960,FIN,62.3910292356396
YR1960,FJI,49.3325926430589
YR1960,FRA,60.6388319906076
YR1960,FRO,
YR1960,FSM,51.0331727205337
YR1960,GAB,61.5286997266693
YR1960,GBR,64.1760338939175
YR1960,GEO,64.1644558245005
YR1960,GHA,53.7414126165381
YR1960,GIB,
YR1960,GIN,56.3734303046781
YR1960,GMB,55.2249142495678
YR1960,GNB,56.4030875828116
YR1960,GNQ,56.9724791806039
YR1960,GRC,66.0494574961825
YR1960,GRD,48.4807632479519
YR1960,GRL,
YR1960,GTM,51.5303319655768
YR1960,GUM,50.4947634525099
YR1960,GUY,49.8925914374525
YR1960,HKG,56.1133145243506
YR1960,HND,50.7381094398085
YR1960,HRV,65.9602439929829
YR1960,HTI,57.1442068226021
YR1960,HUN,65.9450166778213
YR1960,IDN,56.6284244669443
YR1960,IMN,
YR1960,IND,56.2938636085876
YR1960,IRL,57.6834859080863
YR1960,IRN,53.1972873444917
YR1960,IRQ,55.8332898625966
YR1960,ISL,56.9111400186492
YR1960,ISR,59.1221674876847
YR1960,ITA,65.5149957810067
YR1960,JAM,55.4175388083309
YR1960,JOR,53.167405065423
YR1960,JPN,64.5863484922448
YR1960,KAZ,59.7154972257408
YR1960,KEN,49.113475089634
YR1960,KGZ,57.9822762406105
YR1960,KHM,51.5521785273946
YR1960,KIR,51.421312497004
YR1960,KNA,
YR1960,KOR,54.0522755941888
YR1960,KWT,51.8158094465758
YR1960,LAO,55.5742934728695
YR1960,LBN,52.6125457471326
YR1960,LBR,54.7365926204683
YR1960,LBY,54.1391338872976
YR1960,LCA,53.0763114348957
YR1960,LIE,
YR1960,LKA,52.1476292327061
YR1960,LSO,54.1757156959526
YR1960,LTU,65.9284969845382
YR1960,LUX,67.5813684726217
YR1960,LVA,68.0077227346617
YR1960,MAC,53.9233148964095
YR1960,MAF,
YR1960,MAR,52.7895052941552
YR1960,MCO,
YR1960,MDA,63.3084656461908
YR1960,MDG,52.732106580961
YR1960,MDV,56.3848239806513
YR1960,MEX,51.3567014314193
YR1960,MHL,
YR1960,MKD,57.3305588989303
YR1960,MLI,56.9002730833834
YR1960,MLT,54.6702785801956
YR1960,MMR,55.7111129582848
YR1960,MNE,60.0349444846488
YR1960,MNG,57.8404544677732
YR1960,MNP,
YR1960,MOZ,55.142591218164
YR1960,MRT,54.108490313448
YR1960,MUS,51.4687795576588
YR1960,MWI,53.8549197860963
YR1960,MYS,50.5797610944851
YR1960,NAM,54.520549645225
YR1960,NCL,57.0561621196933
YR1960,NER,52.5000948506159
YR1960,NGA,55.6965257676695
YR1960,NIC,50.8403053854529
YR1960,NLD,61.3904829536311
YR1960,NOR,62.7271296419373
YR1960,NPL,57.9142014607979
YR1960,NRU,
YR1960,NZL,57.9739195559276
YR1960,OMN,54.6281499251236
YR1960,PAK,54.4973804201577
YR1960,PAN,52.274501250142
YR1960,PER,52.9481747089038
YR1960,PHL,50.0823512778376
YR1960,PLW,
YR1960,PNG,54.1848375955064
YR1960,POL,61.3114823572899
YR1960,PRI,53.1413986394183
YR1960,PRK,60.5570728654276
YR1960,PRT,63.0963580716951
YR1960,PRY,49.9848949162082
YR1960,PSE,49.8546716762344
YR1960,PYF,53.7530649371194
YR1960,QAT,50.4776683962951
YR1960,ROU,64.446535551984
YR1960,RUS,65.2521422153493
YR1960,RWA,49.3260463101747
YR1960,SAU,52.8129775814159
YR1960,SDN,51.9342590773243
YR1960,SEN,53.7032549474346
YR1960,SGP,53.12256166126
YR1960,SLB,53.9479706350805
YR1960,SLE,57.8522261097581
YR1960,SLV,52.2598904248086
YR1960,SMR,
YR1960,SOM,54.3696649105985
YR1960,SRB,63.5077856124601
YR1960,SSD,55.4480259126572
YR1960,STP,58.3505660509621
YR1960,SUR,49.3140217429058
YR1960,SVK,61.8186856796163
YR1960,SVN,65.0698977091941
YR1960,SWE,65.4867020673822
YR1960,SWZ,51.763417305586
YR1960,SXM,
YR1960,SYC,55.8240105292846
YR1960,SYR,49.4338106893393
YR1960,TCA,
YR1960,TCD,55.2377285074182
YR1960,TGO,54.1972621534816
YR1960,THA,53.8736914029672
YR1960,TJK,56.0342326525548
YR1960,TKM,56.0088861838101
YR1960,TLS,55.9814323607427
YR1960,TON,51.748367091113
YR1960,TTO,53.8751606710428
YR1960,TUN,53.0662707592577
YR1960,TUR,54.0201354019787
YR1960,TUV,
YR1960,TZA,52.4876844784113
YR1960,UGA,51.6416518455554
YR1960,UKR,67.3665660458957
YR1960,URY,63.5233206373785
YR1960,USA,60.2153638349607
YR1960,UZB,56.1199045734654
YR1960,VCT,48.5226083924213
YR1960,VEN,51.5689539255887
YR1960,VGB,
YR1960,VIR,53.0552396911844
YR1960,VNM,55.4875654567121
YR1960,VUT,50.7090702579912
YR1960,WSM,48.6877032938273
YR1960,XKX,
YR1960,YEM,54.259619895041
YR1960,ZAF,55.0222262239352
YR1960,ZMB,52.0695318099865
YR1960,ZWE,51.1205019510755
YR1961,ABW,54.4775591108594
YR1961,AFG,53.6617996754338
YR1961,AGO,54.2777368825872
YR1961,ALB,53.1051511260612
YR1961,AND,
YR1961,ARE,51.7022326384606
YR1961,ARG,63.3173867018281
YR1961,ARM,55.4909652048385
YR1961,ASM,
YR1961,ATG,53.9681454644883
YR1961,AUS,60.2536012964687
YR1961,AUT,65.2165278162998
YR1961,AZE,55.9323552469481
YR1961,BDI,53.7401824492479
YR1961,BEL,63.5032557048161
YR1961,BEN,57.0322318855843
YR1961,BFA,56.2046040008233
YR1961,BGD,54.0133038124083
YR1961,BGR,66.1634886828278
YR1961,BHR,51.3366847125548
YR1961,BHS,54.9567631759413
YR1961,BIH,59.6357771036672
YR1961,BLR,63.8818156727421
YR1961,BLZ,50.6346025384101
YR1961,BMU,
YR1961,BOL,54.5328196664286
YR1961,BRA,53.5421356872184
YR1961,BRB,55.2713954798723
YR1961,BRN,51.4464406452236
YR1961,BTN,55.0529166518191
YR1961,BWA,52.0520945464469
YR1961,CAF,56.69397655059
YR1961,CAN,58.5064209094025
YR1961,CHE,65.2841601673677
YR1961,CHI,64.0741911687217
YR1961,CHL,56.8046402890167
YR1961,CHN,55.7067654545076
YR1961,CIV,53.2772635623224
YR1961,CMR,56.2594612961962
YR1961,COD,54.7496694036023
YR1961,COG,54.8081944127633
YR1961,COL,50.5184970675293
YR1961,COM,55.2087497565526
YR1961,CPV,53.728082254659
YR1961,CRI,51.287247318664
YR1961,CUB,60.4968167179958
YR1961,CUW,53.3592837680031
YR1961,CYM,
YR1961,CYP,58.5540211764786
YR1961,CZE,64.7473253330026
YR1961,DEU,67.0644253100859
YR1961,DJI,54.4418980857374
YR1961,DMA,
YR1961,DNK,64.3391539429534
YR1961,DOM,48.8858013241253
YR1961,DZA,52.3208393043076
YR1961,ECU,51.7054233704422
YR1961,EGY,54.2983512293816
YR1961,ERI,53.9743389893788
YR1961,ESP,64.2389862672938
YR1961,EST,66.4883300424243
YR1961,ETH,53.7758844903658
YR1961,FIN,62.5657254285521
YR1961,FJI,49.5114632825822
YR1961,FRA,60.4273348636099
YR1961,FRO,
YR1961,FSM,50.8035553959418
YR1961,GAB,61.2783902039302
YR1961,GBR,63.8986767475829
YR1961,GEO,63.7872173576888
YR1961,GHA,53.5200360133934
YR1961,GIB,
YR1961,GIN,56.1090389899087
YR1961,GMB,55.0748796672491
YR1961,GNB,56.2489124554304
YR1961,GNQ,56.6850115762705
YR1961,GRC,65.8054435074676
YR1961,GRD,47.9711064273875
YR1961,GRL,
YR1961,GTM,51.2865840213179
YR1961,GUM,51.0530366638679
YR1961,GUY,49.45943645186
YR1961,HKG,55.6387943955386
YR1961,HND,50.3648971696913
YR1961,HRV,65.9349509334255
YR1961,HTI,56.8400563314586
YR1961,HUN,66.0452728155338
YR1961,IDN,56.1993486821938
YR1961,IMN,
YR1961,IND,55.9818374181973
YR1961,IRL,57.6624494040177
YR1961,IRN,52.7259842666526
YR1961,IRQ,55.5570858194132
YR1961,ISL,56.6726841927113
YR1961,ISR,59.1198912040189
