time,economy,value
YR1960,ABW,14162
YR1960,AFG,2611252
YR1960,AGO,1507760
YR1960,ALB,457340
YR1960,AND,
YR1960,ARE,24237
YR1960,ARG,6560840
YR1960,ARM,484271
YR1960,ASM,
YR1960,ATG,12980
YR1960,AUS,3219114
YR1960,AUT,2151171
YR1960,AZE,985782
YR1960,BDI,707510
YR1960,BEL,2941389
YR1960,BEN,641070
YR1960,BFA,1381492
YR1960,BGD,13989593
YR1960,BGR,2616615
YR1960,BHR,50891
YR1960,BHS,27484
YR1960,BIH,907859
YR1960,BLR,2248261
YR1960,BLZ,22664
YR1960,BMU,
YR1960,BOL,976232
YR1960,BRA,19265365
YR1960,BRB,56161
YR1960,BRN,22397
YR1960,BTN,63558
YR1960,BWA,125799
YR1960,CAF,420606
YR1960,CAN,5299114
YR1960,CHE,1697138
YR1960,CHI,35192
YR1960,CHL,2305545
YR1960,CHN,196530121
YR1960,CIV,994719
YR1960,CMR,1424217
YR1960,COD,3817176
YR1960,COG,272333
YR1960,COL,3977353
YR1960,COM,52481
YR1960,CPV,48215
YR1960,CRI,350070
YR1960,CUB,2192594
YR1960,CUW,34096
YR1960,CYM,
YR1960,CYP,157608
YR1960,CZE,3045479
YR1960,DEU,22514226
YR1960,DJI,22477
YR1960,DMA,
YR1960,DNK,1455561
YR1960,DOM,821366
YR1960,DZA,2861638
YR1960,ECU,1177979
YR1960,EGY,7247075
YR1960,ERI,267789
YR1960,ESP,9517989
YR1960,EST,352313
YR1960,ETH,5937927
YR1960,FIN,1325559
YR1960,FJI,100690
YR1960,FRA,14342116
YR1960,FRO,
YR1960,FSM,11730
YR1960,GAB,150217
YR1960,GBR,16711860
YR1960,GEO,1038339
YR1960,GHA,1797444
YR1960,GIB,
YR1960,GIN,966829
YR1960,GMB,100826
YR1960,GNB,171035
YR1960,GNQ,70849
YR1960,GRC,2660131
YR1960,GRD,17957
YR1960,GRL,
YR1960,GTM,1073400
YR1960,GUM,24951
YR1960,GUY,143762
YR1960,HKG,905551
YR1960,HND,513374
YR1960,HRV,1294827
YR1960,HTI,1059419
YR1960,HUN,3148452
YR1960,IDN,24582003
YR1960,IMN,
YR1960,IND,131803290
YR1960,IRL,824126
YR1960,IRN,5993170
YR1960,IRQ,2018105
YR1960,ISL,50750
YR1960,ISR,628792
YR1960,ITA,15933680
YR1960,JAM,414677
YR1960,JOR,250285
YR1960,JPN,29195606
YR1960,KAZ,2689393
YR1960,KEN,2053825
YR1960,KGZ,568928
YR1960,KHM,1482678
YR1960,KIR,10299
YR1960,KNA,
YR1960,KOR,6641287
YR1960,KWT,121225
YR1960,LAO,572265
YR1960,LBN,474370
YR1960,LBR,320696
YR1960,LBY,405665
YR1960,LCA,21208
YR1960,LIE,
YR1960,LKA,2831216
YR1960,LSO,172673
YR1960,LTU,816910
YR1960,LUX,106094
YR1960,LVA,623368
YR1960,MAC,43289
YR1960,MAF,
YR1960,MAR,3184052
YR1960,MCO,
YR1960,MDA,579200
YR1960,MDG,1434377
YR1960,MDV,29944
YR1960,MEX,9501507
YR1960,MHL,
YR1960,MKD,431633
YR1960,MLI,1514248
YR1960,MLT,83091
YR1960,MMR,6066768
YR1960,MNE,135500
YR1960,MNG,274963
YR1960,MNP,
YR1960,MOZ,1907443
YR1960,MRT,222596
YR1960,MUS,165587
YR1960,MWI,932705
YR1960,MYS,2141232
YR1960,NAM,170943
YR1960,NCL,25291
YR1960,NER,772902
YR1960,NGA,12490783
YR1960,NIC,438074
YR1960,NLD,3470214
YR1960,NOR,1129967
YR1960,NPL,2830065
YR1960,NRU,
YR1960,NZL,702907
YR1960,OMN,142335
YR1960,PAK,13998762
YR1960,PAN,304950
YR1960,PER,2684195
YR1960,PHL,6568873
YR1960,PLW,
YR1960,PNG,647954
YR1960,POL,8622628
YR1960,PRI,593771
YR1960,PRK,3025745
YR1960,PRT,2633766
YR1960,PRY,446569
YR1960,PSE,
YR1960,PYF,21807
YR1960,QAT,15987
YR1960,ROU,5765445
YR1960,RUS,32995074
YR1960,RWA,704062
YR1960,SAU,1101016
YR1960,SDN,1944626
YR1960,SEN,848154
YR1960,SGP,487151
YR1960,SLB,35014
YR1960,SLE,659009
YR1960,SLV,696047
YR1960,SMR,
YR1960,SOM,743459
YR1960,SRB,2066852
YR1960,SSD,799531
YR1960,STP,23943
YR1960,SUR,68987
YR1960,SVK,1238977
YR1960,SVN,485902
YR1960,SWE,2468814
YR1960,SWZ,82562
YR1960,SXM,
YR1960,SYC,11086
YR1960,SYR,1159982
YR1960,TCA,
YR1960,TCD,809252
YR1960,TGO,416238
YR1960,THA,7412043
YR1960,TJK,554176
YR1960,TKM,420820
YR1960,TLS,136441
YR1960,TON,15830
YR1960,TTO,227740
YR1960,TUN,1094063
YR1960,TUR,7640685
YR1960,TUV,
YR1960,TZA,2536018
YR1960,UGA,1729865
YR1960,UKR,12073637
YR1960,URY,818497
YR1960,USA,53860737
YR1960,UZB,2153388
YR1960,VCT,16641
YR1960,VEN,2145480
YR1960,VGB,
YR1960,VIR,8724
YR1960,VNM,8848343
YR1960,VUT,17063
YR1960,WSM,26566
YR1960,XKX,
YR1960,YEM,1443166
YR1960,ZAF,4748728
YR1960,ZMB,782548
YR1960,ZWE,961503
YR1961,ABW,14576
YR1961,AFG,2637079
YR1961,AGO,1517640
YR1961,ALB,469049
YR1961,AND,
YR1961,ARE,28674
YR1961,ARG,6653967
YR1961,ARM,493272
YR1961,ASM,
YR1961,ATG,13184
YR1961,AUS,3277324
YR1961,AUT,2153020
YR1961,AZE,1001989
YR1961,BDI,717263
YR1961,BEL,2932496
YR1961,BEN,645435
YR1961,BFA,1385645
YR1961,BGD,14272802
YR1961,BGR,2647680
YR1961,BHR,51905
YR1961,BHS,29164
YR1961,BIH,925196
YR1961,BLR,2250700
YR1961,BLZ,23017
YR1961,BMU,
YR1961,BOL,995765
YR1961,BRA,19763716
YR1961,BRB,55981
YR1961,BRN,23216
YR1961,BTN,64958
YR1961,BWA,126957
YR1961,CAF,424257
YR1961,CAN,5388284
YR1961,CHE,1728808
YR1961,CHI,35475
YR1961,CHL,2345367
YR1961,CHN,194173644
YR1961,CIV,1028385
YR1961,CMR,1447196
YR1961,COD,3914299
YR1961,COG,276950
YR1961,COL,4079841
YR1961,COM,52789
YR1961,CPV,48328
YR1961,CRI,360902
YR1961,CUB,2235032
YR1961,CUW,34217
YR1961,CYM,
YR1961,CYP,158725
YR1961,CZE,3056496
YR1961,DEU,22640209
YR1961,DJI,23726
YR1961,DMA,
YR1961,DNK,1468735
YR1961,DOM,843839
YR1961,DZA,2898793
YR1961,ECU,1206921
YR1961,EGY,7397739
YR1961,ERI,274277
YR1961,ESP,9581168
YR1961,EST,357304
YR1961,ETH,6070098
YR1961,FIN,1341931
YR1961,FJI,103977
YR1961,FRA,14509154
YR1961,FRO,
YR1961,FSM,12052
YR1961,GAB,150616
YR1961,GBR,16807628
YR1961,GEO,1045829
YR1961,GHA,1849428
YR1961,GIB,
YR1961,GIN,977137
YR1961,GMB,103230
YR1961,GNB,172258
YR1961,GNQ,71462
YR1961,GRC,2675284
YR1961,GRD,18185
YR1961,GRL,
YR1961,GTM,1099921
YR1961,GUM,25117
YR1961,GUY,146924
YR1961,HKG,929392
YR1961,HND,523606
YR1961,HRV,1305260
YR1961,HTI,1074730
YR1961,HUN,3173905
YR1961,IDN,24985224
YR1961,IMN,
YR1961,IND,133752306
YR1961,IRL,822707
YR1961,IRN,6101495
YR1961,IRQ,2066178
YR1961,ISL,51545
YR1961,ISR,648284
YR1961,ITA,16040114
YR1961,JAM,416013
YR1961,JOR,260328
YR1961,JPN,29812511
YR1961,KAZ,2766294
YR1961,KEN,2092004
YR1961,KGZ,578305
YR1961,KHM,1514090
YR1961,KIR,10453
YR1961,KNA,
YR1961,KOR,6794358
YR1961,KWT,133341
YR1961,LAO,583206
YR1961,LBN,486680
YR1961,LBR,324239
YR1961,LBY,418341
YR1961,LCA,21110
YR1961,LIE,
YR1961,LKA,2889838
