time,economy,value
YR1960,ABW,53.6699193890539
YR1960,AFG,55.0608410184181
YR1960,AGO,54.8609854603164
YR1960,ALB,54.4334358134332
YR1960,AND,
YR1960,ARE,52.0028565863793
YR1960,ARG,63.4179970401985
YR1960,ARM,54.9970893021315
YR1960,ASM,
YR1960,ATG,52.7793685688423
YR1960,AUS,61.2080988268394
YR1960,AUT,65.6154934274448
YR1960,AZE,55.0843469869695
YR1960,BDI,53.2436814046946
YR1960,BEL,64.615677460208
YR1960,BEN,56.446602309076
YR1960,BFA,56.3482235890674
YR1960,BGD,55.253197100549
YR1960,BGR,66.331291934787
YR1960,BHR,55.7154906511848
YR1960,BHS,53.820731462377
YR1960,BIH,58.5668766903475
YR1960,BLR,62.7499282758726
YR1960,BLZ,50.5746002780674
YR1960,BMU,
YR1960,BOL,54.2390595454415
YR1960,BRA,53.6831497749782
YR1960,BRB,55.084422893757
YR1960,BRN,52.61070720423
YR1960,BTN,55.5408261975565
YR1960,BWA,52.0675491551383
YR1960,CAF,56.9801713827557
YR1960,CAN,58.574016782832
YR1960,CHE,65.6728868251816
YR1960,CHI,65.314384938768
YR1960,CHL,56.7991722601405
YR1960,CHN,56.4892986405363
YR1960,CIV,54.5500524753015
YR1960,CMR,56.2255573683029
YR1960,COD,53.7012474414279
YR1960,COG,54.7568236970576
YR1960,COL,50.3866550452605
YR1960,COM,55.4889310960072
YR1960,CPV,52.8099521720814
YR1960,CRI,51.6826196927821
YR1960,CUB,60.2864904603536
YR1960,CUW,53.9069331421684
YR1960,CYM,
YR1960,CYP,57.3890353097237
YR1960,CZE,64.9081028144015
YR1960,DEU,67.0762125587109
YR1960,DJI,54.3270840308001
YR1960,DMA,
YR1960,DNK,64.1895911048458
YR1960,DOM,49.2301373555654
YR1960,DZA,52.1785628923057
YR1960,ECU,51.8990832512777
YR1960,EGY,54.0919323299976
YR1960,ERI,53.796683174704
YR1960,ESP,64.423163676065
YR1960,EST,66.3539113048038
YR1960,ETH,53.9000323141626
YR1960,FIN,62.2652826980623
YR1960,FJI,49.5119205247522
YR1960,FRA,61.9876502485728
YR1960,FRO,
YR1960,FSM,51.0985307992991
YR1960,GAB,61.4451577871471
YR1960,GBR,65.0769910951186
YR1960,GEO,62.7532391834466
YR1960,GHA,53.5289356962758
YR1960,GIB,
YR1960,GIN,56.1533208820885
YR1960,GMB,55.3621862390322
YR1960,GNB,56.3760273705805
YR1960,GNQ,56.7639122244285
YR1960,GRC,65.6016362348372
YR1960,GRD,45.9669528087889
YR1960,GRL,
YR1960,GTM,51.4377377695691
YR1960,GUM,58.3410745857181
YR1960,GUY,50.0392606751437
YR1960,HKG,56.6381050869158
YR1960,HND,50.4681080253817
YR1960,HRV,65.5593439447984
YR1960,HTI,56.501245810118
YR1960,HUN,65.682831126586
YR1960,IDN,56.504116850179
YR1960,IMN,
YR1960,IND,56.4974800369574
YR1960,IRL,57.8217286899714
YR1960,IRN,53.2541324624728
YR1960,IRQ,55.4341706722855
YR1960,ISL,57.0618251400975
YR1960,ISR,58.8677395558317
YR1960,ITA,65.4051550272152
YR1960,JAM,54.2066416132439
YR1960,JOR,52.1969731069058
YR1960,JPN,64.1153029057328
YR1960,KAZ,58.0391507910313
YR1960,KEN,49.7576009103359
YR1960,KGZ,56.6237222903708
YR1960,KHM,51.7323067190692
YR1960,KIR,51.0339303917286
YR1960,KNA,
YR1960,KOR,53.3946899496497
YR1960,KWT,63.5864535050125
YR1960,LAO,55.2462683259638
YR1960,LBN,52.4381683390205
YR1960,LBR,55.7127877445902
YR1960,LBY,54.3670089483899
YR1960,LCA,51.177854331806
YR1960,LIE,
YR1960,LKA,53.4468664463816
YR1960,LSO,50.7748993753508
YR1960,LTU,64.9362281921646
YR1960,LUX,67.9936933385889
YR1960,LVA,67.384364848379
YR1960,MAC,53.2209713274252
YR1960,MAF,
YR1960,MAR,52.3127652181136
YR1960,MCO,
YR1960,MDA,62.0318114584623
YR1960,MDG,54.048723244995
YR1960,MDV,58.9953596029512
YR1960,MEX,50.8867461355291
YR1960,MHL,
YR1960,MKD,57.3114067820406
YR1960,MLI,56.9042350742334
YR1960,MLT,53.6244340566119
YR1960,MMR,56.1842737584707
YR1960,MNE,59.0015038581244
YR1960,MNG,58.1757290647354
YR1960,MNP,
YR1960,MOZ,54.7162933659612
YR1960,MRT,53.5053575796346
YR1960,MUS,50.9185285967307
YR1960,MWI,53.0001224049067
YR1960,MYS,51.0890721054413
YR1960,NAM,54.6677242636507
YR1960,NCL,58.9935430972635
YR1960,NER,50.5745752728723
YR1960,NGA,55.5677799184013
YR1960,NIC,50.1727736673418
YR1960,NLD,61.0339042016306
YR1960,NOR,63.0346570153247
YR1960,NPL,57.0446459938348
YR1960,NRU,
YR1960,NZL,58.4774723361856
YR1960,OMN,53.3680719179324
YR1960,PAK,56.409408675825
YR1960,PAN,52.5094947294653
YR1960,PER,52.8155202134118
YR1960,PHL,49.8840490733557
YR1960,PLW,
YR1960,PNG,54.885300898682
YR1960,POL,60.7500773024401
YR1960,PRI,52.0982299643309
YR1960,PRK,59.0587627501537
YR1960,PRT,62.6743187544554
YR1960,PRY,48.8294006981158
YR1960,PSE,49.7417050087906
YR1960,PYF,54.0396536707823
YR1960,QAT,55.7044572007429
YR1960,ROU,64.2966220099894
YR1960,RUS,63.5467303792305
YR1960,RWA,49.0837592000496
YR1960,SAU,53.2335798092224
YR1960,SDN,51.7702387079526
YR1960,SEN,53.4702903158308
YR1960,SGP,54.7268129297729
YR1960,SLB,54.7174774499572
YR1960,SLE,57.9638476447553
YR1960,SLV,51.6949569175556
YR1960,SMR,
YR1960,SOM,54.4438405034594
YR1960,SRB,63.5432244674182
YR1960,SSD,55.7236650480314
YR1960,STP,63.1317843923984
YR1960,SUR,48.6245575275036
YR1960,SVK,61.7606359608602
YR1960,SVN,64.5599466040437
YR1960,SWE,65.8082552950247
YR1960,SWZ,51.2087657427737
YR1960,SXM,
YR1960,SYC,55.1354469629594
YR1960,SYR,49.5275184584626
YR1960,TCA,
YR1960,TCD,55.2052249310287
YR1960,TGO,53.8277761714076
YR1960,THA,53.9505286068029
YR1960,TJK,55.3335355327067
YR1960,TKM,54.9467397012833
YR1960,TLS,56.3270759400841
YR1960,TON,51.1830716014096
YR1960,TTO,53.6967306973404
YR1960,TUN,52.8067825752303
YR1960,TUR,54.9079665387138
YR1960,TUV,
YR1960,TZA,51.9096905816784
YR1960,UGA,51.5177783081219
YR1960,UKR,65.6127794034275
YR1960,URY,63.9797324791237
YR1960,USA,60.19319531751
YR1960,UZB,54.4264100489075
YR1960,VCT,46.3329093446287
YR1960,VEN,51.655896989391
YR1960,VGB,
YR1960,VIR,53.6049494492229
YR1960,VNM,55.143659302029
YR1960,VUT,51.327544787954
YR1960,WSM,48.4318183910374
YR1960,XKX,
YR1960,YEM,54.2878321391516
YR1960,ZAF,55.3595355278178
YR1960,ZMB,51.6476942635998
YR1960,ZWE,51.0900179284403
YR1961,ABW,54.0567841552726
YR1961,AFG,54.7379275220543
YR1961,AGO,54.164117616432
YR1961,ALB,54.0673548699358
YR1961,AND,
YR1961,ARE,53.4207706655026
YR1961,ARG,63.3770784309525
YR1961,ARM,54.1164218034378
YR1961,ASM,
YR1961,ATG,52.6754059017109
YR1961,AUS,61.115332356804
YR1961,AUT,65.2010183455766
YR1961,AZE,53.9809226161086
YR1961,BDI,52.9210100272118
YR1961,BEL,64.2000510112996
YR1961,BEN,56.0430063746342
YR1961,BFA,55.9827809536263
YR1961,BGD,54.864283242357
YR1961,BGR,66.4549434856522
YR1961,BHR,54.6344717500328
YR1961,BHS,53.8720129255305
YR1961,BIH,58.4778095744607
YR1961,BLR,62.1654774794277
YR1961,BLZ,49.9149974129647
YR1961,BMU,
YR1961,BOL,54.1981633504641
YR1961,BRA,53.4745927011439
YR1961,BRB,54.6379651127664
YR1961,BRN,52.0394567681915
YR1961,BTN,55.3866926515506
YR1961,BWA,51.5482216175624
YR1961,CAF,56.5811046180178
YR1961,CAN,58.4463915800207
YR1961,CHE,65.4449514082704
YR1961,CHI,65.1735975869347
YR1961,CHL,56.6626937920432
YR1961,CHN,56.4143062276544
YR1961,CIV,54.1922422721078
YR1961,CMR,55.9539354367261
YR1961,COD,53.5854156036639
YR1961,COG,54.4218476180981
YR1961,COL,50.1272859764033
YR1961,COM,54.9322907813474
YR1961,CPV,52.0389427595981
YR1961,CRI,51.3620570192364
YR1961,CUB,60.2650318191793
YR1961,CUW,53.8230849522504
YR1961,CYM,
YR1961,CYP,57.3075755341389
YR1961,CZE,65.1348585946701
YR1961,DEU,66.654790259539
YR1961,DJI,54.1854053198942
YR1961,DMA,
YR1961,DNK,64.2710803382815
YR1961,DOM,48.9126554481722
YR1961,DZA,51.6034497556927
YR1961,ECU,51.6658993293358
YR1961,EGY,53.7009600552681
YR1961,ERI,53.684889986529
YR1961,ESP,64.1854681595483
YR1961,EST,66.1906267294813
YR1961,ETH,53.817005026335
YR1961,FIN,62.4911784909394
YR1961,FJI,49.5578871894099
YR1961,FRA,61.8055347073543
YR1961,FRO,
YR1961,FSM,50.8577897761909
YR1961,GAB,61.1228966447146
YR1961,GBR,64.8442202218763
YR1961,GEO,62.2748814468415
YR1961,GHA,53.324090156747
YR1961,GIB,
YR1961,GIN,55.875610384382
YR1961,GMB,55.3072265703661
YR1961,GNB,56.2096855776132
YR1961,GNQ,56.470279105533
YR1961,GRC,65.3940429432025
YR1961,GRD,45.5779780349732
YR1961,GRL,
