time,economy,value
YR1960,ABW,29093
YR1960,AFG,4953806
YR1960,AGO,2992633
YR1960,ALB,875725
YR1960,AND,
YR1960,ARE,48059
YR1960,ARG,12989135
YR1960,ARM,1030711
YR1960,ASM,
YR1960,ATG,28571
YR1960,AUS,6290036
YR1960,AUT,4624277
YR1960,AZE,2145755
YR1960,BDI,1489718
YR1960,BEL,5914589
YR1960,BEN,1372565
YR1960,BFA,2721219
YR1960,BGD,26528997
YR1960,BGR,5218531
YR1960,BHR,90498
YR1960,BHS,58951
YR1960,BIH,1889171
YR1960,BLR,5144239
YR1960,BLZ,46563
YR1960,BMU,
YR1960,BOL,1983501
YR1960,BRA,38748087
YR1960,BRB,127237
YR1960,BRN,42987
YR1960,BTN,124014
YR1960,BWA,261761
YR1960,CAF,855653
YR1960,CAN,10490026
YR1960,CHE,3498938
YR1960,CHI,71466
YR1960,CHL,4619470
YR1960,CHN,376823164
YR1960,CIV,1911193
YR1960,CMR,2910752
YR1960,COD,8188504
YR1960,COG,557564
YR1960,COL,8090945
YR1960,COM,106052
YR1960,CPV,106555
YR1960,CRI,687786
YR1960,CUB,4305204
YR1960,CUW,67290
YR1960,CYM,
YR1960,CYP,328801
YR1960,CZE,6232480
YR1960,DEU,48841477
YR1960,DJI,45436
YR1960,DMA,
YR1960,DNK,2939628
YR1960,DOM,1621750
YR1960,DZA,5769835
YR1960,ECU,2358117
YR1960,EGY,14406245
YR1960,ERI,542048
YR1960,ESP,19620074
YR1960,EST,803902
YR1960,ETH,11939549
YR1960,FIN,2758124
YR1960,FJI,194820
YR1960,FRA,28899689
YR1960,FRO,
YR1960,FSM,22744
YR1960,GAB,307792
YR1960,GBR,34100343
YR1960,GEO,2287732
YR1960,GHA,3551767
YR1960,GIB,
YR1960,GIN,1962089
YR1960,GMB,202099
YR1960,GNB,347355
YR1960,GNQ,144940
YR1960,GRC,5465748
YR1960,GRD,41337
YR1960,GRL,
YR1960,GTM,2123802
YR1960,GUM,38933
YR1960,GUY,286131
YR1960,HKG,1741964
YR1960,HND,1028861
YR1960,HRV,2714276
YR1960,HTI,2184430
YR1960,HUN,6557752
YR1960,IDN,49582965
YR1960,IMN,
YR1960,IND,254548083
YR1960,IRL,1635545
YR1960,IRN,11666334
YR1960,IRQ,4041014
YR1960,ISL,100186
YR1960,ISR,1244476
YR1960,ITA,32833192
YR1960,JAM,882768
YR1960,JOR,487051
YR1960,JPN,59765721
YR1960,KAZ,5765937
YR1960,KEN,4040358
YR1960,KGZ,1230037
YR1960,KHM,2960315
YR1960,KIR,21024
YR1960,KNA,
YR1960,KOR,13355280
YR1960,KWT,171064
YR1960,LAO,1171714
YR1960,LBN,946475
YR1960,LBR,623234
YR1960,LBY,787460
YR1960,LCA,45906
YR1960,LIE,
YR1960,LKA,5277598
YR1960,LSO,425120
YR1960,LTU,1804286
YR1960,LUX,213480
YR1960,LVA,1429208
YR1960,MAC,89302
YR1960,MAF,
YR1960,MAR,6449396
YR1960,MCO,
YR1960,MDA,1267722
YR1960,MDG,2756143
YR1960,MDV,53021
YR1960,MEX,19220871
YR1960,MHL,
YR1960,MKD,853178
YR1960,MLI,2995284
YR1960,MLT,175111
YR1960,MMR,12212746
YR1960,MNE,283549
YR1960,MNG,555877
YR1960,MNP,
YR1960,MOZ,3931295
YR1960,MRT,454997
YR1960,MUS,335732
YR1960,MWI,1939794
YR1960,MYS,4166999
YR1960,NAM,346669
YR1960,NCL,46605
YR1960,NER,1713858
YR1960,NGA,25082440
YR1960,NIC,889630
YR1960,NLD,7010739
YR1960,NOR,2257422
YR1960,NPL,5764396
YR1960,NRU,
YR1960,NZL,1386969
YR1960,OMN,294450
YR1960,PAK,25377854
YR1960,PAN,594935
YR1960,PER,5363422
YR1960,PHL,13104410
YR1960,PLW,
YR1960,PNG,1238134
YR1960,POL,18004774
YR1960,PRI,1228476
YR1960,PRK,6746985
YR1960,PRT,5551513
YR1960,PRY,929707
YR1960,PSE,
YR1960,PYF,42194
YR1960,QAT,26394
YR1960,ROU,11835018
YR1960,RUS,76190623
YR1960,RWA,1440891
YR1960,SAU,2175408
YR1960,SDN,3905805
YR1960,SEN,1714662
YR1960,SGP,901022
YR1960,SLB,64483
YR1960,SLE,1343392
YR1960,SLV,1430047
YR1960,SMR,
YR1960,SOM,1500454
YR1960,SRB,4198936
YR1960,SSD,1584067
YR1960,STP,40590
YR1960,SUR,139976
YR1960,SVK,2512481
YR1960,SVN,1023094
YR1960,SWE,4925522
YR1960,SWZ,172357
YR1960,SXM,
YR1960,SYC,22991
YR1960,SYR,2265148
YR1960,TCA,
YR1960,TCD,1657042
YR1960,TGO,850752
YR1960,THA,14780939
YR1960,TJK,1154840
YR1960,TKM,880936
YR1960,TLS,267292
YR1960,TON,31515
YR1960,TTO,455334
YR1960,TUN,2206391
YR1960,TUR,15084503
YR1960,TUV,
YR1960,TZA,5218040
YR1960,UGA,3486255
YR1960,UKR,27993460
YR1960,URY,1624220
YR1960,USA,108751648
YR1960,UZB,4640558
YR1960,VCT,37516
YR1960,VEN,4205740
YR1960,VGB,
YR1960,VIR,17422
YR1960,VNM,18015460
YR1960,VUT,32690
YR1960,WSM,52610
YR1960,XKX,
YR1960,YEM,2885589
YR1960,ZAF,9466390
YR1960,ZMB,1585987
YR1960,ZWE,1929506
YR1961,ABW,29966
YR1961,AFG,5019143
YR1961,AGO,2996062
YR1961,ALB,897410
YR1961,AND,
YR1961,ARE,53849
YR1961,ARG,13193378
YR1961,ARM,1050669
YR1961,ASM,
YR1961,ATG,28974
YR1961,AUS,6406720
YR1961,AUT,4620339
YR1961,AZE,2175607
YR1961,BDI,1509539
YR1961,BEL,5896099
YR1961,BEN,1381945
YR1961,BFA,2740122
YR1961,BGD,27082565
YR1961,BGR,5278595
YR1961,BHR,91731
YR1961,BHS,62017
YR1961,BIH,1923104
YR1961,BLR,5141841
YR1961,BLZ,47270
YR1961,BMU,
YR1961,BOL,2021025
YR1961,BRA,39737685
YR1961,BRB,126606
YR1961,BRN,44525
YR1961,BTN,126752
YR1961,BWA,264282
YR1961,CAF,863460
YR1961,CAN,10678740
YR1961,CHE,3556471
YR1961,CHI,71950
YR1961,CHL,4705159
YR1961,CHN,372520588
YR1961,CIV,1968017
YR1961,CMR,2957174
YR1961,COD,8379527
YR1961,COG,567685
YR1961,COL,8304997
YR1961,COM,106650
YR1961,CPV,106847
YR1961,CRI,709406
YR1961,CUB,4394045
YR1961,CUW,67884
YR1961,CYM,
YR1961,CYP,330322
YR1961,CZE,6244252
YR1961,DEU,48909707
YR1961,DJI,47956
YR1961,DMA,
YR1961,DNK,2963981
YR1961,DOM,1666103
YR1961,DZA,5849940
YR1961,ECU,2414955
YR1961,EGY,14695933
YR1961,ERI,554737
YR1961,ESP,19730132
YR1961,EST,810886
YR1961,ETH,12200957
YR1961,FIN,2787735
YR1961,FJI,201822
YR1961,FRA,29197260
YR1961,FRO,
YR1961,FSM,23364
YR1961,GAB,309155
YR1961,GBR,34237748
YR1961,GEO,2306413
YR1961,GHA,3651789
YR1961,GIB,
