time,economy,value
YR1960,ABW,7.78360774380315
YR1960,AFG,8.79934047845675
YR1960,AGO,8.10061429206296
YR1960,ALB,8.40923184127411
YR1960,AND,
YR1960,ARE,8.12368632039698
YR1960,ARG,7.86533977790635
YR1960,ARM,10.5547420601822
YR1960,ASM,
YR1960,ATG,7.44182820681763
YR1960,AUS,6.38014712146118
YR1960,AUT,6.31917743337376
YR1960,AZE,10.2820616283991
YR1960,BDI,8.29427361359589
YR1960,BEL,6.21540163521159
YR1960,BEN,8.30257434315895
YR1960,BFA,8.87671182040614
YR1960,BGD,8.69923527038809
YR1960,BGR,7.31228279539446
YR1960,BHR,8.00747346522321
YR1960,BHS,8.18254995975221
YR1960,BIH,9.98005801856911
YR1960,BLR,8.69701006389765
YR1960,BLZ,7.68372492221865
YR1960,BMU,
YR1960,BOL,8.11057225047822
YR1960,BRA,8.66304711820606
YR1960,BRB,6.9760880299076
YR1960,BRN,7.33415948003338
YR1960,BTN,9.12645127108967
YR1960,BWA,9.20201071816331
YR1960,CAF,8.18974225762692
YR1960,CAN,6.68705313924251
YR1960,CHE,7.15744799000456
YR1960,CHI,6.79785330948122
YR1960,CHL,8.51819569123158
YR1960,CHN,7.5596132456781
YR1960,CIV,8.65158281840008
YR1960,CMR,8.57041501921431
YR1960,COD,8.84705101856715
YR1960,COG,8.47282133108736
YR1960,COL,8.13832783624152
YR1960,COM,8.3637007267351
YR1960,CPV,8.68874815520559
YR1960,CRI,8.25253991291727
YR1960,CUB,9.02052536059169
YR1960,CUW,7.15605603550389
YR1960,CYM,
YR1960,CYP,8.38717873009551
YR1960,CZE,5.53849857427723
YR1960,DEU,7.738544833978
YR1960,DJI,9.20805496778489
YR1960,DMA,
YR1960,DNK,6.48615370751546
YR1960,DOM,8.61922128776098
YR1960,DZA,8.32854226918617
YR1960,ECU,7.99674150266722
YR1960,EGY,7.58363316549765
YR1960,ERI,9.11922945648035
YR1960,ESP,7.25288278474679
YR1960,EST,7.36069401754172
YR1960,ETH,8.79552558441305
YR1960,FIN,6.72333139162828
YR1960,FJI,8.88775921975966
YR1960,FRA,6.01167298465069
YR1960,FRO,
YR1960,FSM,8.04762787249815
