time,economy,value
YR1960,ABW,4.5798366763256
YR1960,AFG,3.93958757072961
YR1960,AGO,4.48125888750991
YR1960,ALB,4.09590278933726
YR1960,AND,
YR1960,ARE,3.68505230396819
YR1960,ARG,5.7064076357238
YR1960,ARM,3.43764846329074
YR1960,ASM,
YR1960,ATG,4.83890096857086
YR1960,AUS,6.37660547921575
YR1960,AUT,6.26896849059697
YR1960,AZE,3.48509943549279
YR1960,BDI,3.80076133676641
YR1960,BEL,6.75058626283687
YR1960,BEN,4.52055114291173
YR1960,BFA,4.29254392727696
YR1960,BGD,4.16261395162303
YR1960,BGR,6.51140002351961
YR1960,BHR,4.11444079023022
YR1960,BHS,4.45157103042798
YR1960,BIH,3.5532170498301
YR1960,BLR,4.74200771443515
YR1960,BLZ,4.13303125618635
YR1960,BMU,
YR1960,BOL,3.83108863531263
YR1960,BRA,3.88746827124419
YR1960,BRB,5.12708913649025
YR1960,BRN,4.27121377413081
YR1960,BTN,3.72898928926026
YR1960,BWA,2.95916693998032
YR1960,CAF,4.4552995940138
YR1960,CAN,5.58754712205557
YR1960,CHE,6.66546513250824
YR1960,CHI,7.04871601208459
YR1960,CHL,4.05839722511662
YR1960,CHN,4.92882343068418
YR1960,CIV,3.8048924730884
YR1960,CMR,4.15415283748663
YR1960,COD,3.40946488695184
YR1960,COG,3.94696626160887
YR1960,COL,3.52246468154286
YR1960,COM,4.30602886112163
YR1960,CPV,4.49151110735704
YR1960,CRI,3.86151600696206
YR1960,CUB,4.99550492813367
YR1960,CUW,4.85665786495662
YR1960,CYM,
YR1960,CYP,4.96011247323968
YR1960,CZE,7.29460836091959
YR1960,DEU,6.21846792541828
YR1960,DJI,3.47340822168234
YR1960,DMA,
YR1960,DNK,6.65628068718169
YR1960,DOM,3.42835285703066
YR1960,DZA,3.45486773939456
YR1960,ECU,3.86119848818703
YR1960,EGY,4.2080090916806
YR1960,ERI,3.32639004000216
YR1960,ESP,5.56993349354368
YR1960,EST,5.80398113864363
YR1960,ETH,3.71199523376615
YR1960,FIN,6.01284875974168
YR1960,FJI,3.47318507699823
YR1960,FRA,6.29956285766606
YR1960,FRO,
YR1960,FSM,3.68577161301579
YR1960,GAB,5.4986888433229
YR1960,GBR,7.09990704133241
YR1960,GEO,4.71588319443083
YR1960,GHA,3.53053698373139
YR1960,GIB,
YR1960,GIN,4.40835682891246
YR1960,GMB,3.53391901710813
YR1960,GNB,4.87986479229606
YR1960,GNQ,4.54541826627611
YR1960,GRC,5.88398326125428
YR1960,GRD,2.99434215573456
YR1960,GRL,
YR1960,GTM,3.41977962598051
YR1960,GUM,4.33368337474067
YR1960,GUY,4.20241993478883
YR1960,HKG,5.35570386857459
YR1960,HND,3.53352329508675
YR1960,HRV,5.44249075443603
YR1960,HTI,4.33004240975082
YR1960,HUN,7.02949138940185
YR1960,IDN,4.29746553432541
YR1960,IMN,
YR1960,IND,4.43563561085093
YR1960,IRL,6.4741900403216
YR1960,IRN,3.92946424401992
YR1960,IRQ,4.6798882678517
YR1960,ISL,4.95170035055288
YR1960,ISR,6.10764857347275
YR1960,ITA,6.76165133617175
YR1960,JAM,4.9890286530758
YR1960,JOR,3.09531766061394
YR1960,JPN,4.88523163966812
YR1960,KAZ,4.03804825785699
YR1960,KEN,3.8468579000319
YR1960,KGZ,3.87913350888168
YR1960,KHM,3.69968887404336
YR1960,KIR,3.03417752643226
YR1960,KNA,
YR1960,KOR,3.9730783377395
YR1960,KWT,3.62004825188177
YR1960,LAO,4.13644819821332
YR1960,LBN,4.49289398211348
YR1960,LBR,4.13173197723421
YR1960,LBY,3.80855117627113
YR1960,LCA,4.17699525078188
YR1960,LIE,
YR1960,LKA,4.23434512589689
YR1960,LSO,3.77662382435009
YR1960,LTU,4.41191096924052
YR1960,LUX,7.32247330582927
YR1960,LVA,6.00936319625472
YR1960,MAC,5.44027941158636
YR1960,MAF,
YR1960,MAR,2.94326638869974
YR1960,MCO,
YR1960,MDA,5.84724925724823
YR1960,MDG,4.45359541253408
YR1960,MDV,4.3297915815284
YR1960,MEX,3.48407128733381
YR1960,MHL,
YR1960,MKD,4.83564180332765
YR1960,MLI,4.73441095525918
YR1960,MLT,4.94016023210577
YR1960,MMR,4.34486325087963
