time,economy,value
YR1960,ABW,803
YR1960,AFG,115755
YR1960,AGO,86970
YR1960,ALB,47901
YR1960,AND,
YR1960,ARE,1719
YR1960,ARG,586253
YR1960,ARM,66877
YR1960,ASM,
YR1960,ATG,1623
YR1960,AUS,503232
YR1960,AUT,524345
YR1960,AZE,123931
YR1960,BDI,47282
YR1960,BEL,623486
YR1960,BEN,66025
YR1960,BFA,51998
YR1960,BGD,597938
YR1960,BGR,331931
YR1960,BHR,2417
YR1960,BHS,2461
YR1960,BIH,64237
YR1960,BLR,442727
YR1960,BLZ,2001
YR1960,BMU,
YR1960,BOL,91334
YR1960,BRA,1287198
YR1960,BRB,11282
YR1960,BRN,1676
YR1960,BTN,2720
YR1960,BWA,13431
YR1960,CAF,40475
YR1960,CAN,710046
YR1960,CHE,317343
YR1960,CHI,8723
YR1960,CHL,165768
YR1960,CHN,14198455
YR1960,CIV,49765
YR1960,CMR,109587
YR1960,COD,272562
YR1960,COG,20126
YR1960,COL,262967
YR1960,COM,3397
YR1960,CPV,6159
YR1960,CRI,20340
YR1960,CUB,150575
YR1960,CUW,3756
YR1960,CYM,
YR1960,CYP,17200
YR1960,CZE,537425
YR1960,DEU,4992043
YR1960,DJI,1071
YR1960,DMA,
YR1960,DNK,261702
YR1960,DOM,40562
YR1960,DZA,175909
YR1960,ECU,117920
YR1960,EGY,572312
YR1960,ERI,15881
YR1960,ESP,1481133
YR1960,EST,88775
YR1960,ETH,344533
YR1960,FIN,203691
YR1960,FJI,3216
YR1960,FRA,3420314
YR1960,FRO,
YR1960,FSM,802
YR1960,GAB,20755
YR1960,GBR,3791739
YR1960,GEO,181820
YR1960,GHA,82516
YR1960,GIB,
YR1960,GIN,60198
YR1960,GMB,4458
YR1960,GNB,12007
YR1960,GNQ,7681
YR1960,GRC,343249
YR1960,GRD,2912
YR1960,GRL,
YR1960,GTM,56219
YR1960,GUM,600
YR1960,GUY,11488
YR1960,HKG,59038
YR1960,HND,35265
YR1960,HRV,175715
YR1960,HTI,68042
YR1960,HUN,522752
YR1960,IDN,1681301
YR1960,IMN,
YR1960,IND,6976874
YR1960,IRL,167456
YR1960,IRN,441217
YR1960,IRQ,123297
YR1960,ISL,7724
YR1960,ISR,51999
YR1960,ITA,2739734
YR1960,JAM,42327
YR1960,JOR,19596
YR1960,JPN,2967949
YR1960,KAZ,320422
YR1960,KEN,168302
YR1960,KGZ,84378
YR1960,KHM,84724
YR1960,KIR,906
YR1960,KNA,
YR1960,KOR,495740
YR1960,KWT,2587
YR1960,LAO,29492
YR1960,LBN,56829
YR1960,LBR,17562
YR1960,LBY,24888
YR1960,LCA,2281
YR1960,LIE,
YR1960,LKA,201674
YR1960,LSO,25292
YR1960,LTU,138728
YR1960,LUX,18995
YR1960,LVA,150036
