time,economy,value
YR1960,ABW,0.22579309825763
YR1960,AFG,0.178381971849888
YR1960,AGO,0.150232839190798
YR1960,ALB,0.82562480679143
YR1960,AND,
YR1960,ARE,0.244229272931616
YR1960,ARG,0.480514117776196
YR1960,ARM,0.894683394592032
YR1960,ASM,
YR1960,ATG,0.383474995058312
YR1960,AUS,0.948038692015256
YR1960,AUT,1.35495290895732
YR1960,AZE,0.667554735946089
YR1960,BDI,0.218466044113706
YR1960,BEL,1.48895351557052
YR1960,BEN,0.474559741875466
YR1960,BFA,0.0804724849602296
YR1960,BGD,0.234326624960611
YR1960,BGR,0.987467809763481
YR1960,BHR,0.17823877095743
YR1960,BHS,0.412323903332951
YR1960,BIH,0.324065326210806
YR1960,BLR,0.895386593444909
YR1960,BLZ,0.415722675582342
YR1960,BMU,
YR1960,BOL,0.397379425888544
YR1960,BRA,0.254929227231988
YR1960,BRB,0.607397090683999
YR1960,BRN,0.215813688753972
YR1960,BTN,0.154642345643216
YR1960,BWA,0.293538865201706
YR1960,CAF,0.497001760806238
YR1960,CAN,1.13631502810424
YR1960,CHE,1.18181700895404
YR1960,CHI,1.64086102719033
YR1960,CHL,0.40118410887155
YR1960,CHN,0.10759634167503
YR1960,CIV,0.210157014692093
YR1960,CMR,0.298015312254476
YR1960,COD,0.243921560120431
YR1960,COG,0.240118101349016
YR1960,COL,0.273269740157964
YR1960,COM,0.271361857882115
YR1960,CPV,0.728524368612214
YR1960,CRI,0.306253576778555
YR1960,CUB,0.537270723925842
YR1960,CUW,0.685275996479316
YR1960,CYM,
YR1960,CYP,0.665679685586171
YR1960,CZE,0.931607096218892
YR1960,DEU,1.38833346468343
YR1960,DJI,0.137108219276935
YR1960,DMA,
YR1960,DNK,1.48574354931243
YR1960,DOM,0.248804986651463
YR1960,DZA,0.269501381961489
YR1960,ECU,0.444915021054879
YR1960,EGY,0.243113900604021
YR1960,ERI,0.184333453825768
YR1960,ESP,0.863759788233594
YR1960,EST,0.92947840866148
YR1960,ETH,0.163884698554781
YR1960,FIN,0.617249848543442
YR1960,FJI,0.339473125866569
YR1960,FRA,1.35818936491159
YR1960,FRO,
YR1960,FSM,0.283520893308907
YR1960,GAB,0.735636503255426
YR1960,GBR,1.33557604521168
YR1960,GEO,0.960775775960736
YR1960,GHA,0.13762119728365
YR1960,GIB,
YR1960,GIN,0.283450975129202
YR1960,GMB,0.0715591078230619
YR1960,GNB,0.321546586367874
YR1960,GNQ,0.581845463760366
YR1960,GRC,0.781284482484409
YR1960,GRD,0.510644418872267
YR1960,GRL,
YR1960,GTM,0.235093139004682
YR1960,GUM,0.156237994006608
YR1960,GUY,0.330244995706117
YR1960,HKG,0.1100138042799
YR1960,HND,0.325522997823328
YR1960,HRV,0.709695748182923
YR1960,HTI,0.343357184755679
YR1960,HUN,0.937030497142934
YR1960,IDN,0.29348240807311
YR1960,IMN,
YR1960,IND,0.251412079820016
YR1960,IRL,1.86613911737164
YR1960,IRN,0.471459925595006
YR1960,IRQ,0.231384384444991
YR1960,ISL,1.08209249636485
YR1960,ISR,0.551614766862176
YR1960,ITA,1.18507827045132
YR1960,JAM,0.343683821090501
YR1960,JOR,0.400189433932866
YR1960,JPN,0.477148834829607
YR1960,KAZ,0.624665712365642
YR1960,KEN,0.270532230756018
YR1960,KGZ,0.833806150011396
YR1960,KHM,0.183398352566001
YR1960,KIR,0.236046225719203
YR1960,KNA,
YR1960,KOR,0.169068164475609
YR1960,KWT,0.166046643485707
YR1960,LAO,0.201387163223384
YR1960,LBN,0.778307005975027
YR1960,LBR,0.287134433691383
YR1960,LBY,0.4276126351595
YR1960,LCA,0.366037298737403
YR1960,LIE,
YR1960,LKA,1.07051421802319
YR1960,LSO,0.325626743948029
YR1960,LTU,0.789877414721667
YR1960,LUX,1.38056651498671
YR1960,LVA,1.20817151673139
YR1960,MAC,0.294691907493421
YR1960,MAF,
YR1960,MAR,0.153477074565473
YR1960,MCO,
YR1960,MDA,0.643789343077326
YR1960,MDG,0.20067077958843
YR1960,MDV,0.228851655087863
YR1960,MEX,0.403610019346666
YR1960,MHL,
YR1960,MKD,0.755523404368285
YR1960,MLI,0.0913990557184729
YR1960,MLT,1.08997395404042
YR1960,MMR,0.201567891424985
YR1960,MNE,0.761888708623923
YR1960,MNG,0.202406315247304
YR1960,MNP,
YR1960,MOZ,0.227646615972308
YR1960,MRT,0.112863062652068
YR1960,MUS,0.175932228110263
YR1960,MWI,0.308104001162024
YR1960,MYS,0.517122096412545
YR1960,NAM,0.38676035289477
YR1960,NCL,0.267327695149217
YR1960,NER,0.0337617336117789
YR1960,NGA,0.110328741746815
YR1960,NIC,0.183740647702733
YR1960,NLD,1.24220649751201
YR1960,NOR,1.67119555319195
YR1960,NPL,0.0608727770867484
YR1960,NRU,
YR1960,NZL,1.23967184762269
YR1960,OMN,0.202359519313807
YR1960,PAK,0.616285690962703
YR1960,PAN,0.465182233843131
YR1960,PER,0.243360339350183
YR1960,PHL,0.235352744702861
YR1960,PLW,
YR1960,PNG,0.269314901291203
YR1960,POL,0.461114379181247
YR1960,PRI,0.794329848206709
YR1960,PRK,0.124981625920409
YR1960,PRT,0.829344477684251
YR1960,PRY,0.297836207154043
YR1960,PSE,0.457441264761793
YR1960,PYF,0.166870065502727
YR1960,QAT,0.242881697929901
YR1960,ROU,0.556973594551738
YR1960,RUS,0.492065593869709
YR1960,RWA,0.193441708779021
YR1960,SAU,0.25596982742868
YR1960,SDN,0.290588129143203
YR1960,SEN,0.153837077057877
YR1960,SGP,0.153082218053241
YR1960,SLB,0.27837530051879
YR1960,SLE,0.244920262106103
YR1960,SLV,0.283227248561467
YR1960,SMR,
YR1960,SOM,0.131411826477723
YR1960,SRB,0.791599810089212
YR1960,SSD,0.178525028872869
YR1960,STP,0.483740178396667
YR1960,SUR,0.696244310877949
YR1960,SVK,0.757391886443087
YR1960,SVN,0.837562149453401
YR1960,SWE,1.64546301975193
YR1960,SWZ,0.194962846702798
YR1960,SXM,
YR1960,SYC,0.732654767173133
YR1960,SYR,0.501012461792079
YR1960,TCA,
YR1960,TCD,0.27508731550913
YR1960,TGO,0.231001447129688
YR1960,THA,0.338119724282306
YR1960,TJK,0.528916533838246
YR1960,TKM,0.575628650445025
YR1960,TLS,0.168192861147449
YR1960,TON,0.319897632757518
YR1960,TTO,0.382585317935919
YR1960,TUN,0.371015723382203
YR1960,TUR,0.201444149257239
YR1960,TUV,
YR1960,TZA,0.166257312580137
YR1960,UGA,0.24780338534897
YR1960,UKR,0.634860138524588
YR1960,URY,1.14787071988916
YR1960,USA,1.13932346910898
YR1960,UZB,0.678852718146311
YR1960,VCT,0.548017389013305
YR1960,VEN,0.246678497781244
YR1960,VGB,
YR1960,VIR,0.937423910396883
YR1960,VNM,0.331190478180867
YR1960,VUT,0.21293423374095
YR1960,WSM,0.121524313931765
YR1960,XKX,
YR1960,YEM,0.360409186369487
YR1960,ZAF,0.324300675719264
YR1960,ZMB,0.230007841473935
YR1960,ZWE,0.2327535117476
YR1961,ABW,0.231771024942977
YR1961,AFG,0.196247555626024
YR1961,AGO,0.202193678535914
YR1961,ALB,0.840054926668282
YR1961,AND,
YR1961,ARE,0.228148545792672
YR1961,ARG,0.514258415664222
YR1961,ARM,0.917348951174326
YR1961,ASM,
YR1961,ATG,0.403930555016118
YR1961,AUS,0.983503230309871
YR1961,AUT,1.42955150627254
YR1961,AZE,0.683122758163778
YR1961,BDI,0.23313609038105
YR1961,BEL,1.5697228136531
YR1961,BEN,0.492974055431059
YR1961,BFA,0.096672564149209
YR1961,BGD,0.24163271990338
YR1961,BGR,1.05855819564985
YR1961,BHR,0.189328934111317
YR1961,BHS,0.408443576953662
YR1961,BIH,0.328981580993606
YR1961,BLR,0.940814015552918
YR1961,BLZ,0.448756303957603
YR1961,BMU,
YR1961,BOL,0.419497889800133
YR1961,BRA,0.270368186652384
YR1961,BRB,0.624434737429522
YR1961,BRN,0.265017667844523
YR1961,BTN,0.166385069941765
YR1961,BWA,0.312625572611107
YR1961,CAF,0.529700492967494
YR1961,CAN,1.18968148628153
YR1961,CHE,1.24199518512567
YR1961,CHI,1.69646865180308
YR1961,CHL,0.415295041907856
YR1961,CHN,0.126837930767848
YR1961,CIV,0.222655147916576
YR1961,CMR,0.319293640193552
YR1961,COD,0.246752699985365
YR1961,COG,0.255920102992237
YR1961,COL,0.285353112745256
YR1961,COM,0.286773231737618
YR1961,CPV,0.743845379755371
YR1961,CRI,0.319093597463213
YR1961,CUB,0.574145712443585
YR1961,CUW,0.699823875060397
YR1961,CYM,
YR1961,CYP,0.712568954016538
YR1961,CZE,0.989371708653004
YR1961,DEU,1.46202398042568
YR1961,DJI,0.140925105125582
YR1961,DMA,
YR1961,DNK,1.5602219638673
YR1961,DOM,0.261096605744125
YR1961,DZA,0.286629487583515
YR1961,ECU,0.473349798914024
YR1961,EGY,0.2635835470439
YR1961,ERI,0.197197191351355
YR1961,ESP,0.90872802313793
YR1961,EST,0.96665401268699
YR1961,ETH,0.176079972693186
YR1961,FIN,0.654314107922355
YR1961,FJI,0.341581867536842
YR1961,FRA,1.4101222221683
YR1961,FRO,
YR1961,FSM,0.274690444998521
YR1961,GAB,0.784370864143567
YR1961,GBR,1.39536496922281
YR1961,GEO,1.00958044407236
YR1961,GHA,0.147874466156514
YR1961,GIB,
YR1961,GIN,0.305078376331657
YR1961,GMB,0.0807015656103728
