time,economy,value
YR1960,ABW,4.626542467260165
YR1960,AFG,5.082213554588129
YR1960,AGO,5.481026240103615
YR1960,ALB,9.940220959776186
YR1960,AND,
YR1960,ARE,6.60438211365197
YR1960,ARG,8.722882624593554
YR1960,ARM,11.542614758162085
YR1960,ASM,
YR1960,ATG,8.029120436806553
YR1960,AUS,14.067773221011773
YR1960,AUT,18.519608578811347
YR1960,AZE,9.774088840524664
YR1960,BDI,5.512989706776718
YR1960,BEL,18.376221914996968
YR1960,BEN,8.89582642716374
YR1960,BFA,4.137888203779262
YR1960,BGD,4.874111901026639
YR1960,BGR,11.420129534537594
YR1960,BHR,5.369179429379655
YR1960,BHS,7.04313752099201
YR1960,BIH,5.8782397146684975
YR1960,BLR,13.303153294393983
YR1960,BLZ,8.201791121706076
YR1960,BMU,
YR1960,BOL,8.357394324479795
YR1960,BRA,5.868718112458042
YR1960,BRB,12.394979447802132
YR1960,BRN,7.371996184893108
YR1960,BTN,4.247907494315157
YR1960,BWA,8.237285157070763
YR1960,CAF,8.771663279390127
YR1960,CAN,13.143637584883011
YR1960,CHE,15.546888798829816
YR1960,CHI,20.159236560042537
YR1960,CHL,6.605866040909455
YR1960,CHN,6.529572582220555
YR1960,CIV,5.0137270280918775
YR1960,CMR,6.8451383010301114
YR1960,COD,5.464551278231042
YR1960,COG,6.331829171180349
YR1960,COL,5.79409450935583
YR1960,COM,5.764153434164372
YR1960,CPV,9.580967575430527
YR1960,CRI,5.797297415184374
YR1960,CUB,7.715987442174634
YR1960,CUW,9.035517907564273
YR1960,CYM,
YR1960,CYP,10.286769200823597
YR1960,CZE,14.413780710086515
YR1960,DEU,17.10594870011814
YR1960,DJI,4.26093846289286
YR1960,DMA,
YR1960,DNK,16.5176682219655
YR1960,DOM,5.1692924310158785
YR1960,DZA,6.210801522053924
YR1960,ECU,9.054173308618699
YR1960,EGY,7.020941265402608
YR1960,ERI,5.132755770706654
YR1960,ESP,12.748438155737842
YR1960,EST,15.893852733293363
YR1960,ETH,4.898526736646418
YR1960,FIN,11.769086524028651
YR1960,FJI,4.369674571399241
YR1960,FRA,18.7957939616582
YR1960,FRO,
YR1960,FSM,6.7842068237777
YR1960,GAB,12.302464001663461
YR1960,GBR,18.082237471922202
YR1960,GEO,13.769969559371464
YR1960,GHA,4.3806927650377965
YR1960,GIB,
YR1960,GIN,6.131984838608238
YR1960,GMB,3.933715654209076
YR1960,GNB,6.248362626131767
YR1960,GNQ,10.021388160618187
YR1960,GRC,10.741841738770248
YR1960,GRD,10.78936545951569
YR1960,GRL,
YR1960,GTM,5.114601078631624
YR1960,GUM,2.7996815041224665
YR1960,GUY,6.806672468205123
YR1960,HKG,4.817263732201125
YR1960,HND,6.410778521102461
YR1960,HRV,10.571695730279455
YR1960,HTI,5.7034558214271005
YR1960,HUN,13.685741699289636
YR1960,IDN,6.290499166397169
YR1960,IMN,
YR1960,IND,5.393460771024546
YR1960,IRL,19.454065770125553
YR1960,IRN,7.53659204339598
YR1960,IRQ,5.615422267777345
YR1960,ISL,14.102768849939112
YR1960,ISR,7.905656677991379
YR1960,ITA,14.557603780954345
YR1960,JAM,7.996778315480397
YR1960,JOR,8.169370353412681
YR1960,JPN,8.766700898663968
YR1960,KAZ,9.8210750481665
YR1960,KEN,7.519457434217464
YR1960,KGZ,12.507428638325512
YR1960,KHM,4.880257675281178
YR1960,KIR,7.377283105022831
YR1960,KNA,
YR1960,KOR,6.304869684499314
YR1960,KWT,3.14268344011598
YR1960,LAO,4.722568817988007
YR1960,LBN,11.347790485749757
YR1960,LBR,5.682777255412895
YR1960,LBY,7.1472836715515715
YR1960,LCA,7.964100553304579
YR1960,LIE,
YR1960,LKA,8.459814483785994
YR1960,LSO,9.171998494542716
YR1960,LTU,12.20571461508874
YR1960,LUX,15.919524077196929
YR1960,LVA,15.692607374154077
YR1960,MAC,9.330138182795459
YR1960,MAF,
YR1960,MAR,5.699882593656833
YR1960,MCO,
YR1960,MDA,9.962909849320276
YR1960,MDG,6.035463326830285
YR1960,MDV,4.364308481545049
YR1960,MEX,6.6804828979914594
YR1960,MHL,
YR1960,MKD,8.194421328257409
YR1960,MLI,3.9910071966464615
YR1960,MLT,14.826024635802435
YR1960,MMR,5.897011204523536
YR1960,MNE,10.452514380230578
YR1960,MNG,8.298058743211179
YR1960,MNP,
YR1960,MOZ,6.007282587544308
YR1960,MRT,3.915849994615349
YR1960,MUS,4.862807239107384
YR1960,MWI,6.007442027349296
YR1960,MYS,6.688338538118199
YR1960,NAM,7.194182346849589
YR1960,NCL,6.1860315416800775
YR1960,NER,2.235366057164596
YR1960,NGA,5.08212119714031
YR1960,NIC,5.032878837269426
YR1960,NLD,14.59810442237259
YR1960,NOR,17.509442186706785
YR1960,NPL,4.455141527403739
YR1960,NRU,
YR1960,NZL,14.767453346109393
YR1960,OMN,5.597215146884021
YR1960,PAK,7.656857037636043
YR1960,PAN,6.887643187911284
YR1960,PER,6.471111167459879
YR1960,PHL,6.198150088405353
YR1960,PLW,
YR1960,PNG,4.87491660838003
YR1960,POL,9.373747207268472
YR1960,PRI,10.377817718864675
YR1960,PRK,5.432648805355281
YR1960,PRT,12.806760967685745
YR1960,PRY,6.546363531736343
YR1960,PSE,
YR1960,PYF,5.211641465611224
YR1960,QAT,5.277714632113359
YR1960,ROU,10.620178186463257
YR1960,RUS,9.573936677220765
YR1960,RWA,6.369184067358321
YR1960,SAU,6.8036432705956775
YR1960,SDN,6.249108698462929
YR1960,SEN,4.905281624016862
YR1960,SGP,3.7359798095939944
YR1960,SLB,4.844687747158165
YR1960,SLE,6.37274898168219
YR1960,SLV,6.463983351596136
YR1960,SMR,
YR1960,SOM,5.43975356792011
YR1960,SRB,10.358838524807238
YR1960,SSD,4.950737563499524
YR1960,STP,6.043360433604336
YR1960,SUR,8.569326170200606
YR1960,SVK,10.971545655469633
YR1960,SVN,12.048453025821674
YR1960,SWE,17.86892841002436
YR1960,SWZ,5.800750767302749
YR1960,SXM,
YR1960,SYC,11.24787960506285
YR1960,SYR,8.068965030099578
YR1960,TCA,
YR1960,TCD,6.9236627677512095
YR1960,TGO,5.965545775972316
YR1960,THA,6.1438857165975715
YR1960,TJK,8.630373038689342
YR1960,TKM,9.465727362714205
YR1960,TLS,4.43297966269099
YR1960,TON,6.600031730921783
YR1960,TTO,6.455261412501592
YR1960,TUN,7.061939610884925
YR1960,TUR,5.810367103244967
YR1960,TUV,
YR1960,TZA,4.757897601398226
YR1960,UGA,5.306926773859056
YR1960,UKR,10.875625949775412
YR1960,URY,12.754552954649
