time,economy,value
YR1960,ABW,81.700065307806
YR1960,AFG,76.53505203877585
YR1960,AGO,76.79785660319858
YR1960,ALB,73.77030460475605
YR1960,AND,
YR1960,ARE,85.6946669718471
YR1960,ARG,48.961066306570835
YR1960,ARM,70.28517208024364
YR1960,ASM,
YR1960,ATG,81.43572153582303
YR1960,AUS,49.309304430054134
YR1960,AUT,33.883437345989435
YR1960,AZE,71.76564892077614
YR1960,BDI,82.30275797164296
YR1960,BEL,36.38497958184415
YR1960,BEN,68.26277808336945
YR1960,BFA,73.32996719484908
YR1960,BGD,76.11088726799584
YR1960,BGR,39.33827354862892
YR1960,BHR,74.1143450683993
YR1960,BHS,78.7586300486845
YR1960,BIH,64.86670608430893
YR1960,BLR,46.05958237943455
YR1960,BLZ,89.52601851255288
YR1960,BMU,
YR1960,BOL,76.01155734229526
YR1960,BRA,80.40947156952548
YR1960,BRB,69.14419547773053
YR1960,BRN,82.70174703980273
YR1960,BTN,75.79950650732982
YR1960,BWA,83.82073723740359
YR1960,CAF,66.72798435814519
YR1960,CAN,57.580524585925716
YR1960,CHE,36.722942790069446
YR1960,CHI,32.94713570089273
YR1960,CHL,69.45303249074028
YR1960,CHN,70.49510708954188
YR1960,CIV,78.3041796406747
YR1960,CMR,71.00993145413969
YR1960,COD,80.75085510124926
YR1960,COG,76.2936631489838
YR1960,COL,92.67115275162543
YR1960,COM,74.45121261268058
YR1960,CPV,79.77664117122613
YR1960,CRI,87.69122953942069
YR1960,CUB,58.158661006539994
YR1960,CUW,76.46901471243869
YR1960,CYM,
YR1960,CYP,63.96239670803921
YR1960,CZE,39.650187405334634
YR1960,DEU,31.97819959457819
YR1960,DJI,79.80896205651906
YR1960,DMA,
YR1960,DNK,39.27081930094556
YR1960,DOM,97.95831663326653
YR1960,DZA,85.43876904625523
YR1960,ECU,83.62748752500406
YR1960,EGY,77.84951595644806
YR1960,ERI,80.75225810260346
YR1960,ESP,42.4752322544757
YR1960,EST,34.81319862371284
YR1960,ETH,80.63012262858506
YR1960,FIN,48.83406257296626
YR1960,FJI,97.60188892310852
YR1960,FRA,42.526661792104406
YR1960,FRO,
YR1960,FSM,88.91575800211045
YR1960,GAB,50.44445599625721
YR1960,GBR,35.581903091121404
YR1960,GEO,45.58436040585174
YR1960,GHA,82.4341799447993
YR1960,GIB,
YR1960,GIN,71.95188393594786
YR1960,GMB,76.69508508206374
YR1960,GNB,71.13212707460667
YR1960,GNQ,66.14668138540085
YR1960,GRC,41.69337847262625
YR1960,GRD,106.75907782374144
YR1960,GRL,
YR1960,GTM,89.2951885345244
YR1960,GUM,68.60503942670742
YR1960,GUY,93.03640640126376
YR1960,HKG,71.74229777423645
YR1960,HND,91.73416039678828
YR1960,HRV,41.961871231960195
YR1960,HTI,71.28376739012008
YR1960,HUN,38.56103433005701
YR1960,IDN,70.68775536114067
YR1960,IMN,
YR1960,IND,71.60558384562653
YR1960,IRL,53.49134386397195
YR1960,IRN,80.24226805095756
YR1960,IRQ,74.7787312788325
YR1960,ISL,61.14626794162857
YR1960,ISR,61.96672334380092
YR1960,ITA,38.335541667712356
YR1960,JAM,76.48249596723035
YR1960,JOR,83.41262003363099
YR1960,JPN,47.20230347426077
YR1960,KAZ,62.47640236096926
YR1960,KEN,93.4548621681544
YR1960,KGZ,64.09701496784244
YR1960,KHM,88.42254962732007
YR1960,KIR,88.57020547945206
YR1960,KNA,
YR1960,KOR,80.97967245913227
