time,economy,value
YR1960,ABW,26573
YR1960,AFG,4649573
YR1960,AGO,2763710
YR1960,ALB,827031
YR1960,AND,
YR1960,ARE,46268
YR1960,ARG,10331018
YR1960,ARM,903001
YR1960,ASM,
YR1960,ATG,25295
YR1960,AUS,5188257
YR1960,AUT,3282797
YR1960,AZE,1863218
YR1960,BDI,1350782
YR1960,BEL,4503524
YR1960,BEN,1156651
YR1960,BFA,2457983
YR1960,BGD,24959605
YR1960,BGR,3928038
YR1960,BHR,86962
YR1960,BHS,52386
YR1960,BIH,1582397
YR1960,BLR,3704077
YR1960,BLZ,45463
YR1960,BMU,
YR1960,BOL,1812122
YR1960,BRA,35935856
YR1960,BRB,103392
YR1960,BRN,42166
YR1960,BTN,113811
YR1960,BWA,243920
YR1960,CAF,739434
YR1960,CAN,9055054
YR1960,CHE,2580676
YR1960,CHI,52960
YR1960,CHL,4068207
YR1960,CHN,343835753
YR1960,CIV,1799131
YR1960,CMR,2546849
YR1960,COD,7283489
YR1960,COG,500587
YR1960,COL,7952216
YR1960,COM,95076
YR1960,CPV,94712
YR1960,CRI,676237
YR1960,CUB,3648440
YR1960,CUW,62564
YR1960,CYM,
YR1960,CYP,281667
YR1960,CZE,4669306
YR1960,DEU,33879221
YR1960,DJI,41573
YR1960,DMA,
YR1960,DNK,2272194
YR1960,DOM,1667973
YR1960,DZA,5558042
YR1960,ECU,2271445
YR1960,EGY,13550850
YR1960,ERI,500723
YR1960,ESP,14792379
YR1960,EST,534851
YR1960,ETH,11010790
YR1960,FIN,2133537
YR1960,FJI,202667
YR1960,FRA,22614676
YR1960,FRO,
YR1960,FSM,22926
YR1960,GAB,244822
YR1960,GBR,25305010
YR1960,GEO,1698429
YR1960,GHA,3370847
YR1960,GIB,
YR1960,GIN,1728694
YR1960,GMB,181668
YR1960,GNB,303533
YR1960,GNQ,125291
YR1960,GRC,4083979
YR1960,GRD,41712
YR1960,GRL,
YR1960,GTM,2090469
YR1960,GUM,39043
YR1960,GUY,286454
YR1960,HKG,1585035
YR1960,HND,1022662
YR1960,HRV,1988206
YR1960,HTI,1897441
YR1960,HUN,4814047
YR1960,IDN,43601932
YR1960,IMN,
YR1960,IND,232504739
YR1960,IRL,1421923
YR1960,IRN,11242525
YR1960,IRQ,3666626
YR1960,ISL,88712
YR1960,ISR,1072644
YR1960,ITA,24404821
YR1960,JAM,783860
YR1960,JOR,487769
YR1960,JPN,45883842
YR1960,KAZ,4782558
YR1960,KEN,4075300
YR1960,KGZ,1032105
YR1960,KHM,2856078
YR1960,KIR,20335
YR1960,KNA,
YR1960,KOR,12591416
YR1960,KWT,172843
YR1960,LAO,1042271
YR1960,LBN,907611
YR1960,LBR,565937
YR1960,LBY,743196
YR1960,LCA,43165
YR1960,LIE,
YR1960,LKA,5183210
YR1960,LSO,371284
YR1960,LTU,1280904
YR1960,LUX,155067
YR1960,LVA,936052
YR1960,MAC,82459
YR1960,MAF,
YR1960,MAR,6142937
YR1960,MCO,
YR1960,MDA,956097
