time,economy,value
YR1960,ABW,50.776
YR1960,AFG,8.401
YR1960,AGO,10.435
YR1960,ALB,30.705
YR1960,AND,58.45
YR1960,ARE,73.5
YR1960,ARG,73.611
YR1960,ARM,51.275
YR1960,ASM,66.211
YR1960,ATG,39.656
YR1960,AUS,81.529
YR1960,AUT,64.72
YR1960,AZE,52.663
YR1960,BDI,2.077
YR1960,BEL,92.46
YR1960,BEN,9.275
YR1960,BFA,4.7
YR1960,BGD,5.135
YR1960,BGR,37.1
YR1960,BHR,82.32
YR1960,BHS,59.712
YR1960,BIH,19.04
YR1960,BLR,32.401
YR1960,BLZ,54.028
YR1960,BMU,100.0
YR1960,BOL,36.762
YR1960,BRA,46.139
YR1960,BRB,36.777
YR1960,BRN,43.401
YR1960,BTN,3.596
YR1960,BWA,3.06
YR1960,CAF,20.1
YR1960,CAN,69.061
YR1960,CHE,70.924
YR1960,CHI,38.7
YR1960,CHL,67.836
YR1960,CHN,16.203
YR1960,CIV,17.679
YR1960,CMR,13.937
YR1960,COD,22.3
YR1960,COG,31.601
YR1960,COL,46.268
YR1960,COM,12.551
YR1960,CPV,16.679
YR1960,CRI,34.254
YR1960,CUB,58.401
YR1960,CUW,74.71
YR1960,CYM,100.0
YR1960,CYP,35.628
YR1960,CZE,59.548
YR1960,DEU,71.384
YR1960,DJI,50.325
YR1960,DMA,37.846
YR1960,DNK,73.687
YR1960,DOM,30.191
YR1960,DZA,30.51
YR1960,ECU,33.878
YR1960,EGY,37.864
YR1960,ERI,9.799
YR1960,ESP,56.567
YR1960,EST,57.533
YR1960,ETH,6.433
YR1960,FIN,55.29
YR1960,FJI,29.681
YR1960,FRA,61.88
YR1960,FRO,21.383
YR1960,FSM,22.312
YR1960,GAB,17.398
YR1960,GBR,78.444
YR1960,GEO,43.069
YR1960,GHA,23.252
YR1960,GIB,100.0
YR1960,GIN,10.472
YR1960,GMB,12.129
YR1960,GNB,13.6
YR1960,GNQ,25.537
YR1960,GRC,55.936
YR1960,GRD,30.332
YR1960,GRL,58.534
YR1960,GTM,31.121
YR1960,GUM,50.147
YR1960,GUY,29.009
YR1960,HKG,85.2
YR1960,HND,22.747
YR1960,HRV,30.154
YR1960,HTI,15.593
YR1960,HUN,55.911
YR1960,IDN,14.586
YR1960,IMN,55.123
YR1960,IND,17.924
YR1960,IRL,45.184
YR1960,IRN,33.735
YR1960,IRQ,42.899
YR1960,ISL,80.3
YR1960,ISR,76.848
YR1960,ITA,59.361
YR1960,JAM,33.769
YR1960,JOR,50.879
YR1960,JPN,63.272
YR1960,KAZ,44.198
YR1960,KEN,7.362
YR1960,KGZ,34.181
YR1960,KHM,10.285
YR1960,KIR,16.29
YR1960,KNA,27.644
YR1960,KOR,27.71
YR1960,KWT,74.893
YR1960,LAO,7.946
YR1960,LBN,42.343
YR1960,LBR,18.632
YR1960,LBY,27.323
YR1960,LCA,21.46
YR1960,LIE,20.437
YR1960,LKA,16.431
YR1960,LSO,3.512
YR1960,LTU,39.46
YR1960,LUX,69.556
YR1960,LVA,52.867
YR1960,MAC,95.289
YR1960,MAF,
YR1960,MAR,29.357
YR1960,MCO,100.0
YR1960,MDA,23.424
YR1960,MDG,10.642
YR1960,MDV,11.173
YR1960,MEX,50.753
YR1960,MHL,35.584
YR1960,MKD,34.02
YR1960,MLI,11.066
YR1960,MLT,90.129
YR1960,MMR,19.226
YR1960,MNE,18.788
YR1960,MNG,35.679
YR1960,MNP,51.219
YR1960,MOZ,6.868
YR1960,MRT,6.88
YR1960,MUS,35.111
YR1960,MWI,4.39
YR1960,MYS,26.598
YR1960,NAM,17.909
YR1960,NCL,37.36
YR1960,NER,5.793
YR1960,NGA,15.41
YR1960,NIC,39.581
YR1960,NLD,59.752
YR1960,NOR,49.92
YR1960,NPL,3.48
YR1960,NRU,100.0
YR1960,NZL,75.998
YR1960,OMN,16.4
YR1960,PAK,22.104
YR1960,PAN,41.249
YR1960,PER,46.811
YR1960,PHL,30.297
YR1960,PLW,56.823
YR1960,PNG,3.725
YR1960,POL,47.892
YR1960,PRI,44.547
YR1960,PRK,40.195
YR1960,PRT,34.955
YR1960,PRY,35.569
YR1960,PSE,44.044
YR1960,PYF,42.281
YR1960,QAT,85.275
YR1960,ROU,34.209
YR1960,RUS,53.731
YR1960,RWA,2.6
YR1960,SAU,31.25
YR1960,SDN,10.746
YR1960,SEN,23.0
YR1960,SGP,100.0
YR1960,SLB,5.768
YR1960,SLE,17.352
YR1960,SLV,38.354
YR1960,SMR,48.9
YR1960,SOM,17.312
YR1960,SRB,29.064
YR1960,SSD,8.748
YR1960,STP,16.073
YR1960,SUR,47.26
YR1960,SVK,33.464
YR1960,SVN,28.204
YR1960,SWE,72.49
YR1960,SWZ,3.913
YR1960,SXM,100.0
YR1960,SYC,27.673
YR1960,SYR,36.807
YR1960,TCA,47.679
YR1960,TCD,6.695
YR1960,TGO,10.098
YR1960,THA,19.672
YR1960,TJK,33.168
YR1960,TKM,46.412
YR1960,TLS,10.091
YR1960,TON,17.552
YR1960,TTO,34.155
YR1960,TUN,37.511
YR1960,TUR,31.515
YR1960,TUV,15.895
YR1960,TZA,5.246
YR1960,UGA,4.417
YR1960,UKR,46.792
YR1960,URY,80.241
YR1960,USA,69.996
YR1960,UZB,33.978
YR1960,VCT,25.943
YR1960,VEN,61.613
YR1960,VGB,12.228
YR1960,VIR,56.477
YR1960,VNM,14.7
YR1960,VUT,10.404
YR1960,WSM,18.926
YR1960,XKX,
YR1960,YEM,9.1
YR1960,ZAF,46.619
YR1960,ZMB,18.145
YR1960,ZWE,12.608
YR1961,ABW,50.761
YR1961,AFG,8.684
YR1961,AGO,10.798
YR1961,ALB,30.943
YR1961,AND,60.983
YR1961,ARE,74.383
YR1961,ARG,74.217
YR1961,ARM,52.147
YR1961,ASM,66.641
YR1961,ATG,39.04
YR1961,AUS,81.941
YR1961,AUT,64.814
YR1961,AZE,52.364
YR1961,BDI,2.115
YR1961,BEL,92.554
YR1961,BEN,9.856
YR1961,BFA,4.796
YR1961,BGD,5.278
YR1961,BGR,38.782
YR1961,BHR,82.337
YR1961,BHS,60.454
YR1961,BIH,19.686
YR1961,BLR,33.522
YR1961,BLZ,53.72
YR1961,BMU,100.0
YR1961,BOL,37.059
YR1961,BRA,47.122
YR1961,BRB,36.849
YR1961,BRN,45.228
YR1961,BTN,3.792
YR1961,BWA,3.097
YR1961,CAF,20.751
YR1961,CAN,69.668
YR1961,CHE,71.243
YR1961,CHI,38.436
YR1961,CHL,68.66
YR1961,CHN,16.708
YR1961,CIV,18.911
YR1961,CMR,14.488
YR1961,COD,22.523
YR1961,COG,32.318
YR1961,COL,47.702
YR1961,COM,13.348
YR1961,CPV,16.948
YR1961,CRI,34.329
YR1961,CUB,58.588
YR1961,CUW,75.102
YR1961,CYM,100.0
