region,country,type
AFE,SSD,region
AFE,MWI,region
AFE,SWZ,region
AFE,KEN,region
AFE,MDG,region
AFE,STP,region
AFE,MOZ,region
AFE,SYC,region
AFE,ETH,region
AFE,MUS,region
AFE,COD,region
AFE,BWA,region
AFE,LSO,region
AFE,UGA,region
AFE,SOM,region
AFE,TZA,region
AFE,SDN,region
AFE,ZAF,region
AFE,ZWE,region
AFE,AGO,region
AFE,COM,region
AFE,RWA,region
AFE,NAM,region
AFE,BDI,region
AFE,ZMB,region
AFE,ERI,region
AFR,SSD,region
AFR,MWI,region
AFR,CIV,region
AFR,TUN,region
AFR,SWZ,region
AFR,KEN,region
AFR,MDG,region
AFR,STP,region
AFR,CAF,region
AFR,GNB,region
AFR,GMB,region
AFR,BEN,region
AFR,GHA,region
AFR,MOZ,region
AFR,CPV,region
AFR,DJI,region
AFR,GIN,region
AFR,MAR,region
AFR,SYC,region
AFR,GNQ,region
AFR,ETH,region
AFR,GAB,region
AFR,MLI,region
AFR,MUS,region
AFR,COD,region
AFR,NGA,region
AFR,BWA,region
AFR,LSO,region
AFR,SEN,region
AFR,UGA,region
AFR,DZA,region
AFR,SOM,region
AFR,TZA,region
AFR,SDN,region
AFR,ZAF,region
AFR,ZWE,region
AFR,AGO,region
AFR,BFA,region
AFR,MRT,region
AFR,COM,region
AFR,RWA,region
AFR,LBY,region
AFR,TGO,region
AFR,TCD,region
AFR,COG,region
AFR,EGY,region
AFR,BDI,region
AFR,NAM,region
AFR,NER,region
AFR,ZMB,region
AFR,SLE,region
AFR,ERI,region
AFR,LBR,region
AFR,CMR,region
AFW,CAF,region
AFW,GNB,region
AFW,GMB,region
AFW,BEN,region
AFW,GHA,region
AFW,CPV,region
AFW,GIN,region
AFW,GNQ,region
AFW,GAB,region
AFW,MLI,region
AFW,NGA,region
AFW,SEN,region
AFW,BFA,region
AFW,MRT,region
AFW,TGO,region
AFW,TCD,region
AFW,COG,region
AFW,NER,region
AFW,SLE,region
AFW,CIV,region
AFW,LBR,region
AFW,CMR,region
ARB,SAU,region
ARB,TUN,region
ARB,IRQ,region
ARB,PSE,region
ARB,DJI,region
ARB,MAR,region
ARB,LBN,region
ARB,QAT,region
ARB,SYR,region
ARB,DZA,region
ARB,SOM,region
ARB,SDN,region
ARB,YEM,region
ARB,MRT,region
ARB,COM,region
ARB,OMN,region
ARB,LBY,region
ARB,BHR,region
ARB,KWT,region
ARB,ARE,region
ARB,JOR,region
ARB,EGY,region
CAA,SSD,region
CAA,MWI,region
CAA,CIV,region
CAA,SWZ,region
CAA,KEN,region
CAA,MDG,region
CAA,STP,region
CAA,CAF,region
CAA,GNB,region
CAA,GMB,region
CAA,BEN,region
CAA,GHA,region
CAA,MOZ,region
CAA,CPV,region
CAA,DJI,region
CAA,GIN,region
CAA,SYC,region
CAA,GNQ,region
CAA,ETH,region
CAA,GAB,region
CAA,MLI,region
CAA,MUS,region
CAA,COD,region
CAA,NGA,region
CAA,BWA,region
CAA,LSO,region
CAA,SEN,region
CAA,UGA,region
CAA,SOM,region
CAA,TZA,region
CAA,SDN,region
CAA,ZAF,region
CAA,ZWE,region
CAA,AGO,region
CAA,BFA,region
CAA,MRT,region
CAA,COM,region
CAA,RWA,region
CAA,TGO,region
CAA,TCD,region
CAA,COG,region
CAA,NAM,region
CAA,BDI,region
CAA,NER,region
CAA,ZMB,region
CAA,SLE,region
CAA,ERI,region
CAA,LBR,region
CAA,CMR,region
CEA,MHL,region
CEA,VUT,region
CEA,PHL,region
CEA,GUM,region
CEA,HKG,region
CEA,FSM,region
CEA,PNG,region
CEA,MNG,region
CEA,TUV,region
CEA,KHM,region
CEA,WSM,region
CEA,VNM,region
CEA,NCL,region
CEA,KIR,region
CEA,FJI,region
CEA,MMR,region
CEA,CHN,region
CEA,ASM,region
CEA,SGP,region
CEA,PRK,region
CEA,KOR,region
CEA,TWN,region
CEA,MYS,region
CEA,TON,region
CEA,PYF,region
CEA,MAC,region
CEA,MNP,region
CEA,SLB,region
CEA,THA,region
CEA,TLS,region
CEA,IDN,region
CEA,PLW,region
CEA,LAO,region
CEA,BRN,region
CEB,HUN,region
CEB,ROU,region
CEB,SVN,region
CEB,BGR,region
CEB,LTU,region
CEB,EST,region
CEB,POL,region
CEB,HRV,region
CEB,LVA,region
CEB,CZE,region
CEB,SVK,region
CEU,HUN,region
CEU,SVN,region
CEU,MDA,region
CEU,EST,region
CEU,ARM,region
CEU,POL,region
CEU,UZB,region
CEU,TJK,region
CEU,RUS,region
CEU,XKX,region
CEU,UKR,region
CEU,TKM,region
CEU,MNE,region
CEU,KAZ,region
CEU,BGR,region
CEU,ALB,region
CEU,MLT,region
CEU,HRV,region
CEU,GEO,region
CEU,KGZ,region
CEU,LTU,region
CEU,SRB,region
CEU,BLR,region
CEU,CZE,region
CEU,ROU,region
CEU,MKD,region
CEU,BIH,region
CEU,LVA,region
CEU,AZE,region
CEU,TUR,region
CEU,SVK,region
CLA,GRD,region
CLA,KNA,region
CLA,JAM,region
CLA,SLV,region
CLA,ECU,region
CLA,ABW,region
CLA,DOM,region
CLA,TTO,region
CLA,HTI,region
CLA,CRI,region
CLA,CHL,region
CLA,BLZ,region
CLA,CUW,region
CLA,NIC,region
CLA,VEN,region
CLA,DMA,region
CLA,LCA,region
CLA,BMU,region
CLA,URY,region
